Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
Michigan St,15,Pass,Unsuccessful,"[79.52380952380952, 9.523809523809533]","[51.90476190476189, 9.714285714285722]",Opponent,Enter a player
,,,,,,,
Michigan St,15,Pass,Successful,"[105.04761904761904, 19.80952380952381]","[100.28571428571428, 25.14285714285714]",AF,Enter a player
,,,,,,,
Michigan St,15,Shot(foot),Unsuccessful,"[96.47619047619045, 23.61904761904762]","[118.38095238095238, 34.66666666666667]",AF,Enter a player
Michigan St,16.0,Set Piece,Unsuccessful,"[0.857142857142847, 0.0]","[6.952380952380942, 45.904761904761905]",AF,Enter a player
Michigan St,16.0,Tackle,Successful,"[6.571428571428562, 46.476190476190474]","[15.714285714285701, 32.952380952380956]",Opponent,Enter a player
Michigan St,16.0,Shot(foot),Unsuccessful,"[16.09523809523808, 30.85714285714286]","[11.333333333333321, 31.61904761904762]",AF,Enter a player
Michigan St,17.0,Throw-in,Successful,"[8.09523809523808, 0.0]","[4.476190476190467, 24.38095238095238]",AF,Enter a player
Michigan St,17.0,Pass,Successful,"[3.714285714285701, 23.04761904761905]","[3.1428571428571317, 29.14285714285714]",AF,Enter a player
Michigan St,17.0,Shot(foot),Unsuccessful,"[4.666666666666657, 30.85714285714286]","[1.6190476190476062, 37.714285714285715]",AF,Enter a player
Michigan St,18.0,2nd Ball,Successful,"[28.85714285714284, 19.23809523809524]","[-1, -1]",AF,Enter a player
Michigan St,18.0,Pass,Successful,"[21.428571428571416, 50.666666666666664]","[22.952380952380942, 40.57142857142857]",AF,Enter a player
Michigan St,18.0,Shot(foot),Unsuccessful,"[21.809523809523796, 39.61904761904762]","[1.0476190476190368, 40.38095238095238]",AF,Enter a player
Michigan St,19.0,Set Piece,Unsuccessful,"[41.42857142857141, 17.14285714285714]","[16.666666666666657, 34.66666666666667]",AF,Enter a player
Michigan St,19.0,Tackle,Successful,"[15.523809523809511, 35.61904761904762]","[23.7142857142857, 29.523809523809533]",Opponent,Enter a player
Michigan St,19.0,Shot(foot),Unsuccessful,"[22.952380952380942, 30.66666666666667]","[0.4761904761904674, 45.333333333333336]",AF,Enter a player
Michigan St,20.0,Set Piece,Successful,"[0.4761904761904674, 79.80952380952381]","[5.619047619047606, 30.47619047619048]",AF,Enter a player
Michigan St,20.0,Shot(head),Unsuccessful,"[5.809523809523796, 29.904761904761912]","[0.4761904761904674, 38.095238095238095]",AF,Enter a player
Michigan St,21.0,Throw-in,Successful,"[105.04761904761904, 78.85714285714286]","[81.99999999999997, 61.142857142857146]",AF,Enter a player
Michigan St,21.0,Pass,Successful,"[89.42857142857142, 15.047619047619051]","[110.76190476190476, 42.095238095238095]",AF,Enter a player
Michigan St,21.0,Shot(head),Successful,"[110.19047619047618, 41.904761904761905]","[118.76190476190476, 42.476190476190474]",AF,Enter a player
Michigan St,22.0,Pass,Successful,"[6.190476190476183, 45.523809523809526]","[88.09523809523807, 43.80952380952381]",AF,Enter a player
Michigan St,22.0,Pass,Successful,"[85.8095238095238, 35.04761904761905]","[110.38095238095238, 22.095238095238102]",AF,Enter a player
Michigan St,22.0,Shot(foot),Unsuccessful,"[110.95238095238093, 22.47619047619048]","[117.42857142857142, 39.04761904761905]",AF,Enter a player
Michigan St,22.0,Pass,Unsuccessful,"[45.8095238095238, 8.0]","[73.23809523809521, 17.714285714285722]",Opponent,Enter a player
Michigan St,22.0,Pass,Successful,"[59.7142857142857, 30.095238095238102]","[40.85714285714284, 52.952380952380956]",AF,Enter a player
Michigan St,22.0,Shot(foot),Unsuccessful,"[26.380952380952372, 47.42857142857143]","[13.809523809523796, 42.476190476190474]",AF,Enter a player
Michigan St,23.0,Pass,Unsuccessful,"[37.61904761904761, 56.95238095238095]","[55.14285714285713, 70.0952380952381]",Opponent,Enter a player
Michigan St,23.0,Pass,Successful,"[15.142857142857132, 47.42857142857143]","[17.238095238095227, 29.523809523809533]",AF,Enter a player
Michigan St,23.0,Shot(foot),Unsuccessful,"[17.047619047619037, 31.42857142857143]","[0.857142857142847, 46.285714285714285]",AF,Enter a player
Michigan St,24.0,Tackle,Successful,"[53.04761904761903, 35.61904761904762]","[-1, -1]",AF,Enter a player
Michigan St,24.0,Pass,Successful,"[46.57142857142856, 56.19047619047619]","[27.90476190476189, 68.95238095238095]",AF,Enter a player
Michigan St,24.0,Shot(foot),Unsuccessful,"[20.857142857142847, 54.095238095238095]","[1.6190476190476062, 37.333333333333336]",AF,Enter a player
Michigan St,25.0,Set Piece,Successful,"[0.0952380952380878, 0.1904761904761898]","[6.3809523809523725, 43.42857142857143]",AF,Enter a player
Michigan St,25.0,Shot(head),Unsuccessful,"[9.428571428571416, 42.285714285714285]","[2.1904761904761827, 40.38095238095238]",AF,Enter a player
Michigan St,26.0,Tackle,Successful,"[64.66666666666666, 9.714285714285722]","[-1, -1]",AF,Enter a player
Michigan St,26.0,Pass,Successful,"[67.7142857142857, 14.285714285714292]","[45.42857142857141, 12.38095238095238]",AF,Enter a player
Michigan St,26.0,Shot(foot),Unsuccessful,"[16.285714285714278, 24.38095238095238]","[2.1904761904761827, 31.80952380952381]",AF,Enter a player
Michigan St,27.0,Set Piece,Successful,"[49.8095238095238, 27.80952380952381]","[15.523809523809511, 41.523809523809526]",AF,Enter a player
Michigan St,27.0,Shot(foot),Unsuccessful,"[13.619047619047606, 40.952380952380956]","[0.6666666666666572, 46.85714285714286]",AF,Enter a player
Michigan St,28.0,Set Piece,Successful,"[119.52380952380952, 79.23809523809524]","[113.23809523809524, 39.42857142857143]",AF,Enter a player
Michigan St,28.0,Shot(foot),Unsuccessful,"[112.66666666666666, 40.0]","[119.33333333333331, 31.04761904761905]",AF,Enter a player
Michigan St,29.0,Throw-in,Successful,"[101.8095238095238, 0.5714285714285694]","[110.0, 30.095238095238102]",AF,Enter a player
Michigan St,29.0,Tackle,Successful,"[114.38095238095238, 36.19047619047619]","[103.52380952380952, 46.095238095238095]",Opponent,Enter a player
Michigan St,29.0,Shot(foot),Unsuccessful,"[102.38095238095238, 46.095238095238095]","[118.76190476190476, 40.19047619047619]",AF,Enter a player
Michigan St,30.0,2nd Ball,Successful,"[84.09523809523807, 72.57142857142857]","[-1, -1]",AF,Enter a player
Michigan St,30.0,Pass,Successful,"[91.9047619047619, 19.04761904761905]","[113.42857142857142, 41.142857142857146]",AF,Enter a player
Michigan St,30.0,Shot(head),Unsuccessful,"[112.28571428571428, 41.904761904761905]","[118.38095238095238, 39.80952380952381]",AF,Enter a player
Michigan St,31.0,Throw-in,Successful,"[91.52380952380952, 0.1904761904761898]","[83.52380952380952, 12.952380952380949]",AF,Enter a player
Michigan St,31.0,Shot(foot),Unsuccessful,"[91.14285714285714, 24.57142857142857]","[119.7142857142857, 44.19047619047619]",AF,Enter a player
Michigan St,32.0,Pass,Successful,"[27.14285714285713, 45.142857142857146]","[40.09523809523808, 30.285714285714292]",AF,Enter a player
Michigan St,32.0,Pass,Successful,"[115.9047619047619, 56.19047619047619]","[113.61904761904762, 37.904761904761905]",AF,Enter a player
Michigan St,32.0,Shot(foot),Unsuccessful,"[112.09523809523807, 39.80952380952381]","[118.19047619047618, 39.61904761904762]",AF,Enter a player
Michigan St,33.0,Tackle,Successful,"[84.47619047619045, 23.61904761904762]","[-1, -1]",AF,Enter a player
Michigan St,33.0,Pass,Successful,"[92.66666666666666, 28.57142857142857]","[106.57142857142856, 48.19047619047619]",AF,Enter a player
Michigan St,33.0,Shot(foot),Successful,"[108.09523809523807, 47.04761904761905]","[118.95238095238093, 39.80952380952381]",AF,Enter a player
Michigan St,34.0,Throw-in,Successful,"[84.28571428571428, 79.80952380952381]","[78.95238095238093, 64.38095238095238]",AF,Enter a player
Michigan St,34.0,Pass,Successful,"[110.0, 19.80952380952381]","[103.7142857142857, 26.85714285714286]",AF,Enter a player
Michigan St,34.0,Shot(foot),Unsuccessful,"[102.38095238095238, 25.714285714285722]","[108.85714285714286, 29.33333333333333]",AF,Enter a player
Michigan St,34.0,2nd Ball,Successful,"[50.38095238095237, 45.523809523809526]","[-1, -1]",AF,Enter a player
Michigan St,34.0,Pass,Successful,"[93.61904761904762, 2.285714285714292]","[88.09523809523807, 13.904761904761912]",AF,Enter a player
Michigan St,34.0,Shot(foot),Unsuccessful,"[110.38095238095238, 21.33333333333333]","[118.0, 38.66666666666667]",AF,Enter a player
Michigan St,35.0,Set Piece,Successful,"[14.952380952380942, 65.71428571428572]","[10.952380952380942, 37.142857142857146]",AF,Enter a player
Michigan St,35.0,Shot(foot),Unsuccessful,"[11.333333333333321, 37.142857142857146]","[2.1904761904761827, 43.23809523809524]",AF,Enter a player
