Player,x1,y1,x2,y2,result,key pass
Brian,44.4,24.71142857142857,43.199999999999996,50.220000000000006,True,False
Brian,55.199999999999996,47.03142857142858,55.199999999999996,61.38,True,False
Brian,73.2,61.38,81.60000000000001,79.71428571428571,False,False
Brian,79.2,4.782857142857142,66.0,10.362857142857143,True,False
Brian,92.39999999999999,13.551428571428572,79.2,1.5942857142857143,True,False
Brian,97.2,11.957142857142857,90.0,19.131428571428568,True,False
CP,15.6,76.52571428571427,13.200000000000001,78.12,True,False
CP,32.4,53.40857142857143,37.199999999999996,38.262857142857136,False,False
CP,110.39999999999999,59.785714285714285,110.39999999999999,20.725714285714286,False,False
CP,114.0,76.52571428571427,114.0,72.53999999999999,False,False
Carter,28.8,13.551428571428572,32.4,3.9857142857142853,True,False
Carter,33.6,14.348571428571429,44.4,13.551428571428572,True,False
Carter,39.6,14.348571428571429,50.4,20.725714285714286,True,False
Carter,45.6,15.942857142857141,38.4,28.697142857142858,True,False
Carter,46.800000000000004,9.565714285714284,55.199999999999996,3.9857142857142853,True,False
Carter,46.800000000000004,22.32,93.60000000000001,12.754285714285714,True,False
Carter,48.0,2.391428571428571,73.2,3.1885714285714286,True,False
Carter,49.199999999999996,8.768571428571429,68.4,23.117142857142856,False,False
Carter,50.4,8.768571428571429,81.60000000000001,19.131428571428568,True,False
Carter,50.4,9.565714285714284,103.2,50.220000000000006,False,False
Carter,51.6,11.16,104.39999999999999,14.348571428571429,False,False
Carter,52.800000000000004,3.1885714285714286,109.2,25.50857142857143,False,False
Carter,54.0,3.1885714285714286,34.8,23.914285714285715,True,False
Carter,54.0,3.1885714285714286,55.199999999999996,17.537142857142857,True,False
Carter,57.6,3.9857142857142853,102.0,8.768571428571429,False,False
Carter,60.0,3.1885714285714286,73.2,21.52285714285714,True,False
Carter,67.2,11.957142857142857,74.39999999999999,3.9857142857142853,True,False
Carter,70.8,7.971428571428571,81.60000000000001,1.5942857142857143,True,False
Carter,72.0,8.768571428571429,85.2,3.9857142857142853,False,False
Carter,72.0,9.565714285714284,90.0,6.377142857142857,True,False
Carter,79.2,7.971428571428571,97.2,11.957142857142857,True,False
Carter,90.0,7.971428571428571,81.60000000000001,2.391428571428571,True,False
Carter,90.0,8.768571428571429,99.60000000000001,25.50857142857143,False,False
Carter,97.2,2.391428571428571,99.60000000000001,14.348571428571429,True,False
Carter,106.8,3.1885714285714286,97.2,5.58,True,False
Cole,18.0,57.394285714285715,31.2,0.0,False,False
Cole,28.8,55.00285714285714,40.800000000000004,32.682857142857145,True,False
Cole,33.6,63.771428571428565,22.8,74.13428571428572,True,False
Cole,40.800000000000004,57.394285714285715,40.800000000000004,41.45142857142857,True,False
Cole,42.0,41.45142857142857,48.0,22.32,True,False
Cole,46.800000000000004,69.35142857142857,54.0,56.597142857142856,True,False
Cole,46.800000000000004,70.14857142857143,80.39999999999999,72.53999999999999,True,False
Cole,50.4,69.35142857142857,112.8,63.771428571428565,True,False
Cole,51.6,31.885714285714283,74.39999999999999,15.942857142857141,False,False
Cole,73.2,75.72857142857143,82.8,55.00285714285714,True,False
Cole,75.60000000000001,59.785714285714285,82.8,34.277142857142856,True,False
Cole,94.8,68.55428571428571,108.0,46.23428571428571,True,False
Cole,96.0,60.582857142857144,110.39999999999999,39.857142857142854,True,True
Cole,96.0,69.35142857142857,75.60000000000001,69.35142857142857,True,False
Cole,106.8,71.74285714285715,117.60000000000001,40.65428571428571,True,False
Cole,117.60000000000001,70.14857142857143,117.60000000000001,66.96000000000001,False,False
Evan,21.599999999999998,34.277142857142856,37.199999999999996,27.900000000000002,False,False
Evan,21.599999999999998,58.19142857142857,14.4,50.220000000000006,True,False
Evan,22.8,40.65428571428571,38.4,20.725714285714286,True,False
Evan,26.400000000000002,46.23428571428571,33.6,19.131428571428568,True,False
Evan,30.0,35.074285714285715,50.4,8.768571428571429,True,False
Evan,30.0,38.262857142857136,46.800000000000004,9.565714285714284,True,False
Evan,33.6,44.64,86.39999999999999,34.277142857142856,True,False
Evan,33.6,65.36571428571429,64.8,67.75714285714285,False,False
Evan,34.8,39.857142857142854,66.0,41.45142857142857,True,False
Evan,34.8,43.04571428571428,43.199999999999996,48.62571428571429,True,False
Evan,36.0,50.220000000000006,51.6,71.74285714285715,True,False
Evan,37.199999999999996,41.45142857142857,48.0,35.074285714285715,False,False
Evan,37.199999999999996,52.61142857142857,84.0,57.394285714285715,True,False
Evan,66.0,73.33714285714287,105.60000000000001,62.17714285714286,False,False
Evan,105.60000000000001,50.220000000000006,103.2,23.914285714285715,False,False
James,14.4,77.32285714285715,54.0,69.35142857142857,True,False
James,15.6,58.19142857142857,33.6,63.771428571428565,True,False
James,18.0,61.38,76.8,71.74285714285715,False,False
James,19.2,65.36571428571429,52.800000000000004,62.17714285714286,False,False
James,22.8,57.394285714285715,50.4,69.35142857142857,True,False
James,28.8,68.55428571428571,13.200000000000001,46.23428571428571,True,False
James,34.8,55.00285714285714,55.199999999999996,70.14857142857143,False,False
James,36.0,78.12,75.60000000000001,79.71428571428571,False,False
James,38.4,70.14857142857143,86.39999999999999,74.13428571428572,True,False
James,39.6,58.98857142857143,52.800000000000004,64.56857142857143,False,False
James,39.6,60.582857142857144,92.39999999999999,70.94571428571429,False,False
James,40.800000000000004,74.13428571428572,114.0,65.36571428571429,False,False
James,46.800000000000004,53.40857142857143,51.6,49.42285714285714,True,False
James,51.6,75.72857142857143,52.800000000000004,56.597142857142856,True,False
James,55.199999999999996,70.14857142857143,80.39999999999999,67.75714285714285,True,False
