Player,x1,y1,x2,y2,result,key pass,Distance
Adam,14.4,28.697142857142858,39.6,41.45142857142857,True,False,28.243792310552646
Adam,14.4,36.66857142857143,14.4,43.84285714285714,True,False,7.174285714285709
Adam,15.6,20.725714285714286,49.199999999999996,10.362857142857143,True,False,35.161752063332465
Adam,16.8,10.362857142857143,13.200000000000001,41.45142857142857,True,False,31.296314055642203
Adam,20.400000000000002,38.262857142857136,34.8,30.291428571428572,True,False,16.459151663113975
Adam,24.0,18.334285714285716,38.4,18.334285714285716,True,False,14.399999999999999
Adam,25.2,29.494285714285716,6.0,35.074285714285715,True,False,19.994409218579076
Adam,26.400000000000002,17.537142857142857,90.0,11.16,False,False,63.91891700443936
Adam,27.599999999999998,13.551428571428572,36.0,19.928571428571427,True,False,10.546466281196189
Adam,27.599999999999998,15.145714285714286,50.4,23.914285714285715,True,False,24.4280135274639
Adam,27.599999999999998,15.145714285714286,51.6,12.754285714285714,True,False,24.118850109659977
Adam,27.599999999999998,32.682857142857145,34.8,25.50857142857143,True,False,10.164171166908009
Adam,30.0,16.740000000000002,39.6,24.71142857142857,True,False,12.478127803055543
Adam,30.0,23.117142857142856,87.60000000000001,4.782857142857142,False,False,60.44754778031167
Adam,31.2,11.957142857142857,8.4,41.45142857142857,True,False,37.27938961136459
Adam,31.2,26.305714285714284,40.800000000000004,43.04571428571428,True,False,19.297346967912453
Adam,32.4,27.900000000000002,85.2,11.957142857142857,True,False,55.1544621393188
Adam,33.6,27.102857142857143,37.199999999999996,50.220000000000006,True,False,23.39577512880373
Adam,34.8,11.957142857142857,52.800000000000004,4.782857142857142,False,False,19.377057968386335
Adam,34.8,16.740000000000002,48.0,7.971428571428571,False,False,15.847013753321452
Adam,34.8,26.305714285714284,85.2,9.565714285714284,True,False,53.107321529145125
Adam,34.8,32.682857142857145,66.0,14.348571428571429,False,False,36.18820294865526
Adam,36.0,43.84285714285714,67.2,23.914285714285715,True,False,37.021452688727294
Adam,37.199999999999996,16.740000000000002,54.0,31.885714285714283,True,False,22.619298424674664
Adam,37.199999999999996,23.914285714285715,80.39999999999999,6.377142857142857,True,False,46.623935693931244
Adam,38.4,8.768571428571429,46.800000000000004,6.377142857142857,True,False,8.733781003222202
Adam,38.4,23.117142857142856,88.8,25.50857142857143,False,False,50.45670352502475
Adam,38.4,24.71142857142857,43.199999999999996,19.131428571428568,False,False,7.360461942025106
Adam,38.4,27.900000000000002,66.0,15.145714285714286,True,False,30.404470133216147
Adam,38.4,30.291428571428572,73.2,22.32,True,False,35.70131192924691
Adam,39.6,19.131428571428568,48.0,22.32,True,False,8.984819851009927
Adam,39.6,27.102857142857143,92.39999999999999,13.551428571428572,False,False,54.51129439232322
Adam,39.6,33.480000000000004,68.4,11.957142857142857,True,False,35.95376725173368
Adam,40.800000000000004,11.16,109.2,18.334285714285716,True,False,68.7752162883564
Adam,40.800000000000004,27.900000000000002,112.8,11.957142857142857,True,False,73.74398072980297
Adam,40.800000000000004,40.65428571428571,38.4,57.394285714285715,True,False,16.911167907628382
Adam,43.199999999999996,11.957142857142857,38.4,14.348571428571429,True,False,5.362735366605821
Adam,43.199999999999996,12.754285714285714,80.39999999999999,9.565714285714284,True,False,37.336402983617766
Adam,43.199999999999996,27.102857142857143,79.2,13.551428571428572,True,False,38.46610477194866
Adam,43.199999999999996,47.03142857142858,68.4,35.871428571428574,True,False,27.560580545409426
Adam,43.199999999999996,47.82857142857143,85.2,73.33714285714287,True,False,49.139466992698765
Adam,44.4,22.32,34.8,35.074285714285715,True,False,15.96345213547598
Adam,45.6,9.565714285714284,54.0,6.377142857142857,True,False,8.984819851009924
Adam,45.6,11.957142857142857,64.8,31.08857142857143,True,False,27.104456445088015
Adam,46.800000000000004,26.305714285714284,56.4,23.914285714285715,False,False,9.89337811934047
Adam,49.199999999999996,19.928571428571427,48.0,52.61142857142857,True,False,32.704879620943544
Adam,50.4,23.914285714285715,84.0,18.334285714285716,True,False,34.06018790318104
Adam,50.4,27.900000000000002,62.4,41.45142857142857,False,False,18.10086230892138
Adam,51.6,16.740000000000002,73.2,33.480000000000004,False,False,27.32741480638079
Adam,52.800000000000004,37.465714285714284,82.8,22.32,True,False,33.606437794334724
Adam,54.0,28.697142857142858,67.2,39.06,True,False,16.781799908331212
Adam,64.8,33.480000000000004,76.8,23.117142857142856,True,False,15.855245446326759
Adam,68.4,18.334285714285716,114.0,11.16,False,False,46.16091826978969
Brian,44.4,60.582857142857144,64.8,70.94571428571429,False,False,22.88118895868974
Brian,50.4,60.582857142857144,46.800000000000004,51.01714285714286,True,False,10.220708869541209
Brian,76.8,47.82857142857143,64.8,39.857142857142854,True,False,14.406376139383138
Brian,78.0,15.942857142857141,105.60000000000001,11.16,False,False,28.01134988623326
Brian,80.39999999999999,39.06,70.8,55.800000000000004,True,False,19.297346967912453
Brian,87.60000000000001,69.35142857142857,54.0,28.697142857142858,True,False,52.74211739150008
Brian,91.2,14.348571428571429,85.2,7.971428571428571,True,False,8.756023699168942
Brian,110.39999999999999,11.957142857142857,91.2,16.740000000000002,True,False,19.786756238680944
Brian,110.39999999999999,66.16285714285713,100.8,34.277142857142856,False,False,33.29953116051641
Brian,114.0,64.56857142857143,120.0,19.928571428571427,False,False,45.04142093673334
Carter,13.200000000000001,52.61142857142857,14.4,36.66857142857143,True,False,15.98795464959639
Carter,21.599999999999998,7.174285714285714,39.6,4.782857142857142,False,False,18.158164296322607
Carter,22.8,24.71142857142857,48.0,22.32,False,False,25.313216520470977
