Player,x1,y1,x2,y2,result,key pass,Distance,angle
Adam,25.2,54.205714285714286,44.4,63.771428571428565,False,False,21.45094146642329,0.46221801740858875
Adam,30.0,32.682857142857145,33.6,68.55428571428571,True,False,36.05162115293987,1.4707728127146555
Adam,42.0,50.220000000000006,56.4,62.97428571428571,True,False,19.236210751643174,0.724866143615341
Adam,43.199999999999996,17.537142857142857,43.199999999999996,18.334285714285716,True,False,0.7971428571428589,1.5707963267948966
Adam,49.199999999999996,31.885714285714283,12.0,42.24857142857143,True,False,38.61643184142296,-0.2716834984556336
Adam,49.199999999999996,65.36571428571429,33.6,51.01714285714286,True,False,21.195317927335186,0.7436365395147746
Adam,64.8,42.24857142857143,84.0,42.24857142857143,True,False,19.200000000000003,0.0
Adam,80.39999999999999,32.682857142857145,85.2,26.305714285714284,False,False,7.981726067738,-0.9255770066340574
Adam,104.39999999999999,40.65428571428571,115.2,41.45142857142857,False,False,10.829378409433023,0.0736759259292286
Carter,1.2,13.551428571428572,43.199999999999996,8.768571428571429,False,False,42.27145280740868,-0.1133890877263758
Carter,6.0,12.754285714285714,38.4,0.0,False,False,34.81999144287133,-0.3750209686094701
Carter,9.6,6.377142857142857,45.6,19.928571428571427,True,False,38.46610477194865,0.3600225278436791
Carter,12.0,19.928571428571427,26.400000000000002,10.362857142857143,True,False,17.287651367259766,-0.5863524400288875
Carter,14.4,18.334285714285716,26.400000000000002,6.377142857142857,True,False,16.940285278180017,-0.7836092565400771
Carter,16.8,7.971428571428571,37.199999999999996,13.551428571428572,True,False,21.149382969722776,0.26699850335416164
Carter,20.400000000000002,7.174285714285714,57.6,11.16,False,False,37.41291111858775,0.10673567264913564
Carter,20.400000000000002,7.971428571428571,52.800000000000004,7.174285714285714,True,False,32.40980463894675,-0.024598212171963143
Carter,22.8,3.1885714285714286,50.4,13.551428571428572,True,False,29.481329823521616,0.35917901407337693
Carter,22.8,27.102857142857143,69.6,51.81428571428571,True,False,52.923479685682196,0.4858130719413469
Carter,26.400000000000002,4.782857142857142,50.4,19.928571428571427,False,False,28.379440819446913,0.5629533777919676
Carter,26.400000000000002,11.16,52.800000000000004,15.145714285714286,True,False,26.699174488499583,0.14984240386565312
Carter,28.8,5.58,36.0,17.537142857142857,False,False,13.957552267719525,1.0287970490075655
Carter,28.8,18.334285714285716,79.2,20.725714285714286,True,False,50.45670352502476,0.04741341864961524
Carter,30.0,4.782857142857142,55.199999999999996,22.32,False,False,30.70165108901859,0.6079813575851927
Carter,30.0,7.174285714285714,38.4,11.16,False,False,9.297629717694015,0.44303197337520245
Carter,32.4,4.782857142857142,36.0,16.740000000000002,True,False,12.48732418519366,1.27835333934286
Carter,32.4,6.377142857142857,20.400000000000002,11.16,True,False,12.918038645590881,-0.3792742436797023
Carter,32.4,22.32,82.8,40.65428571428571,True,False,53.63120390829448,0.34889389396506776
Carter,39.6,7.174285714285714,38.4,26.305714285714284,True,False,19.169026036386757,-1.5081543772288393
Carter,42.0,11.957142857142857,48.0,11.16,False,False,6.052721432107534,-0.13208363040306437
Carter,44.4,6.377142857142857,34.8,21.52285714285714,True,False,17.93188950513832,-1.0058634925720624
Carter,45.6,15.942857142857141,36.0,23.914285714285715,True,False,12.478127803055544,-0.6929792630592818
Carter,49.199999999999996,6.377142857142857,27.599999999999998,15.145714285714286,True,False,23.311967846965622,-0.3856271844612763
Carter,50.4,5.58,33.6,15.145714285714286,True,False,19.332431036885097,-0.5176063002413311
Carter,56.4,46.23428571428571,67.2,63.771428571428565,False,False,20.595906865002004,1.018814172676518
Carter,64.8,5.58,63.6,24.71142857142857,True,False,19.169026036386757,-1.5081543772288395
Carter,68.4,9.565714285714284,104.39999999999999,26.305714285714284,False,False,39.70173295965806,0.43525767285813877
Carter,68.4,12.754285714285714,50.4,40.65428571428571,True,False,33.20256014225409,-0.9978301839061903
Carter,68.4,12.754285714285714,92.39999999999999,6.377142857142857,True,False,24.83279990295914,-0.2597130287658893
Carter,70.8,8.768571428571429,50.4,12.754285714285714,True,False,20.785714285714285,-0.19294755036517383
Carter,72.0,9.565714285714284,37.199999999999996,19.928571428571427,True,False,36.31017499494137,-0.2894218412644696
Carter,73.2,7.971428571428571,39.6,19.131428571428568,True,False,35.40488101943007,-0.3206787434458664
Carter,75.60000000000001,15.942857142857141,88.8,11.16,True,False,14.039790683944661,-0.34762349730685305
Carter,75.60000000000001,16.740000000000002,57.6,54.205714285714286,True,False,41.56536715751198,-1.1229194079830587
Carter,76.8,6.377142857142857,87.60000000000001,19.928571428571427,True,False,17.328624190238845,0.8979093801295973
Carter,76.8,16.740000000000002,100.8,23.117142857142856,True,False,24.832799902959152,0.259713028765889
Carter,81.60000000000001,22.32,90.0,23.914285714285715,False,False,8.549955961218476,0.18756496816406212
Carter,82.8,13.551428571428572,96.0,9.565714285714284,True,False,13.788615534829704,-0.2932430384846142
Carter,82.8,26.305714285714284,104.39999999999999,11.16,True,False,26.38091471546219,-0.6115244949229862
Carter,84.0,7.174285714285714,73.2,24.71142857142857,True,False,20.595906865002,-1.0188141726765185
Carter,104.39999999999999,4.782857142857142,106.8,31.885714285714283,False,False,27.208911505352845,1.482475149607799
Carter,109.2,5.58,94.8,24.71142857142857,True,False,23.945178203213974,-0.9255770066340582
Cole,43.199999999999996,54.205714285714286,92.39999999999999,30.291428571428572,False,False,54.704049769870686,-0.4524357452566047
Cole,46.800000000000004,62.97428571428571,25.2,56.597142857142856,True,False,22.52172175967922,0.2870823691871424
