Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),0.19,4,1,25,7,3,42.86,0,0,0,1,1,100,0,0,0,0,0,0,3,0,0,17,5,29.41,1
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),0.37,4,2,50,4,1,25,1,1,100,4,1,25,0,0,0,0,0,0,2,0,0,21,11,52.38,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC San Diego Tritons,4-4-2 (100.0%),0.49,4,1,25,6,1,16.67,0,0,0,2,1,50,2,0,0,0,0,0,10,5,50,22,11,50,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC Davis Aggies,4-1-3-2 (0.0%),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,5,45.45,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,UC San Diego Tritons,4-4-2 (100.0%),0.09,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,50,17,7,41.18,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-2-3-1 (100.0%),0.93,5,1,20,10,5,50,0,0,0,1,0,0,0,0,0,0,0,0,5,2,40,18,5,27.78,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),0.71,5,3,60,13,3,23.08,2,1,50,0,0,0,1,1,100,0,0,0,9,3,33.33,19,3,15.79,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0.15,3,1,33.33,5,1,20,0,0,0,1,1,100,1,0,0,0,0,0,2,1,50,16,12,75,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (100.0%),0.03,2,1,50,4,1,25,0,0,0,1,0,0,1,0,0,0,0,0,4,2,50,29,9,31.03,1
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC Riverside Highlanders,3-4-1-2 (0.0%),0.38,4,1,25,5,0,0,1,1,100,2,1,50,2,1,50,0,0,0,3,2,66.67,16,8,50,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (66.23%),0.11,3,1,33.33,8,1,12.5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,18,8,44.44,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,Cal Poly Mustangs,4-2-3-1 (100.0%),0.79,1,1,100,3,0,0,1,1,100,0,0,0,0,0,0,0,0,0,2,0,0,18,9,50,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-2-3-1 (100.0%),0.1,2,1,50,6,0,0,1,1,100,3,0,0,4,1,25,0,0,0,3,1,33.33,9,6,66.67,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,4-4-2 (0.0%),0.68,3,2,66.67,6,2,33.33,0,0,0,0,0,0,1,1,100,0,0,0,1,1,100,16,7,43.75,3
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0.3,2,1,50,4,2,50,0,0,0,1,0,0,1,0,0,0,0,0,3,2,66.67,7,3,42.86,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),0.4,3,1,33.33,10,3,30,0,0,0,0,0,0,1,0,0,0,0,0,3,2,66.67,21,14,66.67,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (0.0%),0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,14,7,50,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),0.4,3,0,0,7,3,42.86,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,13,2,15.38,2
