Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),61,47,77.05,25,15,60,11,10,90.91,16,16,100,8,4,50,8,2,25,10,7,70,0,0,0,9,9,100,2
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),76,58,76.32,38,26,68.42,8,7,87.5,22,19,86.36,7,1,14.29,10,6,60,15,10,66.67,0,0,0,2,1,50,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),64,49,76.56,28,21,75,14,12,85.71,15,11,73.33,9,6,66.67,13,10,76.92,19,15,78.95,0,0,0,10,8,80,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.0%),36,25,69.44,15,7,46.67,1,1,100,12,10,83.33,8,1,12.5,9,4,44.44,9,4,44.44,1,0,0,3,3,100,3
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),48,41,85.42,22,17,77.27,4,4,100,15,14,93.33,6,3,50,7,4,57.14,8,6,75,0,0,0,4,3,75,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),61,53,86.89,24,18,75,7,7,100,26,24,92.31,6,4,66.67,10,9,90,12,12,100,0,0,0,2,1,50,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),57,51,89.47,20,17,85,10,10,100,17,14,82.35,1,0,0,10,8,80,9,9,100,0,0,0,3,3,100,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),55,47,85.45,17,14,82.35,6,6,100,26,23,88.46,2,1,50,5,5,100,8,5,62.5,0,0,0,1,0,0,2
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),36,29,80.56,17,14,82.35,3,3,100,11,8,72.73,11,8,72.73,6,5,83.33,11,9,81.82,0,0,0,0,0,0,1
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),74,64,86.49,24,23,95.83,6,6,100,32,27,84.38,4,3,75,8,7,87.5,14,13,92.86,0,0,0,4,4,100,1
