Date,Match,Competition,Duration,Team,Scheme,Match tempo,Average passes per possession,Long pass %,PPDA,Average shot distance,Average pass length
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),17.67,3.44,13.98,6.2,18.72,18.55
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),19.38,3.28,14.63,9.43,18.9,19.89
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),17.91,2.73,7.32,17,0,20.8
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),12.17,4.39,13.92,2.5,27.44,23.79
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),13.68,2.78,17.33,14.4,28.13,21.52
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),14.12,3.36,13.1,26.5,18.22,19.32
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),14.02,2.09,10.87,5.5,6.3,20.61
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),19.62,4.19,7.95,2.82,0,18.58
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),14.18,2.36,15.25,13.43,19.77,20.44
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),17.28,4.78,6.36,6.67,12.49,18.25
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),15.09,2.16,17.91,17,17.12,21.97
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,Cal Poly Mustangs,4-2-3-1 (100.0%),17.22,3.04,10.59,6,16.04,20.91
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-2-3-1 (100.0%),14.08,1.7,20.59,15,15.46,23.04
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,Cal State Fullerton Titans,4-4-2 (100.0%),17.34,4.23,11.83,4.6,22.35,22.62
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),15.37,1.82,22.58,13.83,11.83,21.23
