Date,Match,Competition,Duration,Team,Scheme,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),1,2,2,100,8,4,50,4,2,50,0,0,0,8,3,2,0,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0,0,0,12,7,58.33,4,2,50,1,1,100,12,6,1,0,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,7,6,85.71,10,1,10,0,0,0,5,0,0,0,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),0,0,0,0,13,10,76.92,10,7,70,0,0,0,4,2,4,0,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,7,4,57.14,5,3,60,1,1,100,2,1,1,0,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0,0,0,11,8,72.73,5,0,0,1,1,100,7,0,1,1,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,6,3,50,7,4,57.14,1,1,100,9,0,1,0,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,16,12,75,7,2,28.57,0,0,0,5,1,2,0,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),2,2,2,100,10,3,30,4,2,50,0,0,0,4,0,1,0,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),0,1,1,100,10,8,80,4,1,25,0,0,0,4,3,1,0,0
