Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),1,0.21,2,1,50,36,19,52.78,29.06,14,1,7,6,10,4,5,1,22,14,63.64
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),1,0.04,1,1,100,62,48,77.42,70.94,17,1,6,10,7,2,3,2,22,8,36.36
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,46,29,63.04,50.33,23,5,9,9,19,8,8,3,37,22,59.46
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.11%),2,0.31,3,2,66.67,50,39,78,49.67,18,4,5,9,15,5,7,3,37,13,35.14
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),1,1.26,3,2,66.67,45,33,73.33,46.02,17,0,4,13,10,3,2,5,37,25,67.57
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),1,0.78,1,1,100,47,37,78.72,53.98,16,8,4,4,9,5,4,0,37,12,32.43
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,46,38,82.61,34.86,11,2,2,7,11,4,6,1,25,11,44
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.05,1,1,100,86,78,90.7,65.14,14,4,7,3,9,6,2,1,25,11,44
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),1,0.94,4,2,50,39,32,82.05,33.8,14,5,3,6,11,4,2,5,24,11,45.83
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0,0,0,0,82,72,87.8,66.2,14,4,4,6,11,6,4,1,24,12,50
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.01,1,0,0,63,45,71.43,47.87,24,6,12,6,16,6,7,3,36,15,41.67
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),0,0.02,2,0,0,69,48,69.57,52.13,21,4,9,8,15,6,7,2,36,20,55.56
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.16,1,0,0,49,40,81.63,39.39,19,4,7,8,15,8,3,4,37,11,29.73
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (0.22%),0,0.11,5,1,20,92,76,82.61,60.61,19,4,3,12,18,8,7,3,37,24,64.86
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.19,2,1,50,43,29,67.44,56.84,14,2,2,10,10,5,2,3,27,13,48.15
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.16,3,2,66.67,44,34,77.27,43.16,18,2,6,10,10,5,4,1,27,14,51.85
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (72.89%),1,0.45,2,1,50,31,26,83.87,26.66,11,1,3,7,14,7,4,3,29,17,58.62
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (0.11%),0,0.06,1,0,0,69,60,86.96,73.34,11,2,4,5,9,6,2,1,29,11,37.93
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),0,0.19,2,2,100,55,40,72.73,55.56,25,3,7,15,17,8,7,2,42,20,47.62
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),0,0.21,4,1,25,64,52,81.25,44.44,18,4,7,7,15,6,8,1,42,22,52.38
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),1,0.13,1,1,100,62,47,75.81,61.94,22,4,10,8,12,6,4,2,40,19,47.5
