Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),59,40,67.8,30,18,60,10,9,90,11,6,54.55,10,4,40,13,7,53.85,12,8,66.67,0,0,0,7,6,85.71,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),89,68,76.4,33,23,69.7,7,6,85.71,36,29,80.56,8,5,62.5,8,5,62.5,16,11,68.75,0,0,0,3,3,100,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),54,44,81.48,25,18,72,8,8,100,19,16,84.21,11,7,63.64,12,6,50,16,14,87.5,0,0,0,3,3,100,2
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),66,54,81.82,22,14,63.64,9,9,100,31,27,87.1,16,8,50,13,6,46.15,13,12,92.31,0,0,0,3,3,100,2
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),53,40,75.47,21,12,57.14,13,12,92.31,14,12,85.71,11,5,45.45,9,5,55.56,11,8,72.73,0,0,0,5,4,80,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),96,83,86.46,29,19,65.52,10,10,100,47,44,93.62,12,5,41.67,10,4,40,9,7,77.78,0,0,0,3,3,100,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),59,44,74.58,26,15,57.69,7,7,100,19,16,84.21,4,2,50,14,12,85.71,13,10,76.92,0,0,0,4,3,75,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),81,60,74.07,21,8,38.1,8,6,75,46,43,93.48,11,2,18.18,4,2,50,15,3,20,0,0,0,2,2,100,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),33,25,75.76,13,8,61.54,4,4,100,11,9,81.82,6,5,83.33,9,5,55.56,9,8,88.89,0,0,0,3,2,66.67,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),86,74,86.05,26,17,65.38,6,6,100,43,40,93.02,4,2,50,5,2,40,9,4,44.44,0,0,0,2,2,100,1
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),27,24,88.89,7,7,100,5,5,100,10,7,70,8,7,87.5,6,4,66.67,6,6,100,0,0,0,4,4,100,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),49,42,85.71,18,14,77.78,8,6,75,20,19,95,6,4,66.67,5,4,80,11,9,81.82,0,0,0,2,1,50,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),48,35,72.92,23,17,73.91,6,6,100,12,7,58.33,5,3,60,8,6,75,10,7,70,0,0,0,5,5,100,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),89,75,84.27,25,17,68,13,12,92.31,36,32,88.89,9,4,44.44,7,4,57.14,11,7,63.64,0,0,0,4,4,100,2
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),55,41,74.55,22,15,68.18,6,6,100,17,15,88.24,11,7,63.64,12,7,58.33,17,14,82.35,1,1,100,3,2,66.67,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),53,47,88.68,18,15,83.33,9,7,77.78,19,18,94.74,9,8,88.89,6,5,83.33,11,9,81.82,0,0,0,4,3,75,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),46,36,78.26,18,10,55.56,9,9,100,12,12,100,11,5,45.45,8,5,62.5,12,7,58.33,0,0,0,4,2,50,0
