Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),120,108,90,28,27,96.43,22,19,86.36,57,54,94.74,7,6,85.71,13,13,100,23,19,82.61,0,0,0,4,3,75,2
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),61,49,80.33,28,22,78.57,9,7,77.78,13,12,92.31,9,4,44.44,9,5,55.56,15,12,80,0,0,0,2,2,100,3
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),64,49,76.56,25,15,60,9,8,88.89,19,18,94.74,10,3,30,13,4,30.77,12,6,50,0,0,0,5,4,80,3
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),51,39,76.47,26,17,65.38,6,6,100,13,11,84.62,13,9,69.23,6,3,50,13,8,61.54,1,0,0,4,2,50,3
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),90,77,85.56,33,24,72.73,18,18,100,29,25,86.21,8,3,37.5,15,8,53.33,10,9,90,1,1,100,2,1,50,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (100.0%),39,28,71.79,18,10,55.56,8,7,87.5,9,9,100,5,2,40,2,0,0,5,2,40,0,0,0,5,5,100,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),179,168,93.85,42,37,88.1,33,33,100,80,77,96.25,9,5,55.56,24,21,87.5,20,18,90,0,0,0,3,3,100,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),49,36,73.47,18,11,61.11,13,12,92.31,12,9,75,5,2,40,7,3,42.86,13,9,69.23,0,0,0,0,0,0,4
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),115,103,89.57,35,28,80,25,23,92,42,39,92.86,10,3,30,9,5,55.56,12,10,83.33,1,0,0,3,3,100,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),40,31,77.5,21,16,76.19,10,8,80,4,4,100,7,5,71.43,11,8,72.73,12,10,83.33,0,0,0,4,4,100,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),119,101,84.87,32,22,68.75,19,17,89.47,52,50,96.15,5,1,20,10,6,60,17,9,52.94,2,1,50,1,1,100,1
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),43,30,69.77,12,9,75,10,9,90,14,8,57.14,5,2,40,6,3,50,7,4,57.14,0,0,0,8,8,100,2
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),80,66,82.5,18,12,66.67,12,11,91.67,43,39,90.7,4,2,50,5,2,40,8,3,37.5,1,0,0,2,2,100,2
