Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0.2,4,1,25,6,1,16.67,0,0,0,3,2,66.67,1,1,100,0,0,0,6,2,33.33,15,8,53.33,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),0.01,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,11,6,54.55,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,33.33,14,7,50,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),0,1,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,3,42.86,18,3,16.67,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0.04,1,0,0,5,1,20,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,12,3,25,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0.58,4,3,75,5,3,60,3,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,16,9,56.25,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),0.46,1,0,0,8,1,12.5,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,12,5,41.67,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,4,28.57,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),0.32,4,2,50,6,2,33.33,0,0,0,1,1,100,3,0,0,0,0,0,3,2,66.67,26,10,38.46,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),0.11,1,0,0,6,1,16.67,1,0,0,0,0,0,1,0,0,0,0,0,3,2,66.67,12,5,41.67,1
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0.08,1,1,100,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,6,35.29,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,Cal Poly Mustangs,4-2-3-1 (100.0%),0.07,2,1,50,7,2,28.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,33.33,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-2-3-1 (100.0%),0.06,1,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,5,1,20,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,Cal State Fullerton Titans,4-4-2 (100.0%),0.05,2,0,0,4,1,25,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,12,6,50,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0.3,1,1,100,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,11,8,72.73,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,Sacramento State Hornets,4-3-1-2 (100.0%),0.15,2,2,100,6,0,0,0,0,0,3,1,33.33,1,0,0,0,0,0,4,0,0,6,3,50,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0.04,1,1,100,7,1,14.29,1,0,0,0,0,0,0,0,0,0,0,0,2,1,50,21,5,23.81,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0.34,3,0,0,7,1,14.29,1,1,100,0,0,0,1,0,0,0,0,0,5,2,40,11,6,54.55,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-3-2-1 (100.0%),0.01,1,1,100,5,1,20,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,1,11.11,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,San Diego Toreros,3-5-2 (100.0%),0.26,5,0,0,12,3,25,0,0,0,2,2,100,0,0,0,0,0,0,3,1,33.33,12,7,58.33,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,3-4-2-1 (100.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,27.78,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,Santa Clara Broncos,3-5-2 (100.0%),0.11,3,0,0,11,2,18.18,0,0,0,2,1,50,0,0,0,0,0,0,5,1,20,18,7,38.89,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),0.29,3,0,0,6,2,33.33,0,0,0,1,1,100,0,0,0,0,0,0,2,0,0,7,5,71.43,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),0.38,3,2,66.67,5,3,60,0,0,0,1,0,0,0,0,0,0,0,0,3,3,100,15,5,33.33,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-2-3-1 (100.0%),1.14,3,2,66.67,4,1,25,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,6,2,33.33,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,Gonzaga Bulldogs,3-5-2 (100.0%),0.51,4,0,0,7,3,42.86,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,18,8,44.44,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (100.0%),0.76,1,1,100,7,0,0,0,0,0,1,0,0,0,0,0,1,1,100,4,2,50,11,3,27.27,2
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0.1,2,0,0,3,1,33.33,1,0,0,1,1,100,0,0,0,0,0,0,2,1,50,16,8,50,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-4-1-1 (100.0%),0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,50,13,4,30.77,0
