Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,99,UC San Diego Tritons,4-4-2 (92.68%),1,0.21,7,2,28.57,382,288,75.39,48.07,147,23,64,60,92,44,40,8,233,109,46.78,4,1,25,37,4,10.81,0,0,0,2,1,50,4,0,0,0,0,0,9,1,11.11,2,7,18,2,6,11,77,37,48.05,2,3,11,5,45.45,71,36,50.7,50,23,46,3,2,66.67,39,10,12,0,0,149,92,61.74,66,62,93.94,113,91,80.53,70,41,58.57,64,40,62.5,94,63,67.02,0,0,0,43,39,90.7,11,15.4,2.85,18.32,21.95,21.86,13.76
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,99,Cal Poly Mustangs,4-2-3-1 (100.0%),3,1.47,11,4,36.36,434,327,75.35,51.93,126,20,54,52,104,41,51,12,233,115,49.36,3,0,0,31,7,22.58,1,1,100,2,1,50,2,1,50,0,0,0,13,1,7.69,0,8,30,3,11,13,71,35,49.3,2,1,7,3,42.86,77,40,51.95,50,25,50,5,5,100,42,22,16,3,0,156,95,60.9,64,57,89.06,172,143,83.14,61,28,45.9,60,32,53.33,88,56,63.64,2,0,0,21,19,90.48,8,16.2,3.44,14.06,16.05,21.71,7.68
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,98,UC San Diego Tritons,4-2-3-1 (100.0%),1,1.18,12,3,25,260,182,70,40.59,118,11,43,64,81,30,35,16,188,82,43.62,4,1,25,30,5,16.67,1,1,100,9,3,33.33,6,1,16.67,0,0,0,16,7,43.75,7,8,24,3,6,23,50,16,32,0,4,14,5,35.71,71,43,60.56,33,10,30.3,0,0,0,37,10,10,0,0,130,84,64.62,36,33,91.67,56,40,71.43,46,19,41.3,52,33,63.46,61,48,78.69,1,1,100,22,20,90.91,7,13.15,2.13,17.69,16.24,23.8,15.75
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,98,Cal State Fullerton Titans,4-4-2 (46.8%),4,1.39,14,5,35.71,472,386,81.78,59.41,115,22,41,52,91,43,39,9,188,90,47.87,7,1,14.29,30,8,26.67,1,1,100,4,2,50,3,1,33.33,0,0,0,9,2,22.22,2,14,27,6,2,24,71,28,39.44,6,1,12,4,33.33,50,34,68,33,15,45.45,2,1,50,35,10,14,3,0,146,112,76.71,71,63,88.73,165,137,83.03,59,31,52.54,62,46,74.19,92,66,71.74,3,1,33.33,17,16,94.12,13,16.31,4.29,12.5,19.35,21.58,10.5
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,96,UC San Diego Tritons,4-4-2 (100.0%),0,2.59,12,6,50,298,224,75.17,43.75,90,19,22,49,86,47,25,14,177,87,49.15,3,2,66.67,27,6,22.22,0,0,0,8,2,25,3,1,33.33,0,0,0,18,7,38.89,9,4,21,3,13,19,53,32,60.38,5,0,14,9,64.29,55,25,45.45,36,16,44.44,3,0,0,48,13,15,3,0,119,84,70.59,41,34,82.93,90,75,83.33,54,30,55.56,55,32,58.18,79,56,70.89,3,2,66.67,14,10,71.43,4,13.16,2.73,18.12,13.8,22.39,11.39
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,96,Sacramento State Hornets,4-3-1-2 (100.0%),0,1.54,14,8,57.14,462,395,85.5,56.25,109,19,29,61,83,38,29,16,177,90,50.85,4,2,50,32,10,31.25,2,1,50,4,1,25,4,0,0,0,0,0,12,4,33.33,3,8,23,4,5,21,55,30,54.55,3,0,12,6,50,53,21,39.62,36,20,55.56,2,0,0,47,21,12,3,0,161,126,78.26,56,53,94.64,186,169,90.86,41,26,63.41,61,43,70.49,84,64,76.19,4,0,0,21,15,71.43,5,15.87,4.2,8.87,17.77,20.32,7.32
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,98,UC San Diego Tritons,4-4-2 (61.1%),3,1.1,8,6,75,248,183,73.79,35.89,112,21,39,52,105,54,41,10,254,114,44.88,3,2,66.67,24,5,20.83,1,0,0,1,0,0,2,1,50,0,0,0,7,5,71.43,5,5,13,2,6,11,84,28,33.33,1,0,13,1,7.69,62,41,66.13,65,29,44.62,0,0,0,39,15,12,1,0,108,62,57.41,38,34,89.47,69,61,88.41,52,25,48.08,44,25,56.82,68,46,67.65,4,2,50,18,13,72.22,10,12.93,2.36,20.97,17.09,22.26,18.95
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,98,UC Santa Barbara Gauchos,4-2-3-1 (49.97%),0,1.03,13,1,7.69,577,485,84.06,64.11,110,12,39,59,91,45,31,15,254,124,48.82,5,1,20,38,9,23.68,1,1,100,3,1,33.33,4,0,0,0,0,0,22,9,40.91,9,10,32,0,17,21,62,21,33.87,3,3,8,7,87.5,84,56,66.67,65,26,40,0,0,0,39,7,21,0,0,180,129,71.67,89,82,92.13,269,250,92.94,81,51,62.96,98,73,74.49,121,98,80.99,2,0,0,25,24,96,5,16.84,5.44,14.04,17.87,23.13,4.29
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,96,UC San Diego Tritons,4-3-2-1 (100.0%),1,1.38,15,8,53.33,365,275,75.34,44.59,140,21,51,68,112,56,43,13,280,128,45.71,9,3,33.33,36,12,33.33,0,0,0,8,3,37.5,3,0,0,0,0,0,18,8,44.44,8,3,30,3,15,10,95,35,36.84,0,2,17,5,29.41,97,63,64.95,56,17,30.36,4,1,25,47,14,6,1,0,162,111,68.52,49,42,85.71,103,84,81.55,52,27,51.92,68,42,61.76,90,68,75.56,2,1,50,23,18,78.26,6,15.46,2.99,14.25,20.23,21.15,12.43
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,96,San Diego Toreros,3-5-2 (100.0%),2,1.25,17,5,29.41,480,392,81.67,55.41,147,27,45,75,110,46,49,15,280,144,51.43,8,2,25,37,12,32.43,0,0,0,6,3,50,2,1,50,0,0,0,15,4,26.67,2,10,27,5,9,21,97,34,35.05,0,1,15,8,53.33,95,60,63.16,56,35,62.5,0,0,0,60,22,15,1,0,160,116,72.5,69,63,91.3,192,171,89.06,59,28,47.46,71,41,57.75,96,73,76.04,0,0,0,22,19,86.36,9,16.36,3.97,12.29,21.27,22.65,7.28
