Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),0,0.19,4,1,25,91,66,72.53,45.28,31,6,11,14,31,14,14,3,56,23,41.07
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.37,4,2,50,100,75,75,54.72,32,4,13,15,22,7,10,5,56,30,53.57
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC San Diego Tritons,4-4-2 (100.0%),1,0.49,4,1,25,86,71,82.56,54.08,26,2,8,16,20,9,7,4,57,25,43.86
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC Davis Aggies,4-1-3-2 (0.0%),0,0,0,0,0,56,41,73.21,45.92,22,7,4,11,15,11,4,0,57,27,47.37
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,UC San Diego Tritons,4-4-2 (100.0%),0,0.09,1,0,0,72,58,80.56,40.51,32,6,12,14,25,9,14,2,63,30,47.62
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-2-3-1 (100.0%),1,0.93,5,1,20,73,55,75.34,59.49,30,3,13,14,30,15,8,7,63,31,49.21
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),1,0.71,5,3,60,84,68,80.95,34.74,24,1,11,12,26,10,15,1,58,18,31.03
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.15,3,1,33.33,122,102,83.61,65.26,32,2,18,12,24,12,12,0,58,38,65.52
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (100.0%),1,0.03,2,1,50,61,46,75.41,40.32,24,4,5,15,20,10,8,2,57,21,36.84
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0.38,4,1,25,78,59,75.64,59.68,29,4,8,17,18,10,6,2,57,33,57.89
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (66.23%),0,0.11,3,1,33.33,100,76,76,49.18,44,2,20,22,28,11,17,0,58,29,50
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,Cal Poly Mustangs,4-2-3-1 (100.0%),1,0.79,1,1,100,93,61,65.59,50.82,29,3,16,10,27,11,16,0,58,27,46.55
