Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.01,1,0,0,59,40,67.8,37.56,29,2,15,12,16,6,8,2,26,12,46.15
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),1,0.17,2,2,100,89,68,76.4,62.44,24,3,13,8,19,7,9,3,26,14,53.85
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.07,1,0,0,54,44,81.48,48.26,16,1,5,10,17,7,8,2,37,12,32.43
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),0,0.11,1,0,0,66,54,81.82,51.74,20,3,6,11,17,8,9,0,37,21,56.76
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.01,1,0,0,53,40,75.47,40.09,15,1,8,6,12,5,6,1,28,11,39.29
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0,0,0,0,96,83,86.46,59.91,15,1,6,8,14,7,5,2,28,12,42.86
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.18,2,0,0,59,44,74.58,46.86,20,1,7,12,13,2,6,5,29,11,37.93
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,0,81,60,74.07,53.14,21,8,10,3,12,7,5,0,29,17,58.62
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.12,1,1,100,33,25,75.76,32.43,13,0,3,10,10,0,7,3,25,7,28
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),2,0.93,3,2,66.67,86,74,86.05,67.57,11,5,3,3,10,6,2,2,25,16,64
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.01,1,0,0,27,24,88.89,48.33,10,0,5,5,10,4,4,2,34,22,64.71
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),0,0,0,0,0,49,42,85.71,51.67,13,5,4,4,8,4,4,0,34,11,32.35
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.08,2,0,0,48,35,72.92,40.31,17,3,7,7,13,4,8,1,34,19,55.88
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),0,0.01,1,0,0,89,75,84.27,59.69,22,2,11,9,13,7,5,1,34,13,38.24
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1.05,2,0,0,55,41,74.55,52.49,14,3,2,9,13,7,4,2,25,13,52
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.63,2,1,50,53,47,88.68,47.51,14,3,5,6,14,8,4,2,25,12,48
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,46,36,78.26,35.79,21,4,8,9,15,8,7,0,34,15,44.12
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.16,2,1,50,120,108,90,64.21,16,2,8,6,15,7,5,3,34,17,50
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),0,0.63,6,2,33.33,61,49,80.33,44.84,19,3,7,9,19,10,7,2,47,20,42.55
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),0,0,0,0,0,64,49,76.56,55.16,29,8,7,14,19,7,10,2,47,27,57.45
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),0,0.43,1,0,0,51,39,76.47,44.58,22,10,9,3,15,10,5,0,42,21,50
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),0,0.14,2,0,0,90,77,85.56,55.42,16,0,6,10,15,3,10,2,42,21,50
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (100.0%),0,0,0,0,0,39,28,71.79,20.22,20,4,10,6,12,5,6,1,28,8,28.57
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),1,0.6,2,1,50,179,168,93.85,79.78,14,1,2,11,18,4,8,6,28,17,60.71
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.27,2,0,0,49,36,73.47,32.12,17,4,5,8,10,3,5,2,43,28,65.12
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0,0,0,0,0,115,103,89.57,67.88,17,1,8,8,12,6,5,1,43,13,30.23
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),0,0,0,0,0,40,31,77.5,34.8,16,1,6,9,13,5,5,3,34,13,38.24
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),1,0.37,2,1,50,119,101,84.87,65.2,17,3,10,4,13,6,7,0,34,21,61.76
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0,0,0,0,0,43,30,69.77,39.69,24,2,12,10,14,2,10,2,37,15,40.54
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,0.02,2,0,0,80,66,82.5,60.31,22,5,12,5,17,8,7,2,37,20,54.05
