Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),71,55,77.46,25,16,64,9,8,88.89,26,21,80.77,7,3,42.86,9,5,55.56,11,4,36.36,0,0,0,4,2,50,2
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (49.0%),89,71,79.78,24,17,70.83,17,15,88.24,40,34,85,9,6,66.67,14,12,85.71,16,12,75,0,0,0,5,4,80,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),62,49,79.03,26,19,73.08,4,4,100,20,16,80,8,5,62.5,12,7,58.33,14,13,92.86,1,0,0,8,8,100,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),54,40,74.07,16,9,56.25,4,3,75,27,21,77.78,7,3,42.86,7,6,85.71,12,7,58.33,0,0,0,4,4,100,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),40,30,75,15,8,53.33,2,2,100,18,16,88.89,6,1,16.67,7,4,57.14,4,3,75,0,0,0,7,6,85.71,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),52,46,88.46,21,17,80.95,6,6,100,20,18,90,7,5,71.43,8,6,75,11,8,72.73,0,0,0,4,4,100,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),44,36,81.82,16,9,56.25,4,4,100,14,13,92.86,4,1,25,5,3,60,7,4,57.14,0,0,0,4,3,75,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),88,78,88.64,28,21,75,14,14,100,38,37,97.37,6,2,33.33,7,4,57.14,12,8,66.67,0,0,0,4,3,75,1
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),31,23,74.19,11,7,63.64,6,5,83.33,9,7,77.78,4,3,75,6,5,83.33,10,8,80,0,0,0,3,3,100,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (41.22%),103,94,91.26,28,22,78.57,22,21,95.45,44,43,97.73,2,0,0,7,5,71.43,14,11,78.57,0,0,0,3,3,100,1
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),75,60,80,22,17,77.27,14,13,92.86,30,22,73.33,17,14,82.35,8,7,87.5,16,13,81.25,0,0,0,4,2,50,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),93,76,81.72,27,18,66.67,11,10,90.91,44,38,86.36,9,4,44.44,10,6,60,17,13,76.47,1,0,0,1,1,100,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),37,22,59.46,20,9,45,4,4,100,10,7,70,7,1,14.29,9,5,55.56,10,7,70,0,0,0,3,3,100,2
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),91,73,80.22,30,24,80,15,11,73.33,32,27,84.38,7,4,57.14,10,8,80,16,12,75,0,0,0,1,1,100,3
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),65,50,76.92,19,14,73.68,14,11,78.57,19,16,84.21,10,6,60,8,6,75,12,7,58.33,1,0,0,3,3,100,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),85,73,85.88,27,20,74.07,8,8,100,39,35,89.74,4,1,25,10,5,50,11,6,54.55,0,0,0,3,3,100,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),40,30,75,15,9,60,5,5,100,15,12,80,7,4,57.14,7,5,71.43,7,6,85.71,1,0,0,3,3,100,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),61,50,81.97,21,13,61.9,7,7,100,31,30,96.77,10,5,50,8,4,50,14,10,71.43,0,0,0,3,3,100,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),55,42,76.36,24,19,79.17,7,6,85.71,15,11,73.33,4,2,50,7,5,71.43,13,9,69.23,0,0,0,4,2,50,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),68,56,82.35,17,11,64.71,10,9,90,29,27,93.1,8,2,25,7,3,42.86,12,8,66.67,0,0,0,4,4,100,1
