Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),36,19,52.78,17,5,29.41,4,3,75,9,6,66.67,9,2,22.22,5,1,20,4,1,25,0,0,0,2,2,100,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),62,48,77.42,17,11,64.71,10,10,100,24,19,79.17,7,5,71.43,8,5,62.5,17,11,64.71,0,0,0,4,4,100,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),46,29,63.04,21,10,47.62,8,7,87.5,12,8,66.67,9,4,44.44,11,7,63.64,10,6,60,0,0,0,3,3,100,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.11%),50,39,78,23,15,65.22,5,5,100,15,13,86.67,10,6,60,10,7,70,18,13,72.22,0,0,0,4,3,75,2
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),45,33,73.33,18,13,72.22,8,7,87.5,14,10,71.43,9,6,66.67,9,8,88.89,12,9,75,1,0,0,3,3,100,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),47,37,78.72,14,8,57.14,6,6,100,22,19,86.36,8,3,37.5,6,2,33.33,7,4,57.14,0,0,0,2,2,100,2
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),46,38,82.61,17,14,82.35,9,9,100,14,11,78.57,8,4,50,7,5,71.43,8,6,75,0,0,0,3,3,100,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),86,78,90.7,24,22,91.67,7,6,85.71,44,42,95.45,3,2,66.67,3,3,100,8,6,75,0,0,0,4,2,50,2
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),39,32,82.05,16,11,68.75,8,8,100,12,10,83.33,4,3,75,8,3,37.5,12,11,91.67,0,0,0,3,2,66.67,3
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),82,72,87.8,26,20,76.92,7,7,100,37,36,97.3,5,2,40,8,6,75,14,9,64.29,0,0,0,1,0,0,1
