Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),93,69,74.19,39,26,66.67,19,14,73.68,24,19,79.17,13,8,61.54,10,5,50,15,8,53.33,0,0,0,5,5,100,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),82,62,75.61,18,13,72.22,12,10,83.33,33,29,87.88,12,6,50,7,4,57.14,15,8,53.33,0,0,0,3,2,66.67,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),41,28,68.29,11,5,45.45,8,7,87.5,14,13,92.86,3,2,66.67,8,6,75,8,4,50,0,0,0,4,4,100,2
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),79,64,81.01,21,14,66.67,5,5,100,44,39,88.64,11,7,63.64,9,7,77.78,14,13,92.86,0,0,0,5,5,100,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),75,55,73.33,29,18,62.07,8,6,75,26,23,88.46,13,7,53.85,12,7,58.33,17,10,58.82,0,0,0,7,6,85.71,2
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),84,66,78.57,32,18,56.25,11,9,81.82,32,31,96.88,11,3,27.27,13,6,46.15,17,10,58.82,1,0,0,5,5,100,2
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),46,34,73.91,18,14,77.78,9,9,100,10,6,60,5,3,60,8,6,75,11,8,72.73,0,0,0,7,4,57.14,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),88,70,79.55,29,18,62.07,12,10,83.33,38,36,94.74,7,3,42.86,7,4,57.14,11,6,54.55,0,0,0,3,3,100,1
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),59,50,84.75,30,24,80,6,5,83.33,15,13,86.67,9,4,44.44,12,9,75,15,12,80,0,0,0,4,3,75,2
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),110,91,82.73,32,24,75,19,17,89.47,43,40,93.02,7,3,42.86,7,6,85.71,16,11,68.75,2,0,0,6,6,100,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),67,49,73.13,27,17,62.96,8,7,87.5,24,19,79.17,12,7,58.33,13,10,76.92,16,10,62.5,0,0,0,15,15,100,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,Cal Poly Mustangs,4-2-3-1 (100.0%),85,67,78.82,30,19,63.33,12,11,91.67,35,33,94.29,9,5,55.56,16,6,37.5,6,5,83.33,0,0,0,6,5,83.33,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-2-3-1 (100.0%),34,22,64.71,17,8,47.06,4,3,75,8,7,87.5,7,2,28.57,7,3,42.86,5,4,80,0,0,0,6,5,83.33,3
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,Cal State Fullerton Titans,4-4-2 (100.0%),93,78,83.87,25,23,92,13,12,92.31,35,26,74.29,11,8,72.73,17,14,82.35,19,17,89.47,0,0,0,5,5,100,3
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),31,26,83.87,14,11,78.57,5,5,100,8,7,87.5,7,4,57.14,7,5,71.43,9,7,77.78,0,0,0,2,1,50,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,Sacramento State Hornets,4-3-1-2 (100.0%),130,116,89.23,38,34,89.47,16,15,93.75,56,49,87.5,8,5,62.5,14,11,78.57,20,14,70,2,0,0,1,1,100,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),62,48,77.42,29,19,65.52,9,8,88.89,18,16,88.89,12,7,58.33,8,4,50,18,13,72.22,0,0,0,6,4,66.67,3
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),135,112,82.96,42,26,61.9,20,18,90,63,60,95.24,15,8,53.33,19,15,78.95,22,17,77.27,1,0,0,3,3,100,1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-3-2-1 (100.0%),58,45,77.59,28,20,71.43,9,8,88.89,13,11,84.62,13,8,61.54,13,8,61.54,15,10,66.67,0,0,0,3,3,100,1
