Date,Match,Competition,Duration,Team,Scheme,Match tempo,Average passes per possession,Long pass %,PPDA,Average shot distance,Average pass length
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),19.54,3.03,17.58,10.83,21.73,21.16
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),17.77,3.03,5,13,16.9,15.98
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC San Diego Tritons,4-4-2 (100.0%),15.96,2.87,16.28,19,14.78,23
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC Davis Aggies,4-1-3-2 (0.0%),12.24,2.15,21.43,5.22,0,26.41
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,UC San Diego Tritons,4-4-2 (100.0%),17.91,3,13.89,8.67,19.13,19.23
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-2-3-1 (100.0%),12.37,3.04,17.81,7.6,22.43,20.18
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),18.24,3.11,15.48,6.38,18.11,20.47
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),14.11,3.49,5.74,8.33,17.5,18.69
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (100.0%),15,2.18,21.31,21.67,24.98,20.58
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC Riverside Highlanders,3-4-1-2 (0.0%),12.96,3.12,12.82,3.73,18.54,19.41
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (66.23%),18.39,3.03,18,24,23.58,21.98
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,Cal Poly Mustangs,4-2-3-1 (100.0%),16.55,3.32,22.58,7.4,2.21,22.72
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-2-3-1 (100.0%),14.53,2.25,22.22,9.25,17.85,24.91
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,4-4-2 (0.0%),14.06,2.71,26.32,36,9.15,24.12
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),15.4,2.63,14.29,9.6,19.33,21.88
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),14.59,3.58,11.63,15,16.8,21.09
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (0.0%),13.64,1.92,16.67,22.33,0,20.62
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),17.55,4.17,21.88,3.1,15.99,26.66
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-3-2-1 (100.0%),15.96,2.6,10.26,19,16.01,22.02
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,San Diego Toreros,3-5-2 (100.0%),17.24,3.22,17.24,5.6,20.73,23.87
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,UC San Diego Tritons,3-4-2-1 (100.0%),15.09,2.83,22.35,6.18,14.73,22.3
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,Santa Clara Broncos,3-5-2 (100.0%),19.2,3.09,17.17,4.31,11.16,20.27
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,UC San Diego Tritons,5-3-2 (100.0%),14.28,2.91,10.94,34.25,14.9,20.61
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,Denver Pioneers,4-1-3-2 (100.0%),20.63,7.62,3.13,6.86,15.59,17.82
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,UC San Diego Tritons,4-2-3-1 (100.0%),10.65,1.73,7.69,7.29,22.01,19.19
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,Gonzaga Bulldogs,3-5-2 (100.0%),16.36,3.22,10.81,4,16.27,22.23
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),14.38,2.64,19.7,7.5,28.35,21.99
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),16.12,4.48,7.14,6.43,17.98,19
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),17.28,3.81,7.77,5.3,19.5,19.19
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),13.63,2.56,18.75,10.14,17.14,21.72
