Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.13,2,1,50,5,1,20,1,1,100,0,0,0,0,0,0,0,0,0,2,1,50,10,4,40,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0.08,2,1,50,2,1,50,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,10,2,20,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1,0,0,8,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,2,50,16,7,43.75,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.0%),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11.11,2
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100,13,4,30.77,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0.39,4,0,0,7,2,28.57,1,1,100,1,0,0,0,0,0,0,0,0,3,1,33.33,16,10,62.5,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,14,6,42.86,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0.14,2,0,0,2,1,50,1,0,0,1,1,100,0,0,0,0,0,0,1,0,0,3,1,33.33,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,25,10,4,40,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),0.13,2,2,100,9,0,0,0,0,0,2,0,0,3,1,33.33,0,0,0,8,1,12.5,13,10,76.92,0
