Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.2,2,2,100,4,1,25,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,14,8,57.14,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (49.0%),0.14,2,0,0,9,1,11.11,0,0,0,1,1,100,0,0,0,0,0,0,4,2,50,8,4,50,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.4,5,3,60,9,2,22.22,0,0,0,1,0,0,2,2,100,0,0,0,6,3,50,12,5,41.67,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),0.07,2,1,50,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,10,2,20,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.03,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,20,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0.06,1,0,0,3,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,30,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.3,3,0,0,4,2,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,77.78,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0.1,1,0,0,6,1,16.67,0,0,0,1,0,0,1,0,0,0,0,0,3,1,33.33,16,6,37.5,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.61,3,2,66.67,5,2,40,0,0,0,0,0,0,1,0,0,0,0,0,3,1,33.33,8,3,37.5,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (41.22%),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,16.67,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.01,1,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,5,45.45,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),0.33,3,0,0,7,3,42.86,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,5,45.45,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0.18,2,0,0,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,6,1,16.67,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),0.36,2,1,50,4,1,25,0,0,0,1,0,0,1,0,0,0,0,0,5,1,20,16,7,43.75,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.32,2,2,100,6,1,16.67,0,0,0,1,1,100,0,0,0,0,0,0,3,1,33.33,11,6,54.55,0
