Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.13,2,1,50,61,47,77.05,56.87,24,1,12,11,18,4,12,2,33,18,54.55
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),1,0.08,2,1,50,76,58,76.32,43.13,17,2,12,3,18,9,9,0,33,11,33.33
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,1,0,0,64,49,76.56,74.22,18,0,6,12,13,5,6,2,40,22,55
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.0%),0,0,0,0,0,36,25,69.44,25.78,15,4,3,8,13,9,3,1,40,15,37.5
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,48,41,85.42,48.56,18,6,5,7,12,7,5,0,41,15,36.59
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0.39,4,0,0,61,53,86.89,51.44,13,2,2,9,18,8,8,2,41,26,63.41
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,1,0,0,57,51,89.47,58.28,11,2,3,6,10,3,5,2,22,9,40.91
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.14,2,0,0,55,47,85.45,41.72,10,2,5,3,8,3,5,0,22,12,54.55
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,36,29,80.56,41.34,14,5,3,6,8,6,0,2,37,15,40.54
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0.13,2,2,100,74,64,86.49,58.66,12,1,2,9,14,6,4,4,37,22,59.46
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,50,34,68,51.53,18,4,8,6,13,8,4,1,31,13,41.94
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),1,0.26,3,2,66.67,45,33,73.33,48.47,22,3,10,9,14,6,6,2,31,17,54.84
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.6,4,2,50,38,27,71.05,43.5,15,0,2,13,11,2,6,3,15,7,46.67
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (0.0%),1,0.18,1,1,100,50,40,80,56.5,13,3,5,5,8,6,1,1,15,7,46.67
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.44,3,1,33.33,41,31,75.61,48.45,13,2,5,6,16,6,8,2,23,14,60.87
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.04,1,0,0,64,54,84.38,51.55,22,7,8,7,9,3,5,1,23,9,39.13
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (0.0%),0,0.04,1,1,100,21,12,57.14,13.77,16,5,7,4,15,10,5,0,49,17,34.69
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),0,0.06,4,0,0,96,77,80.21,86.23,20,0,5,15,16,4,8,4,49,27,55.1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),1,0.18,3,1,33.33,58,41,70.69,46.69,23,5,10,8,18,9,6,3,58,33,56.9
