Date,Match,Competition,Duration,Team,Scheme,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,11,5,45.45,7,5,71.43,0,0,0,9,2,4,0,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),0,1,1,100,15,7,46.67,7,2,28.57,0,0,0,13,14,4,1,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,18,15,83.33,8,4,50,0,0,0,4,3,2,0,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),0,0,0,0,14,7,50,8,4,50,2,2,100,12,3,3,0,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,3,3,100,16,7,43.75,9,3,33.33,0,0,0,8,1,3,0,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0,0,0,0,12,9,75,9,6,66.67,1,0,0,7,6,1,0,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,14,10,71.43,12,6,50,0,0,0,15,0,6,0,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,12,7,58.33,12,5,41.67,1,1,100,11,3,5,1,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,12,7,58.33,10,3,30,0,0,0,6,1,2,1,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),1,2,2,100,26,16,61.54,10,4,40,1,0,0,8,7,5,0,0
