Date,Match,Competition,Duration,Team,Scheme,Goals,Difference in Goals/xG,xG,Shots,Shot on target percentage,Shots on target,Passes,Passes accurate,"Possession, %",Losses,Losses Low,Corners with shots percentage,Losses Medium,Losses High,Recoveries,Recoveries Low,Penalty conversion percentage,Recoveries Medium,Recoveries High,Crossing percentage,Duels,Duels won,Offensive duels percentage,Shots from outside penalty area,Shots from outside penalty area on target,Positional attacks,Positional attacks with shots,Counterattacks,Shots against on target percentage,Counterattacks with shots,Corners,Defensive duels percentage,Corners with shots,Free kicks,Aerial duels percentage,Free kicks with shots,Penalties,Sliding tackle percentage,Penalties converted,Crosses,Crosses accurate,Deep completed crosses,Deep completed passes,Penalty area entries (runs,Penalty area entries (runs crosses),Touches in penalty area,Passes percentage,Offensive duels,Offensive duels won,Offsides,Conceded goals,Shots against,Shots against on target,Defensive duels,Defensive duels won,Aerial duels,Aerial duels won,Sliding tackles,Duels percentage,Sliding tackles successful,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes percentage,Back passes,Back passes accurate,Back passes percentage,Lateral passes,Lateral passes accurate,Lateral passes percentage,Long passes,Long passes accurate,Long passes percentage,Passes to final third,Passes to final third accurate,Passes to final third percentage,Progressive passes,Progressive passes accurate,Progressive passes percentage,Smart passes,Smart passes accurate,Smart passes percentage,Throw ins,Throw ins accurate,Throw in percentage,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Minute
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),1,0.94,0.06,1,1.0,1,64,50,44.08,22,2,0.0,12,8,17,7,,9,1,,52,22,0.4117647058823529,1,1,2,1,1,1.0,0,1,0.47619047619047616,0,0,0.36363636363636365,0,0,0.0,0,0,0,0,2,4,0,1,0.78125,17,7,0,0,1,1,21,10,11,4,1,0.4230769230769231,0,12,5,4,1,0,22,12,0.5454545454545454,5,5,1.0,27,24,0.8888888888888888,12,6,0.5,6,2,0.3333333333333333,10,5,0.5,0,0,,5,5,1.0,4,13.63,2.56,18.75,17.14,21.72,10.14,76-90
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),0,-0.43,0.43,3,0.3333333333333333,1,103,86,55.92,30,4,0.0,12,14,20,9,,10,1,0.0,52,28,0.5238095238095238,2,1,9,1,0,1.0,0,3,0.5882352941176471,0,2,0.5454545454545454,1,0,0.5,0,3,0,0,0,3,0,1,0.8349514563106796,21,11,0,1,1,1,17,10,11,6,2,0.5384615384615384,1,4,1,6,1,0,34,25,0.7352941176470589,15,14,0.9333333333333333,38,33,0.868421052631579,8,3,0.375,16,10,0.625,15,11,0.7333333333333333,0,0,,7,7,1.0,1,17.28,3.81,7.77,19.5,19.19,5.3,76-90
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),0,-0.1,0.1,2,0.5,1,105,92,76.54,22,2,0.0,9,11,15,3,,10,2,0.5,34,21,0.5333333333333333,1,0,5,2,0,,0,1,0.8181818181818182,0,0,0.3333333333333333,0,0,0.5,0,2,1,1,1,5,2,3,0.8761904761904762,15,8,0,0,0,0,11,9,6,2,2,0.6176470588235294,1,2,0,3,0,0,26,20,0.7692307692307693,17,15,0.8823529411764706,44,40,0.9090909090909091,5,4,0.8,12,10,0.8333333333333334,12,9,0.75,1,0,0.0,5,4,0.8,0,17.41,6.56,4.76,19.42,16.88,2.22,46-60
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),0,-1.21,1.21,7,0.42857142857142855,3,96,89,69.31,10,0,1.0,4,6,12,5,0.0,5,2,1.0,35,19,0.47058823529411764,3,1,6,4,0,,0,1,0.9,1,0,0.3333333333333333,0,1,1.0,0,1,1,1,3,3,0,5,0.9270833333333334,17,8,1,0,0,0,10,9,3,1,1,0.5428571428571428,1,5,3,2,0,0,36,30,0.8333333333333334,19,19,1.0,35,34,0.9714285714285714,4,2,0.5,8,6,0.75,14,13,0.9285714285714286,2,1,0.5,4,3,0.75,0,19.14,5.65,4.17,18.38,18.22,4.33,16-30
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),1,0.83,0.17,2,0.5,1,105,92,66.59,19,4,1.0,6,9,16,6,,8,2,0.5,30,13,0.4444444444444444,0,0,4,0,1,1.0,0,1,0.375,1,0,0.5555555555555556,0,0,,0,2,1,1,0,5,1,3,0.8761904761904762,9,4,1,0,1,1,8,3,9,5,0,0.43333333333333335,0,4,3,1,1,0,29,23,0.7931034482758621,16,14,0.875,48,45,0.9375,3,1,0.3333333333333333,15,14,0.9333333333333333,17,14,0.8235294117647058,2,0,0.0,1,1,1.0,1,17.56,7.0,2.86,15.08,16.67,14.5,61-75
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),1,0.63,0.37,2,0.5,1,119,101,65.2,17,3,,10,4,13,6,,7,0,,34,21,0.4,2,1,2,2,0,,0,0,0.7,0,0,0.7142857142857143,0,0,0.5,0,0,0,0,1,2,0,0,0.8487394957983193,10,4,0,0,0,0,10,7,7,5,2,0.6176470588235294,1,4,2,1,0,0,32,22,0.6875,19,17,0.8947368421052632,52,50,0.9615384615384616,5,1,0.2,10,6,0.6,17,9,0.5294117647058824,2,1,0.5,1,1,1.0,1,20.18,6.61,4.2,19.11,17.64,6.0,1-15
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.0%),0,-0.07,0.07,2,0.5,1,47,31,33.41,20,3,0.0,7,10,17,6,,6,5,0.0,30,16,0.625,1,0,4,1,1,1.0,0,1,0.5555555555555556,0,1,0.3333333333333333,0,0,,0,2,0,0,1,3,1,5,0.6595744680851063,8,5,0,1,1,1,9,5,9,3,0,0.5333333333333333,0,7,1,2,0,0,18,10,0.5555555555555556,10,8,0.8,10,7,0.7,7,3,0.42857142857142855,9,6,0.6666666666666666,10,5,0.5,0,0,,1,0,0.0,1,15.67,2.94,14.89,22.15,20.74,10.0,61-75
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.44%),0,0.0,0.0,0,,0,25,18,23.46,18,3,,13,2,15,7,,7,1,,34,13,0.18181818181818182,0,0,1,0,0,1.0,0,0,0.4666666666666667,0,0,0.6666666666666666,0,0,,0,0,0,0,0,0,0,0,0.72,11,2,0,0,1,1,15,7,6,4,0,0.38235294117647056,0,8,2,5,1,1,11,6,0.5454545454545454,6,6,1.0,6,5,0.8333333333333334,6,3,0.5,2,0,0.0,8,4,0.5,0,0,,2,2,1.0,1,13.53,1.92,24.0,0.0,22.02,9.57,46-60
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),0,0.0,0.0,0,,0,34,26,30.69,16,4,,7,5,7,2,,5,0,0.0,35,15,0.1,0,0,1,0,0,1.0,0,0,0.5294117647058824,0,0,0.6666666666666666,0,0,,0,2,0,0,0,2,0,0,0.7647058823529411,10,1,0,0,3,3,17,9,3,2,0,0.42857142857142855,0,6,3,3,1,0,12,7,0.5833333333333334,7,5,0.7142857142857143,10,9,0.9,4,3,0.75,4,3,0.75,8,4,0.5,0,0,,1,0,0.0,3,15.31,2.62,11.76,0.0,19.12,20.0,16-30
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),0,0.0,0.0,0,,0,40,31,34.8,16,1,0.0,6,9,13,5,,5,3,0.0,34,13,0.3,0,0,7,0,0,1.0,0,1,0.6,0,1,0.2857142857142857,0,0,,0,1,0,0,0,2,0,0,0.775,10,3,0,1,1,1,10,6,7,2,0,0.38235294117647056,0,8,0,2,0,0,21,16,0.7619047619047619,10,8,0.8,4,4,1.0,7,5,0.7142857142857143,11,8,0.7272727272727273,12,10,0.8333333333333334,0,0,,4,4,1.0,1,12.71,2.35,17.5,0.0,24.71,20.2,1-15
