game,x1,y1,won,player,Side
AF,111.60000000000001,18.400000000000002,True,8,Left
AF,110.4,28.0,False,8,Left
AF,82.8,64.0,False,11,Right
AF,34.8,30.4,False,19,Left
AF,105.6,22.400000000000002,False,17,Left
AF,21.599999999999998,27.200000000000003,True,19,Left
AF,48.0,46.4,False,8,Right
AF,51.6,26.400000000000002,True,19,Left
AF,102.0,76.8,False,20,Right
AF,51.6,21.6,True,23,Left
AF,54.0,15.2,True,10,Left
AF,105.6,26.400000000000002,True,10,Left
AF,109.2,25.6,True,10,Left
AF,99.6,37.599999999999994,False,23,Left
AF,111.60000000000001,22.400000000000002,True,17,Left
AF,100.8,7.199999999999999,False,17,Left
AF,96.0,5.6000000000000005,False,8,Left
AF,76.8,14.399999999999999,False,23,Left
AF,109.2,66.39999999999999,False,23,Right
AF,63.6,31.200000000000003,True,8,Left
AF,99.6,9.6,True,31,Left
AF,94.80000000000001,8.8,False,10,Left
AF,49.199999999999996,35.2,True,19,Left
AF,109.2,7.199999999999999,False,31,Left
AF,82.8,21.6,False,23,Left
AF,80.4,19.2,False,23,Left
AF,80.4,50.4,False,23,Right
AF,104.4,71.2,True,20,Right
AF,57.599999999999994,40.0,False,19,Right
AF,109.2,11.200000000000001,True,31,Left
AF,72.0,9.6,True,31,Left
AF,63.6,33.6,False,32,Left
AF,91.2,55.199999999999996,True,9,Right
AF,13.2,68.8,True,5,Right
AF,40.800000000000004,73.60000000000001,True,20,Right
AF,76.8,6.4,False,31,Left
AF,117.6,11.200000000000001,False,9,Left
AF,90.0,58.4,True,29,Right
AF,105.6,27.200000000000003,True,31,Left
AF,78.0,75.19999999999999,False,20,Right
AF,109.2,7.199999999999999,False,10,Left
SJS,55.2,34.4,False,8,Left
SJS,104.4,14.399999999999999,True,11,Left
SJS,66.0,34.4,False,19,Left
SJS,46.800000000000004,67.2,False,20,Right
SJS,66.0,68.8,False,23,Right
SJS,40.800000000000004,10.4,False,10,Left
SJS,78.0,10.4,False,23,Left
SJS,69.6,8.8,False,23,Left
SJS,56.4,16.8,False,17,Left
SJS,73.2,4.0,True,17,Left
SJS,92.4,58.4,True,20,Right
SJS,67.2,75.19999999999999,True,12,Right
SJS,88.8,68.0,False,11,Right
SJS,45.6,29.6,False,23,Left
SJS,40.800000000000004,22.400000000000002,True,23,Left
SJS,49.199999999999996,24.8,True,23,Left
SJS,26.4,75.19999999999999,True,20,Right
SJS,69.6,71.2,False,23,Right
SJS,56.4,69.6,False,23,Right
SJS,55.2,72.0,False,23,Right
SJS,48.0,36.0,True,29,Left
SJS,76.8,59.2,False,20,Right
SJS,98.39999999999999,58.4,False,23,Right
SJS,44.4,50.4,False,23,Right
SJS,69.6,20.8,True,23,Left
SJS,72.0,70.4,False,12,Right
SJS,70.8,20.8,True,9,Left
SJS,106.8,6.4,False,10,Left
SJS,68.39999999999999,18.400000000000002,False,9,Left
SJS,67.2,16.0,False,23,Left
SJS,48.0,68.8,False,11,Right
SJS,13.2,60.8,True,19,Right
SJS,30.0,71.2,True,12,Right
SJS,50.4,39.2,True,17,Left
SJS,4.8,23.2,True,2,Left
SJS,39.6,4.8,False,23,Left
SJS,52.8,34.4,True,19,Left
SJS,92.4,72.8,False,11,Right
SJS,108.0,58.4,False,23,Right
SJS,104.4,7.199999999999999,True,8,Left
SJS,91.2,24.0,False,23,Left
SJS,86.39999999999999,51.2,False,20,Right
SJS,92.4,53.6,False,20,Right
SJS,88.8,70.4,False,11,Right
SJS,66.0,46.4,False,23,Right
SJS,13.2,19.2,True,6,Left
SJS,43.199999999999996,3.2,False,17,Left
SJS,64.80000000000001,11.200000000000001,True,10,Left
SJS,84.0,39.2,False,23,Left
SJS,38.4,73.60000000000001,True,12,Right
SJS,105.6,54.400000000000006,False,23,Right
SJS,78.0,76.8,False,20,Right
SJS,68.39999999999999,9.6,False,10,Left
SJS,104.4,2.4,False,17,Left
SJS,75.6,72.8,False,12,Right
SJS,43.199999999999996,25.6,True,6,Left
SJS,99.6,7.199999999999999,False,10,Left
SJS,44.4,14.399999999999999,False,8,Left
SJS,106.8,24.8,True,23,Left
SJS,92.4,20.0,False,29,Left
SJS,8.4,68.0,True,12,Right
SJS,6.0,9.6,False,17,Left
SJS,85.19999999999999,16.0,False,23,Left
SJS,104.4,72.8,True,23,Right
SJS,104.4,25.6,True,8,Left
SJS,94.80000000000001,16.8,False,8,Left
SJS,39.6,13.600000000000001,True,10,Left
SJS,110.4,20.0,False,7,Left
SJS,86.39999999999999,41.6,False,29,Right
SJS,45.6,54.400000000000006,True,8,Right
SJS,111.60000000000001,72.0,True,29,Right
SJS,106.8,58.4,True,29,Right
SJS,52.8,7.199999999999999,False,7,Left
SJS,94.80000000000001,71.2,True,8,Right
SJS,105.6,47.199999999999996,False,23,Right
SJS,103.2,20.0,True,7,Left
USD,114.0,72.0,False,20,Right
USD,109.2,66.39999999999999,False,11,Right
USD,28.799999999999997,19.2,True,17,Left
USD,45.6,72.8,False,20,Right
USD,82.8,68.0,False,11,Right
USD,104.4,8.8,True,23,Left
USD,106.8,2.4,True,17,Left
USD,103.2,6.4,True,23,Left
USD,105.6,21.6,False,23,Left
USD,48.0,60.8,False,20,Right
USD,36.0,21.6,True,19,Left
USD,49.199999999999996,17.6,True,8,Left
USD,48.0,12.0,True,8,Left
USD,94.80000000000001,74.4,True,20,Right
USD,67.2,16.8,False,17,Left
USD,9.6,69.6,False,2,Right
USD,43.199999999999996,8.8,False,7,Left
USD,100.8,9.6,False,7,Left
USD,81.60000000000001,6.4,False,7,Left
USD,86.39999999999999,7.199999999999999,True,23,Left
USD,93.60000000000001,8.8,True,23,Left
USD,87.6,4.0,False,29,Left
USD,33.6,34.4,True,19,Left
USD,81.60000000000001,73.60000000000001,False,23,Right
USD,31.200000000000003,74.4,True,20,Right
USD,82.8,69.6,False,12,Right
USD,33.6,28.0,True,19,Left
USD,80.4,49.6,True,22,Right
USD,99.6,10.4,False,7,Left
USD,73.2,33.6,False,9,Left
USD,69.6,24.8,True,9,Left
USD,80.4,70.4,True,22,Right
USD,86.39999999999999,65.6,True,29,Right
USD,16.8,71.2,True,2,Right
USD,58.8,68.8,True,8,Right
USD,88.8,43.2,True,11,Right
USD,72.0,28.0,False,11,Left
USD,76.8,8.8,False,11,Left
USD,73.2,7.199999999999999,False,11,Left
USD,61.2,38.4,True,11,Left
USD,84.0,58.4,False,20,Right
USD,43.199999999999996,64.80000000000001,True,23,Right
USD,108.0,9.6,True,17,Left
USD,69.6,71.2,False,11,Right
USD,76.8,68.8,False,11,Right
USD,74.4,52.0,False,11,Right
USD,42.0,8.0,True,10,Left
USD,78.0,11.200000000000001,False,23,Left
USD,81.60000000000001,14.399999999999999,True,23,Left
USD,48.0,58.4,False,23,Right
USD,49.199999999999996,60.8,True,8,Right
USD,91.2,76.0,False,11,Right
USD,72.0,73.60000000000001,True,8,Right
USD,68.39999999999999,76.0,True,8,Right
