game,x1,y1,won,player
SJS,34.8,36.800000000000004,True,2
SJS,49.199999999999996,75.19999999999999,True,12
SJS,6.0,13.600000000000001,True,10
SJS,15.600000000000001,6.4,True,17
SJS,20.400000000000002,7.199999999999999,True,10
SJS,31.200000000000003,28.799999999999997,True,6
SJS,105.6,36.0,False,11
SJS,26.4,22.400000000000002,True,10
SJS,10.799999999999999,19.2,False,10
SJS,14.399999999999999,7.199999999999999,False,17
SJS,7.199999999999999,71.2,False,12
SJS,8.4,63.2,True,19
SJS,19.2,43.2,False,2
SJS,14.399999999999999,52.800000000000004,True,6
SJS,56.4,19.2,False,8
SJS,32.400000000000006,15.2,True,8
SJS,36.0,16.0,True,29
SJS,48.0,25.6,True,23
SJS,55.2,20.8,False,23
SJS,33.6,16.8,False,6
SJS,68.39999999999999,75.19999999999999,True,20
SJS,72.0,65.6,False,19
SJS,78.0,26.400000000000002,False,29
SJS,9.6,59.2,False,12
SJS,33.6,14.399999999999999,True,6
SJS,117.6,10.4,False,7
SJS,69.6,73.60000000000001,False,19
SJS,55.2,55.199999999999996,False,19
SJS,14.399999999999999,56.0,False,22
SJS,73.2,66.39999999999999,True,12
SJS,33.6,74.4,True,2
SJS,76.8,19.2,True,9
SJS,70.8,16.0,True,9
SJS,45.6,48.8,True,22
SJS,45.6,21.6,True,8
SJS,16.8,70.4,True,19
SJS,14.399999999999999,65.6,True,12
SJS,46.800000000000004,65.6,True,11
SJS,44.4,75.19999999999999,True,20
SJS,85.19999999999999,48.0,True,17
SJS,87.6,49.6,False,8
SJS,43.199999999999996,23.2,False,23
SJS,54.0,45.599999999999994,True,19
SJS,109.2,14.399999999999999,False,11
SJS,84.0,17.6,True,17
SJS,91.2,39.2,True,8
SJS,88.8,57.599999999999994,True,20
SJS,28.799999999999997,70.4,True,12
SJS,109.2,13.600000000000001,False,23
SJS,70.8,8.0,True,10
SJS,32.400000000000006,56.0,False,2
SJS,112.8,57.599999999999994,True,20
SJS,76.8,74.4,True,12
SJS,50.4,19.2,False,19
SJS,70.8,15.2,True,19
SJS,87.6,16.0,False,19
SJS,72.0,72.8,True,12
SJS,37.2,22.400000000000002,True,19
SJS,33.6,4.8,True,17
SJS,37.2,20.8,True,8
SJS,74.4,16.8,True,17
SJS,94.80000000000001,6.4,True,29
SJS,45.6,13.600000000000001,False,17
SJS,67.2,58.4,True,8
SJS,50.4,71.2,True,12
SJS,48.0,45.599999999999994,False,17
SJS,42.0,42.400000000000006,True,19
SJS,32.400000000000006,35.2,True,6
SJS,34.8,38.4,True,19
SJS,34.8,26.400000000000002,False,6
SJS,7.199999999999999,14.399999999999999,False,10
SJS,13.2,8.0,True,17
SJS,86.39999999999999,8.0,True,17
SJS,86.39999999999999,70.4,True,22
SJS,88.8,56.0,True,19
SJS,33.6,17.6,True,10
SJS,115.19999999999999,23.2,False,7
SJS,12.0,57.599999999999994,False,12
SJS,67.2,64.0,False,23
SJS,72.0,57.599999999999994,True,23
SJS,64.80000000000001,36.0,True,8
SJS,75.6,5.6000000000000005,True,7
SJS,37.2,10.4,True,10
SJS,13.2,33.6,True,2
