Date,Match,Competition,Duration,Team,Scheme,Points,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,104,Pacific Tigers,4-4-1-1 (87.68%),3,45,0.4666666666666667,21,21.22,4.36,20.16,63,0.9365079365079365,59,0.14713216957605985,14,1,11,3,0.2727272727272727,5,1,0.2,14,3,0.21428571428571427,1,12,62,0.5483870967741935,34,0.3799999999999999,207,0.45893719806763283,95,151,0.7483443708609272,113,0.2817955112219451,15,2,1,1,8,2,33,204,0.9117647058823529,186,0.46384039900249374,9.05,43,0.5348837209302325,23,0.057356608478802994,103,44,16,43,15.72,80,0.425,34,1,7.2,475,0.8442105263157895,401,42,0.6190476190476191,26,0.06483790523690773,1,1,32,0,1.0,25,11,0.44,60.61,71,0.6901408450704225,49,0.12219451371571072,79,13,35,31,0,19,7,4,0.5714285714285714,8,3,0.375,0.75,4,0.21052631578947367,0.0,1,0,5,0.4,2,0.004987531172069825,1.0,25,25,23,2,1.62
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,104,UC San Diego Tritons,4-4-1-1 (70.54%),0,45,0.4666666666666667,21,20.64,2.5,14.82,43,0.9069767441860465,39,0.18571428571428572,22,2,6,1,0.16666666666666666,0,0,,13,4,0.3076923076923077,5,0,80,0.575,46,-0.9199999999999999,207,0.5024154589371981,104,102,0.696078431372549,71,0.3380952380952381,14,3,1,-1,10,1,48,86,0.7674418604651163,66,0.3142857142857143,13.92,38,0.47368421052631576,18,0.08571428571428572,116,51,26,39,13.9,62,0.45161290322580644,28,0,11.42,273,0.7692307692307693,210,47,0.5531914893617021,26,0.12380952380952381,1,1,14,2,1.0,27,3,0.1111111111111111,39.39,53,0.6792452830188679,36,0.17142857142857143,77,9,32,36,0,7,19,4,0.21052631578947367,2,1,0.5,0.25,4,0.5714285714285714,0.3333333333333333,3,1,0,,0,0.0,0.9545454545454546,22,21,8,2,1.92
2023-08-26,Portland Pilots - Sacramento State Hornets 3:0,United States. NCAA D1 Non-conference matches,110,Portland Pilots,4-3-3 (100.0%),3,34,0.35294117647058826,12,20.38,3.51,17.58,63,0.9523809523809523,60,0.17751479289940827,31,0,5,1,0.2,1,0,0.0,14,8,0.5714285714285714,8,12,86,0.5465116279069767,47,1.04,247,0.5182186234817814,128,134,0.7611940298507462,102,0.30177514792899407,15,1,1,3,6,3,63,161,0.8757763975155279,141,0.4171597633136095,11.75,47,0.5106382978723404,24,0.07100591715976332,107,44,29,34,15.17,91,0.4945054945054945,45,0,7.58,400,0.845,338,48,0.6875,33,0.09763313609467456,0,0,27,9,,28,12,0.42857142857142855,49.9,85,0.7411764705882353,63,0.1863905325443787,84,10,42,32,0,16,17,3,0.17647058823529413,6,1,0.16666666666666666,0.14285714285714285,7,0.4375,0.5,6,3,3,0.3333333333333333,1,0.0029585798816568047,0.9375,16,15,35,2,1.96
2023-08-26,Portland Pilots - Sacramento State Hornets 3:0,United States. NCAA D1 Non-conference matches,110,Sacramento State Hornets,4-2-3-1 (100.0%),0,34,0.6176470588235294,21,18.85,3.64,22.01,58,0.9655172413793104,56,0.15730337078651685,12,3,7,3,0.42857142857142855,0,0,,15,2,0.13333333333333333,1,7,91,0.5054945054945055,46,-0.65,247,0.4574898785425101,113,155,0.7419354838709677,115,0.32303370786516855,15,3,2,-3,9,0,33,168,0.8630952380952381,145,0.40730337078651685,9.77,42,0.5,21,0.05898876404494382,109,64,16,29,16.24,86,0.45348837209302323,39,1,8.3,430,0.827906976744186,356,58,0.6379310344827587,37,0.10393258426966293,0,0,30,3,,37,11,0.2972972972972973,50.1,67,0.7910447761194029,53,0.14887640449438203,86,19,34,33,0,17,16,9,0.5625,11,2,0.18181818181818182,0.6666666666666666,3,0.17647058823529413,0.3333333333333333,6,2,2,0.5,1,0.0028089887640449437,0.8518518518518519,27,23,14,2,0.65
2023-08-26,UC Santa Barbara Gauchos - Oral Roberts Golden Eagles 0:4,United States. NCAA D1 Non-conference matches,99,Oral Roberts Golden Eagles,4-1-3-2 (100.0%),3,45,0.5333333333333333,24,20.88,2.41,18.76,33,0.9090909090909091,30,0.136986301369863,18,0,2,2,1.0,0,0,,11,4,0.36363636363636365,2,8,80,0.625,50,1.42,273,0.4981684981684982,136,130,0.7076923076923077,92,0.4200913242009132,14,6,4,4,8,4,36,74,0.8783783783783784,65,0.2968036529680365,16.07,45,0.5777777777777777,26,0.1187214611872146,119,49,25,45,12.97,109,0.3853211009174312,42,1,9.17,280,0.7821428571428571,219,40,0.625,25,0.1141552511415525,0,0,20,6,,33,14,0.42424242424242425,44.19,66,0.7878787878787878,52,0.2374429223744292,93,13,42,38,0,21,6,2,0.3333333333333333,11,4,0.36363636363636365,0.36363636363636365,11,0.5238095238095238,0.42857142857142855,7,3,4,1.0,4,0.0182648401826484,1.0,24,24,22,1,2.58
2023-08-26,UC Santa Barbara Gauchos - Oral Roberts Golden Eagles 0:4,United States. NCAA D1 Non-conference matches,99,UC Santa Barbara Gauchos,5-3-2 (48.05%),0,45,0.37777777777777777,17,20.09,4.02,17.48,78,0.8974358974358975,70,0.1891891891891892,8,4,3,0,0.0,0,0,,13,5,0.38461538461538464,5,7,109,0.6146788990825688,67,-0.7,273,0.46886446886446886,128,144,0.6944444444444444,100,0.2702702702702703,22,4,0,-4,7,0,42,176,0.8920454545454546,157,0.4243243243243243,14.22,64,0.5625,36,0.0972972972972973,117,52,20,45,16.5,80,0.375,30,3,4.48,450,0.8222222222222222,370,53,0.7169811320754716,38,0.10270270270270271,0,0,21,0,,28,4,0.14285714285714285,55.81,74,0.6891891891891891,51,0.13783783783783785,100,14,41,45,0,6,21,11,0.5238095238095238,3,1,0.3333333333333333,0.5,2,0.3333333333333333,0.5,12,6,0,,0,0.0,0.9583333333333334,24,23,11,2,0.7
2023-08-27,Evansville Purple Aces - Cal State Fullerton Titans 3:1,United States. NCAA D1 Non-conference matches,111,Cal State Fullerton Titans,4-4-2 (100.0%),0,35,0.45714285714285713,16,23.41,2.63,19.9,50,0.94,47,0.1902834008097166,4,3,11,3,0.2727272727272727,0,0,,16,6,0.375,4,7,55,0.5636363636363636,31,0.21999999999999997,179,0.4692737430167598,84,134,0.582089552238806,78,0.3157894736842105,16,7,1,-2,5,1,33,107,0.8504672897196262,91,0.3684210526315789,16.62,55,0.4,22,0.08906882591093117,118,63,17,38,13.89,70,0.45714285714285713,32,1,6.17,331,0.7462235649546828,247,62,0.5,31,0.12550607287449392,0,0,28,4,,40,11,0.275,53.0,65,0.7538461538461538,49,0.19838056680161945,72,13,17,42,0,18,19,6,0.3157894736842105,7,1,0.14285714285714285,0.25,4,0.2222222222222222,1.0,2,2,2,0.5,1,0.004048582995951417,0.8,40,32,23,2,0.78
2023-08-27,Evansville Purple Aces - Cal State Fullerton Titans 3:1,United States. NCAA D1 Non-conference matches,111,Evansville Purple Aces,3-4-1-2 (100.0%),3,35,0.5428571428571428,19,18.52,2.59,16.58,52,0.7884615384615384,41,0.17083333333333334,37,1,5,3,0.6,0,0,,5,3,0.6,3,13,70,0.5428571428571428,38,0.9700000000000002,179,0.5195530726256983,93,105,0.6571428571428571,69,0.2875,14,1,0,2,14,3,45,125,0.824,103,0.42916666666666664,10.59,34,0.5294117647058824,18,0.075,100,27,24,49,15.2,55,0.43636363636363634,24,1,9.61,321,0.7476635514018691,240,29,0.6896551724137931,20,0.08333333333333333,0,0,17,2,,21,14,0.6666666666666666,47.0,66,0.6666666666666666,44,0.18333333333333332,72,11,35,26,0,19,18,4,0.2222222222222222,5,0,0.0,0.0,6,0.3157894736842105,0.5,2,1,0,,0,0.0,0.7916666666666666,24,19,21,3,2.03
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,101,San Jose State Spartans,4-2-3-1 (100.0%),3,37,0.4864864864864865,18,17.75,5.62,18.01,100,0.91,91,0.16789667896678967,14,1,4,3,0.75,4,1,0.25,7,4,0.5714285714285714,4,12,66,0.6212121212121212,41,-1.0,221,0.5294117647058824,117,177,0.751412429378531,133,0.24538745387453875,15,0,0,1,3,2,30,260,0.9538461538461539,248,0.4575645756457565,5.02,31,0.5161290322580645,16,0.02952029520295203,112,45,17,50,17.24,80,0.4875,39,4,6.19,618,0.8770226537216829,542,65,0.7846153846153846,51,0.0940959409594096,1,0,30,8,0.0,29,14,0.4827586206896552,63.37,94,0.7340425531914894,69,0.12730627306273062,91,13,35,43,0,21,5,2,0.4,9,2,0.2222222222222222,0.2857142857142857,7,0.3333333333333333,0.7142857142857143,7,5,9,0.3333333333333333,3,0.005535055350553505,0.8181818181818182,22,18,23,3,3.0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,101,UC San Diego Tritons,4-1-4-1 (50.06%),0,37,0.4864864864864865,18,21.26,2.71,22.3,56,0.875,49,0.21777777777777776,9,2,4,0,0.0,1,0,0.0,10,3,0.3,3,4,80,0.5125,41,0.12,221,0.45701357466063347,101,113,0.6637168141592921,75,0.3333333333333333,16,3,0,-1,13,1,44,80,0.85,68,0.3022222222222222,16.38,48,0.5,24,0.10666666666666667,112,46,18,48,14.14,66,0.3787878787878788,25,2,12.61,293,0.7679180887372014,225,48,0.6666666666666666,32,0.14222222222222222,1,1,16,1,1.0,25,2,0.08,36.63,73,0.6301369863013698,46,0.20444444444444446,85,16,27,42,1,5,21,7,0.3333333333333333,3,0,0.0,0.0,2,0.4,,0,0,1,1.0,1,0.0044444444444444444,0.7777777777777778,18,14,8,2,0.88
