Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-1-4-1 (65.89%),0,0,0,0,0,39,29,74.36,52.59,17,5,6,6,10,7,2,1,30,13,43.33,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,2,11,3,27.27,0,0,0,0,0,10,8,80,6,1,16.67,1,1,100,13,6,2,0,0,19,12,63.16,4,4,100,10,7,70,11,5,45.45,4,2,50,12,6,50,0,0,0,0,0,0,1,10.56,2.05,28.21,0,22.59,5.8
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.04,1,0,0,41,26,63.41,47.41,17,1,1,15,6,2,3,1,30,17,56.67,0,0,0,5,0,0,0,0,0,3,1,33.33,0,0,0,0,0,0,3,0,0,0,1,5,0,2,2,10,2,20,0,0,0,0,0,11,8,72.73,6,5,83.33,2,2,100,0,1,2,0,0,19,9,47.37,6,5,83.33,9,7,77.78,8,5,62.5,11,3,27.27,7,5,71.43,0,0,0,6,3,50,1,12.32,2.56,19.51,13.9,21.77,5.6
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.05,2,1,50,53,45,84.91,58.04,17,3,5,9,11,9,1,1,35,19,54.29,2,1,50,2,1,50,0,0,0,2,0,0,1,1,100,0,0,0,0,0,0,0,0,2,1,0,1,12,4,33.33,0,0,1,1,100,11,9,81.82,9,6,66.67,0,0,0,5,2,2,0,0,18,11,61.11,10,10,100,21,20,95.24,8,4,50,6,3,50,9,6,66.67,0,0,0,3,2,66.67,0,15.18,2.79,15.09,24.66,21.84,5.6
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0.21,1,1,100,35,25,71.43,41.96,14,1,4,9,12,7,3,2,35,14,40,0,0,0,2,1,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,2,11,2,18.18,0,0,1,1,100,12,8,66.67,9,3,33.33,0,0,0,2,6,4,1,0,16,8,50,6,6,100,9,7,77.78,7,3,42.86,7,3,42.86,5,5,100,1,1,100,2,2,100,1,13.87,2.19,20,15.01,24.02,16.67
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (39.56%),0,0.05,2,1,50,68,58,85.29,67.81,24,6,9,9,13,6,7,0,29,16,55.17,1,1,100,8,1,12.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,13,6,46.15,0,0,0,0,0,5,5,100,4,1,25,0,0,0,8,6,1,0,0,27,19,70.37,13,12,92.31,23,23,100,8,5,62.5,9,6,66.67,12,10,83.33,1,0,0,8,7,87.5,1,14.62,3.24,11.76,22.82,21.56,20
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-4-2 (100.0%),0,0,1,0,0,33,18,54.55,32.19,16,1,5,10,11,4,4,3,29,9,31.03,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0,5,0,5,0,0,0,0,1,1,100,13,7,53.85,4,1,25,1,1,100,3,6,5,1,0,13,7,53.85,7,7,100,10,2,20,4,1,25,6,3,50,7,5,71.43,0,0,0,4,4,100,2,14.94,1.94,12.12,22.53,23.76,10.6
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.14,2,0,0,55,47,85.45,41.72,10,2,5,3,8,3,5,0,22,12,54.55,0,0,0,2,1,50,1,0,0,1,1,100,0,0,0,0,0,0,1,0,0,0,1,3,2,0,3,3,1,33.33,0,0,0,0,0,14,8,57.14,2,2,100,0,0,0,5,4,3,0,0,17,14,82.35,6,6,100,26,23,88.46,2,1,50,5,5,100,8,5,62.5,0,0,0,1,0,0,2,20.54,4.23,3.64,16.4,18.66,13
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,1,0,0,57,51,89.47,58.28,11,2,3,6,10,3,5,2,22,9,40.91,1,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,14,6,42.86,0,0,0,0,0,3,2,66.67,2,0,0,0,0,0,8,1,0,0,0,20,17,85,10,10,100,17,14,82.35,1,0,0,10,8,80,9,9,100,0,0,0,3,3,100,1,15.24,3.8,1.75,24.14,17.5,48
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (0.0%),0,0.35,1,0,0,69,58,84.06,48.72,23,4,4,15,19,8,6,5,63,31,49.21,0,0,0,10,1,10,0,0,0,1,1,100,0,0,0,0,0,0,3,2,66.67,2,3,8,2,2,5,28,9,32.14,0,0,0,0,0,24,20,83.33,7,1,14.29,1,1,100,7,5,0,0,0,25,18,72,14,14,100,20,19,95,9,5,55.56,11,7,63.64,14,13,92.86,0,0,0,4,4,100,0,14.78,3.83,13.04,10.29,19.93,11
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0,0,0,0,100,86,86,51.28,20,7,7,6,19,13,4,2,63,29,46.03,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,1,0,3,0,1,0,24,4,16.67,0,0,0,0,0,28,19,67.86,7,4,57.14,1,1,100,5,1,1,0,0,31,25,80.65,13,12,92.31,33,31,93.94,11,6,54.55,11,9,81.82,16,9,56.25,0,0,0,4,4,100,3,20.35,5,11,0,17.9,9.8
