Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),0,0.3,2,0,0,50,35,70,52.84,16,0,6,10,14,4,8,2,36,20,55.56,2,0,0,4,0,0,1,0,0,2,0,0,2,1,50,0,0,0,2,0,0,1,2,4,0,2,1,14,8,57.14,0,0,0,0,0,7,5,71.43,7,3,42.86,1,1,100,5,0,2,0,0,18,10,55.56,8,7,87.5,18,13,72.22,9,7,77.78,6,3,50,12,9,75,1,0,0,2,2,100,2,15.06,2.38,18,23.69,21.51,9
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.04,1,0,0,50,35,70,47.16,16,1,10,5,15,7,8,0,36,15,41.67,1,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,28.57,0,0,0,0,0,14,6,42.86,7,4,57.14,0,0,0,5,1,4,1,0,23,12,52.17,6,5,83.33,18,16,88.89,11,2,18.18,5,1,20,6,2,33.33,0,0,0,1,0,0,2,16.87,3.57,22,26.71,24.13,7.67
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.04,2,0,0,67,63,94.03,55.31,12,0,7,5,9,1,7,1,32,19,59.38,1,0,0,1,0,0,0,0,0,1,0,0,1,1,100,0,0,0,2,1,50,1,2,4,1,0,4,15,7,46.67,0,0,0,0,0,8,7,87.5,6,2,33.33,1,1,100,4,4,1,0,0,17,15,88.24,17,17,100,24,24,100,11,10,90.91,9,8,88.89,13,13,100,0,0,0,2,2,100,0,15.25,4.19,16.42,19.9,21.73,10.17
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (56.0%),0,0,0,0,0,65,55,84.62,44.69,15,3,8,4,8,4,3,1,32,12,37.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,12.5,0,0,0,0,0,15,8,53.33,6,3,50,0,0,0,2,1,5,1,1,19,15,78.95,11,11,100,25,23,92,4,1,25,3,1,33.33,8,3,37.5,0,0,0,5,2,40,3,18.31,5.42,6.15,0,21.22,12.25
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.07,2,0,0,78,64,82.05,48.97,19,1,7,11,14,5,4,5,30,13,43.33,2,0,0,2,1,50,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,5,1,3,1,10,5,50,0,0,0,0,0,11,6,54.55,6,2,33.33,0,0,0,3,0,0,0,0,21,14,66.67,17,16,94.12,31,27,87.1,10,3,30,6,2,33.33,9,5,55.56,1,0,0,2,0,0,2,15.92,4.59,12.82,25.34,21.77,64
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-4-2 (100.0%),0,0.44,3,0,0,79,70,88.61,51.03,15,7,2,6,8,3,5,0,30,16,53.33,2,0,0,5,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,11,5,45.45,0,0,0,0,0,10,5,50,6,4,66.67,0,0,0,6,3,1,0,0,17,11,64.71,14,14,100,35,35,100,8,5,62.5,11,8,72.73,10,7,70,0,0,0,1,1,100,1,15.47,6.08,10.13,21.28,19.75,14.75
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.1,1,0,0,88,78,88.64,66,14,4,3,7,12,4,5,3,32,10,31.25,0,0,0,6,1,16.67,0,0,0,1,0,0,1,0,0,0,0,0,3,1,33.33,1,0,5,2,2,3,16,6,37.5,0,0,0,0,0,9,2,22.22,1,1,100,2,0,0,8,0,4,0,0,28,21,75,14,14,100,38,37,97.37,6,2,33.33,7,4,57.14,12,8,66.67,0,0,0,4,3,75,1,17.91,5.18,6.82,15.76,20.12,2.56
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.3,3,0,0,44,36,81.82,34,14,5,5,4,10,4,3,3,32,20,62.5,1,0,0,4,2,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,5,9,7,77.78,0,0,0,0,0,16,10,62.5,1,0,0,1,0,0,8,0,2,0,0,16,9,56.25,4,4,100,14,13,92.86,4,1,25,5,3,60,7,4,57.14,0,0,0,4,3,75,1,17.38,3.14,9.09,16.92,19.78,10.86
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,0,55,42,76.36,37.08,20,3,7,10,14,4,9,1,44,18,40.91,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,3,18,7,38.89,0,0,0,0,0,12,6,50,9,3,33.33,2,2,100,5,2,2,0,0,20,16,80,9,9,100,17,12,70.59,7,5,71.43,8,7,87.5,11,8,72.73,0,0,0,4,4,100,3,17.42,2.75,12.73,0,19.94,9.14
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.32,3,0,0,92,77,83.7,62.92,14,1,8,5,18,8,9,1,44,25,56.82,0,0,0,7,3,42.86,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.67,5,1,5,1,4,4,12,6,50,1,0,0,0,0,18,11,61.11,9,5,55.56,0,0,0,10,2,4,0,0,25,16,64,14,14,100,41,37,90.24,6,2,33.33,9,5,55.56,11,8,72.73,0,0,0,3,3,100,1,17.17,4.6,6.52,12.34,18.96,4.88
