,Game,index,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
0,Duke,1,0.0,Throw-in,Successful,"[33.04761904761903, 0.3809523809523796]","[22.571428571428562, 11.047619047619051]",Duke,33.04761904761903,0.3809523809523796,22.571428571428562,11.047619047619051,left
1,Duke,3,0.0,Pass,Successful,"[17.047619047619037, 12.38095238095238]","[9.619047619047606, 21.14285714285714]",Duke,17.047619047619037,12.38095238095238,9.619047619047606,21.14285714285714,left
2,Duke,5,0.0,Pass,Successful,"[1.4285714285714164, 24.0]","[7.142857142857132, 47.80952380952381]",Duke,1.4285714285714164,24.0,7.142857142857132,47.80952380952381,left
3,Duke,7,0.0,Shot(foot),Unsuccessful,"[8.666666666666657, 48.19047619047619]","[0.857142857142847, 49.904761904761905]",Duke,8.666666666666657,48.19047619047619,0.857142857142847,49.904761904761905,left
4,Duke,9,1.0,Tackle,Successful,"[30.952380952380942, 62.857142857142854]","[-1, -1]",Duke,30.952380952380942,62.857142857142854,-1.0,-1.0,left
5,Duke,11,1.0,Pass,Successful,"[2.5714285714285623, 54.095238095238095]","[5.428571428571416, 44.19047619047619]",Duke,2.5714285714285623,54.095238095238095,5.428571428571416,44.19047619047619,left
6,Duke,13,1.0,Shot(foot),Successful,"[6.190476190476183, 43.42857142857143]","[0.2857142857142776, 36.57142857142857]",Duke,6.190476190476183,43.42857142857143,0.2857142857142776,36.57142857142857,left
8,Duke,17,2.0,2nd Ball,Successful,"[41.04761904761903, 23.04761904761905]","[23.90476190476189, 32.38095238095238]",Duke,41.04761904761903,23.04761904761905,23.90476190476189,32.38095238095238,left
9,Duke,19,2.0,Pass,Successful,"[17.238095238095227, 50.285714285714285]","[22.952380952380942, 59.42857142857143]",Duke,17.238095238095227,50.285714285714285,22.952380952380942,59.42857142857143,left
10,Duke,21,2.0,Pass,Successful,"[24.09523809523808, 58.857142857142854]","[11.142857142857132, 42.666666666666664]",Duke,24.09523809523808,58.857142857142854,11.142857142857132,42.666666666666664,left
11,Duke,23,2.0,Shot(foot),Unsuccessful,"[11.523809523809511, 37.523809523809526]","[0.4761904761904674, 38.85714285714286]",Duke,11.523809523809511,37.523809523809526,0.4761904761904674,38.85714285714286,left
12,Duke,25,2.0,Save,Successful,"[1.6190476190476062, 39.04761904761905]","[1.999999999999993, 26.095238095238102]",UCSD,1.6190476190476062,39.04761904761905,1.999999999999993,26.095238095238102,left
13,Duke,27,2.0,Pass,Successful,"[1.999999999999993, 25.33333333333333]","[10.761904761904752, 44.76190476190476]",Duke,1.999999999999993,25.33333333333333,10.761904761904752,44.76190476190476,left
14,Duke,29,2.0,Shot(foot),Successful,"[11.904761904761891, 46.095238095238095]","[0.2857142857142776, 37.142857142857146]",Duke,11.904761904761891,46.095238095238095,0.2857142857142776,37.142857142857146,left
15,Duke,31,3.0,Throw-in,Successful,"[37.8095238095238, 80.0]","[51.33333333333332, 72.57142857142857]",Duke,37.8095238095238,80.0,51.33333333333332,72.57142857142857,left
16,Duke,33,3.0,Pass,Successful,"[50.95238095238094, 71.42857142857143]","[72.28571428571428, 69.9047619047619]",Duke,50.95238095238094,71.42857142857143,72.28571428571428,69.9047619047619,left
17,Duke,35,3.0,Pass,Successful,"[73.23809523809521, 69.9047619047619]","[69.42857142857142, 45.523809523809526]",Duke,73.23809523809521,69.9047619047619,69.42857142857142,45.523809523809526,left
18,Duke,37,3.0,Pass,Successful,"[65.8095238095238, 46.095238095238095]","[62.19047619047618, 73.14285714285714]",Duke,65.8095238095238,46.095238095238095,62.19047619047618,73.14285714285714,left
19,Duke,39,3.0,Pass,Successful,"[52.85714285714284, 73.14285714285714]","[68.47619047619045, 58.476190476190474]",Duke,52.85714285714284,73.14285714285714,68.47619047619045,58.476190476190474,left
20,Duke,41,3.0,Pass,Successful,"[56.85714285714284, 54.095238095238095]","[46.57142857142856, 70.85714285714286]",Duke,56.85714285714284,54.095238095238095,46.57142857142856,70.85714285714286,left
21,Duke,43,3.0,Pass,Successful,"[45.04761904761903, 73.9047619047619]","[53.99999999999999, 61.523809523809526]",Duke,45.04761904761903,73.9047619047619,53.99999999999999,61.523809523809526,left
22,Duke,45,3.0,Pass,Successful,"[55.14285714285713, 63.42857142857143]","[43.7142857142857, 52.952380952380956]",Duke,55.14285714285713,63.42857142857143,43.7142857142857,52.952380952380956,left
23,Duke,47,3.0,Pass,Successful,"[40.09523809523808, 51.04761904761905]","[42.38095238095237, 35.23809523809524]",Duke,40.09523809523808,51.04761904761905,42.38095238095237,35.23809523809524,left
24,Duke,49,3.0,Shot(foot),Unsuccessful,"[34.19047619047618, 25.904761904761912]","[1.0476190476190368, 38.85714285714286]",Duke,34.19047619047618,25.904761904761912,1.0476190476190368,38.85714285714286,left
25,Duke,51,3.0,Save,Successful,"[0.2857142857142776, 37.904761904761905]","[9.809523809523796, 36.38095238095238]",UCSD,0.2857142857142776,37.904761904761905,9.809523809523796,36.38095238095238,left
26,Duke,53,3.0,Shot(foot),Unsuccessful,"[12.09523809523808, 36.38095238095238]","[0.857142857142847, 38.85714285714286]",Duke,12.09523809523808,36.38095238095238,0.857142857142847,38.85714285714286,left
27,Duke,55,4.0,Set Piece,Successful,"[0.0952380952380878, 0.0]","[15.142857142857132, 4.0]",Duke,0.0952380952380878,0.0,15.142857142857132,4.0,left
28,Duke,57,4.0,Pass,Unsuccessful,"[22.380952380952372, 6.285714285714292]","[6.571428571428562, 36.38095238095238]",Duke,22.380952380952372,6.285714285714292,6.571428571428562,36.38095238095238,left
