game,x1,y1,won,player,Side
SF,54.0,72.8,False,5,Right
SF,57.599999999999994,43.2,True,23,Right
SF,110.4,10.4,True,17,Left
SF,110.4,58.4,True,23,Right
SF,90.0,61.6,True,13,Right
SF,108.0,73.60000000000001,False,16,Right
SF,73.2,48.0,False,10,Right
SF,84.0,72.8,False,16,Right
SF,82.8,6.4,False,17,Left
SF,76.8,73.60000000000001,False,15,Right
SF,48.0,34.4,True,6,Left
SF,90.0,18.400000000000002,False,9,Left
SF,27.6,15.2,True,17,Left
SF,62.400000000000006,59.2,False,15,Right
SF,39.6,32.8,False,3,Left
SF,51.6,26.400000000000002,False,3,Left
SF,37.2,16.8,False,6,Left
SF,48.0,74.4,False,10,Right
SF,34.8,19.2,False,27,Left
SF,49.199999999999996,60.0,True,9,Right
SF,90.0,24.8,True,22,Left
Pepperdine,92.4,47.199999999999996,True,15,Right
Pepperdine,91.2,46.4,False,15,Right
Pepperdine,42.0,78.4,False,15,Right
Pepperdine,109.2,68.0,False,15,Right
Pepperdine,56.4,62.400000000000006,True,15,Right
Pepperdine,36.0,40.8,False,8,Right
Pepperdine,37.2,3.2,True,6,Left
Pepperdine,114.0,70.4,True,15,Right
Pepperdine,112.8,72.0,False,23,Right
Pepperdine,110.4,64.80000000000001,True,10,Right
Pepperdine,55.2,15.2,False,23,Left
Pepperdine,61.2,60.0,True,13,Right
Pepperdine,86.39999999999999,3.2,False,17,Left
Pepperdine,102.0,17.6,False,23,Left
Pepperdine,106.8,72.0,False,15,Right
Pepperdine,102.0,71.2,True,10,Right
Pepperdine,56.4,74.4,True,10,Right
Pepperdine,50.4,13.600000000000001,False,23,Left
Pepperdine,109.2,5.6000000000000005,True,21,Left
Pepperdine,38.4,58.4,True,26,Right
Pepperdine,51.6,77.6,False,5,Right
Pepperdine,36.0,2.4,False,17,Left
Pepperdine,80.4,76.0,False,27,Right
Pepperdine,13.2,73.60000000000001,True,26,Right
Pepperdine,96.0,12.8,False,18,Left
Pepperdine,56.4,79.2,False,13,Right
Pepperdine,102.0,2.4,False,21,Left
Pepperdine,108.0,16.8,False,23,Left
Pepperdine,103.2,13.600000000000001,True,21,Left
Pepperdine,51.6,12.0,True,23,Left
Pepperdine,48.0,4.0,False,23,Left
Pepperdine,79.2,25.6,False,23,Left
Pepperdine,90.0,24.0,True,3,Left
Pepperdine,98.39999999999999,40.8,False,21,Right
Pepperdine,92.4,38.4,True,23,Left
Pepperdine,86.39999999999999,71.2,False,15,Right
Pepperdine,44.4,16.0,False,23,Left
Pepperdine,78.0,61.6,False,10,Right
Pepperdine,91.2,68.0,True,15,Right
Pepperdine,49.199999999999996,46.4,False,14,Right
Pepperdine,58.8,75.19999999999999,False,15,Right
Pepperdine,37.2,75.19999999999999,True,13,Right
Pepperdine,86.39999999999999,67.2,True,10,Right
Pepperdine,61.2,58.4,True,28,Right
Pepperdine,105.6,12.8,True,21,Left
Pepperdine,85.19999999999999,42.400000000000006,True,13,Right
Pepperdine,58.8,4.8,False,21,Left
Pepperdine,28.799999999999997,8.8,False,21,Left
Pepperdine,28.799999999999997,66.39999999999999,True,26,Right
Pepperdine,82.8,55.199999999999996,False,23,Right
Pepperdine,70.8,52.0,False,10,Right
Nevada,70.8,15.2,False,23,Left
Nevada,85.19999999999999,4.8,True,21,Left
Nevada,70.8,7.199999999999999,True,17,Left
Nevada,34.8,6.4,True,17,Left
Nevada,78.0,13.600000000000001,False,3,Left
Nevada,78.0,45.599999999999994,False,10,Right
Nevada,45.6,60.0,False,10,Right
Nevada,82.8,12.8,False,23,Left
Nevada,73.2,32.8,True,17,Left
Nevada,30.0,71.2,True,13,Right
Nevada,79.2,15.2,True,3,Left
Nevada,91.2,60.0,True,15,Right
Nevada,40.800000000000004,59.2,True,10,Right
Nevada,68.39999999999999,20.8,False,23,Left
Nevada,32.400000000000006,68.0,False,13,Right
Nevada,38.4,58.4,False,10,Right
Nevada,33.6,66.39999999999999,True,10,Right
Nevada,73.2,13.600000000000001,False,23,Left
Nevada,81.60000000000001,29.6,False,23,Left
Nevada,31.200000000000003,17.6,True,6,Left
Nevada,74.4,4.8,True,28,Left
Nevada,80.4,6.4,True,17,Left
Nevada,67.2,11.200000000000001,True,17,Left
Nevada,46.800000000000004,5.6000000000000005,False,17,Left
Nevada,34.8,4.8,True,6,Left
Nevada,84.0,28.0,True,27,Left
Nevada,45.6,16.8,False,9,Left
Nevada,42.0,12.8,True,9,Left
Nevada,34.8,19.2,True,9,Left
Nevada,25.2,10.4,True,6,Left
Nevada,94.80000000000001,5.6000000000000005,False,27,Left
Nevada,85.19999999999999,9.6,False,27,Left
Nevada,30.0,4.8,True,17,Left
Nevada,81.60000000000001,76.0,False,15,Right
Nevada,99.6,60.8,False,15,Right
Nevada,86.39999999999999,74.4,False,15,Right
Nevada,84.0,46.4,True,23,Right
Nevada,27.6,10.4,False,21,Left
Nevada,27.6,25.6,False,3,Left
Nevada,68.39999999999999,62.400000000000006,False,23,Right
