Game,Event,Result,Start Pos,End Pos,Player
intersquad,Throw-in,Successful,"[15.523809523809511, 79.61904761904762]","[29.04761904761903, 65.9047619047619]",Blue
intersquad,Throw-in,Successful,"[35.90476190476189, 0.3809523809523796]","[47.33333333333332, 9.142857142857139]",Blue
intersquad,Pass,Unsuccessful,"[37.61904761904761, 18.85714285714286]","[12.857142857142847, 43.80952380952381]",Blue
intersquad,Pass,Successful,"[13.809523809523796, 65.14285714285714]","[3.714285714285701, 59.61904761904762]",Blue
intersquad,Pass,Successful,"[97.42857142857142, 62.666666666666664]","[106.76190476190476, 55.04761904761905]",Grey
intersquad,Pass,Unsuccessful,"[7.904761904761891, 16.57142857142857]","[5.428571428571416, 29.714285714285722]",Grey
intersquad,Throw-in,Successful,"[31.7142857142857, 0.3809523809523796]","[31.52380952380951, 10.285714285714292]",Grey
intersquad,Throw-in,Successful,"[40.85714285714284, 79.80952380952381]","[57.99999999999999, 75.61904761904762]",Blue
intersquad,Throw-in,Successful,"[42.95238095238094, 79.61904761904762]","[24.28571428571427, 71.61904761904762]",Grey
intersquad,Throw-in,Successful,"[45.42857142857141, 0.5714285714285694]","[76.09523809523807, 6.095238095238102]",Grey
intersquad,Throw-in,Successful,"[93.61904761904762, 0.3809523809523796]","[72.09523809523807, 3.4285714285714306]",Grey
intersquad,Pass,Successful,"[95.14285714285714, 62.476190476190474]","[105.23809523809524, 54.857142857142854]",Grey
intersquad,Pass,Unsuccessful,"[89.42857142857142, 39.61904761904762]","[109.8095238095238, 27.42857142857143]",Grey
intersquad,Throw-in,Successful,"[37.04761904761903, 79.61904761904762]","[40.28571428571427, 64.57142857142857]",Blue
intersquad,Throw-in,Successful,"[49.23809523809522, 1.142857142857153]","[33.23809523809522, 10.666666666666671]",Blue
intersquad,Pass,Unsuccessful,"[8.285714285714278, 73.71428571428572]","[7.523809523809511, 48.952380952380956]",Blue
