Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Enter a game,8,Pass,Successful,"[33.42857142857141, 51.42857142857143]","[38.38095238095237, 42.476190476190474]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[50.57142857142856, 45.333333333333336]","[53.80952380952379, 59.04761904761905]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[71.52380952380952, 58.666666666666664]","[88.09523809523807, 75.04761904761905]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[93.61904761904762, 69.71428571428572]","[83.9047619047619, 43.42857142857143]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[82.76190476190476, 35.23809523809524]","[71.7142857142857, 18.85714285714286]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[73.99999999999997, 21.14285714285714]","[94.57142857142856, 22.47619047619048]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[97.42857142857142, 22.85714285714286]","[96.28571428571428, 29.904761904761912]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[95.52380952380952, 29.714285714285722]","[101.42857142857142, 39.04761904761905]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[100.85714285714286, 40.19047619047619]","[98.0, 44.57142857142857]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[97.23809523809524, 49.523809523809526]","[114.19047619047618, 52.0]",Opponent
,,,,,,
Enter a game,8,Pass,Successful,"[115.9047619047619, 51.80952380952381]","[112.28571428571428, 40.57142857142857]",Opponent
,,,,,,
Enter a game,8,Shot(foot),Successful,"[113.23809523809524, 40.57142857142857]","[119.9047619047619, 38.095238095238095]",Opponent
