Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Santa Clara,0,2nd Ball,Successful,"[38.19047619047618, 6.857142857142861]","[38.19047619047618, 6.857142857142861]",Opponent
Santa Clara,0,1st Ball,Successful,"[66.38095238095238, 3.047619047619051]","[66.0, 2.6666666666666714]",UCSD
Santa Clara,0,2nd Ball,Successful,"[50.19047619047618, 3.80952380952381]","[50.19047619047618, 3.80952380952381]",UCSD
Santa Clara,0,1st Ball,Successful,"[102.76190476190476, 32.38095238095238]","[102.95238095238093, 32.0]",UCSD
Santa Clara,0,2nd Ball,Successful,"[98.19047619047618, 64.19047619047619]","[98.19047619047618, 64.19047619047619]",UCSD
Santa Clara,0,Pass,Successful,"[92.09523809523807, 53.523809523809526]","[66.19047619047618, 70.28571428571428]",UCSD
Santa Clara,0,Tackle,Successful,"[87.14285714285714, 65.9047619047619]","[-1, -1]",Jonah
Santa Clara,0,Pass,Successful,"[76.85714285714283, 62.285714285714285]","[79.52380952380952, 45.333333333333336]",Jonah
Santa Clara,0,Tackle,Unsuccessful,"[76.85714285714283, 35.42857142857143]","[-1, -1]",Quin
Santa Clara,0,Pass,Successful,"[68.66666666666666, 51.23809523809524]","[35.14285714285713, 61.523809523809526]",UCSD
Santa Clara,0,Pass,Successful,"[31.90476190476189, 61.142857142857146]","[26.571428571428562, 72.0]",UCSD
Santa Clara,0,Pass,Successful,"[25.619047619047606, 72.0]","[22.571428571428562, 53.333333333333336]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[21.047619047619037, 54.857142857142854]","[0.6666666666666572, 57.523809523809526]",UCSD
Santa Clara,0,1st Ball,Successful,"[35.7142857142857, 7.238095238095241]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[44.28571428571427, 9.523809523809533]","[44.28571428571427, 9.523809523809533]",Opponent
Santa Clara,0,1st Ball,Successful,"[68.85714285714283, 54.857142857142854]","[68.85714285714283, 54.857142857142854]",UCSD
Santa Clara,0,2nd Ball,Successful,"[52.28571428571427, 49.714285714285715]","[52.28571428571427, 49.714285714285715]",Jonah
Santa Clara,0,Pass,Successful,"[48.09523809523808, 49.333333333333336]","[29.999999999999993, 39.80952380952381]",Jonah
Santa Clara,0,Pass,Successful,"[74.38095238095238, 47.80952380952381]","[92.85714285714286, 63.23809523809524]",Jonah
Santa Clara,0,Pass,Successful,"[85.8095238095238, 60.95238095238095]","[29.23809523809522, 78.28571428571428]",UCSD
Santa Clara,0,Tackle,Successful,"[12.09523809523808, 64.95238095238095]","[-1, -1]",Opponent
Santa Clara,0,1st Ball,Successful,"[6.952380952380942, 30.47619047619048]","[6.952380952380942, 30.47619047619048]",UCSD
Santa Clara,0,Shot(head),Unsuccessful,"[5.619047619047606, 30.85714285714286]","[0.0952380952380878, 30.47619047619048]",UCSD
Santa Clara,0,1st Ball,Successful,"[66.76190476190476, 20.57142857142857]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[65.42857142857142, 17.904761904761912]","[65.42857142857142, 17.523809523809533]",UCSD
Santa Clara,0,Tackle,Unsuccessful,"[65.23809523809521, 17.714285714285722]","[65.23809523809521, 17.714285714285722]",Quin
Santa Clara,0,Pass,Successful,"[69.42857142857142, 4.761904761904759]","[50.76190476190475, 2.6666666666666714]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[42.19047619047618, 3.6190476190476204]","[8.285714285714278, 17.14285714285714]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[51.14285714285713, 7.238095238095241]","[14.571428571428562, 21.33333333333333]",UCSD
Santa Clara,0,1st Ball,Successful,"[12.666666666666657, 23.04761904761905]","[12.666666666666657, 23.04761904761905]",Opponent
Santa Clara,0,2nd Ball,Successful,"[33.04761904761903, 17.33333333333333]","[33.04761904761903, 17.33333333333333]",UCSD
Santa Clara,0,Tackle,Unsuccessful,"[34.57142857142856, 21.904761904761912]","[34.57142857142856, 21.904761904761912]",Quin
Santa Clara,0,1st Ball,Successful,"[74.76190476190476, 30.66666666666667]","[74.38095238095238, 30.66666666666667]",UCSD
Santa Clara,0,2nd Ball,Successful,"[68.66666666666666, 25.14285714285714]","[68.66666666666666, 25.14285714285714]",UCSD
Santa Clara,0,Pass,Successful,"[86.19047619047618, 23.80952380952381]","[69.61904761904759, 28.38095238095238]",UCSD
Santa Clara,0,Pass,Successful,"[70.19047619047618, 31.04761904761905]","[87.9047619047619, 50.285714285714285]",Jonah
Santa Clara,0,Pass,Successful,"[81.61904761904759, 55.80952380952381]","[55.14285714285713, 56.76190476190476]",UCSD
Santa Clara,0,Pass,Successful,"[49.8095238095238, 62.476190476190474]","[31.33333333333332, 74.0952380952381]",UCSD
