numOpportunity,Event,Result,Start Pos,End Pos,Team
10,Pass,Successful,"[104.85714285714286, 15.047619047619051]","[91.52380952380952, 30.47619047619048]",Duke
,,,,,
10,Shot(foot),Unsuccessful,"[90.57142857142856, 38.285714285714285]","[119.9047619047619, 43.04761904761905]",Duke
,,,,,
11,Set Piece,Successful,"[67.7142857142857, 15.42857142857143]","[58.95238095238094, 49.142857142857146]",Duke
,,,,,
11,Pass,Successful,"[61.6190476190476, 35.42857142857143]","[59.14285714285713, 10.666666666666671]",Duke
,,,,,
11,Pass,Successful,"[59.7142857142857, 9.904761904761912]","[48.47619047619046, 26.47619047619048]",Duke
,,,,,
11,Pass,Successful,"[47.52380952380951, 27.04761904761905]","[66.0, 39.80952380952381]",Duke
,,,,,
11,Pass,Successful,"[71.33333333333331, 48.38095238095238]","[89.61904761904759, 75.23809523809524]",Duke
,,,,,
11,Pass,Successful,"[95.7142857142857, 72.57142857142857]","[106.76190476190476, 46.666666666666664]",Duke
,,,,,
11,Pass,Successful,"[106.0, 48.19047619047619]","[106.95238095238093, 36.761904761904766]",Duke
,,,,,
11,Shot(foot),Unsuccessful,"[106.76190476190476, 36.57142857142857]","[118.38095238095238, 42.095238095238095]",Duke
,,,,,
11,Save,Successful,"[118.38095238095238, 41.142857142857146]","[116.66666666666666, 44.57142857142857]",UCSD
,,,,,
11,Shot(foot),Successful,"[115.7142857142857, 44.76190476190476]","[119.9047619047619, 42.476190476190474]",Duke
,,,,,
12,Tackle,Successful,"[71.14285714285714, 65.14285714285714]","[-1, -1]",Duke
,,,,,
12,Pass,Successful,"[52.66666666666665, 42.285714285714285]","[72.66666666666666, 39.04761904761905]",Duke
,,,,,
12,Pass,Successful,"[77.8095238095238, 40.38095238095238]","[94.38095238095238, 74.66666666666666]",Duke
,,,,,
12,Pass,Successful,"[110.57142857142856, 72.19047619047619]","[111.9047619047619, 42.666666666666664]",Duke
,,,,,
12,Shot(foot),Unsuccessful,"[112.09523809523807, 43.23809523809524]","[119.14285714285714, 39.42857142857143]",Duke
,,,,,
13,Tackle,Successful,"[85.8095238095238, 23.80952380952381]","[-1, -1]",Duke
,,,,,
13,Pass,Successful,"[84.28571428571428, 22.85714285714286]","[94.38095238095238, 3.80952380952381]",Duke
,,,,,
13,Pass,Successful,"[98.76190476190476, 7.428571428571431]","[103.9047619047619, 29.904761904761912]",Duke
,,,,,
13,Pass,Successful,"[107.14285714285714, 27.42857142857143]","[113.42857142857142, 38.095238095238095]",Duke
,,,,,
13,Shot(foot),Unsuccessful,"[113.42857142857142, 38.285714285714285]","[118.0, 36.952380952380956]",Duke
