Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
San Diego State,0,Pass,Unsuccessful,"[27.52380952380951, 42.476190476190474]","[75.52380952380952, 29.33333333333333]",UCSD
San Diego State,0,Shot(foot),Unsuccessful,"[5.999999999999986, 58.095238095238095]","[1.999999999999993, 44.76190476190476]",Opponent
San Diego State,0,Shot(foot),Unsuccessful,"[29.619047619047613, 34.85714285714286]","[0.4761904761904674, 34.285714285714285]",Opponent
San Diego State,0,Pass,Successful,"[50.19047619047618, 9.333333333333343]","[68.85714285714283, 2.4761904761904816]",Jonah
San Diego State,0,Pass,Successful,"[68.85714285714283, 3.80952380952381]","[78.76190476190476, 10.095238095238102]",UCSD
San Diego State,0,Pass,Successful,"[78.38095238095238, 10.666666666666671]","[90.76190476190476, 4.19047619047619]",UCSD
San Diego State,0,Pass,Unsuccessful,"[36.09523809523808, 28.57142857142857]","[35.7142857142857, 17.14285714285714]",Jonah
San Diego State,0,Pass,Successful,"[42.19047619047618, 17.33333333333333]","[66.19047619047618, 27.42857142857143]",Quin
San Diego State,0,Pass,Successful,"[58.76190476190475, 26.285714285714292]","[112.66666666666666, 1.142857142857153]",UCSD
San Diego State,0,Pass,Successful,"[83.14285714285714, 10.285714285714292]","[59.90476190476189, 24.0]",Quin
San Diego State,0,Tackle,Unsuccessful,"[82.38095238095238, 6.666666666666671]","[-1, -1]",Quin
San Diego State,0,Pass,Successful,"[30.571428571428562, 36.0]","[40.66666666666665, 17.904761904761912]",Quin
San Diego State,0,Pass,Unsuccessful,"[35.90476190476189, 17.714285714285722]","[50.38095238095237, 30.095238095238102]",UCSD
San Diego State,0,Pass,Successful,"[37.99999999999999, 38.285714285714285]","[9.809523809523796, 40.0]",Jonah
San Diego State,0,Pass,Unsuccessful,"[25.238095238095227, 64.95238095238095]","[74.76190476190476, 64.57142857142857]",UCSD
San Diego State,0,Pass,Unsuccessful,"[40.28571428571427, 63.23809523809524]","[47.90476190476189, 79.42857142857143]",Jonah
San Diego State,0,Pass,Successful,"[6.571428571428562, 44.19047619047619]","[59.14285714285713, 51.80952380952381]",UCSD
San Diego State,0,Pass,Successful,"[66.57142857142856, 36.19047619047619]","[97.23809523809524, 28.57142857142857]",UCSD
San Diego State,0,Shot(foot),Unsuccessful,"[95.52380952380952, 29.523809523809533]","[101.23809523809524, 32.0]",UCSD
San Diego State,0,Pass,Unsuccessful,"[69.23809523809521, 5.142857142857153]","[93.04761904761904, 13.523809523809533]",UCSD
San Diego State,0,Pass,Unsuccessful,"[47.14285714285713, 28.95238095238095]","[108.66666666666666, 18.85714285714286]",UCSD
San Diego State,0,Pass,Successful,"[54.95238095238094, 44.0]","[42.95238095238094, 43.61904761904762]",Quin
San Diego State,0,Pass,Successful,"[40.85714285714284, 43.23809523809524]","[21.999999999999986, 49.904761904761905]",Jonah
San Diego State,0,Pass,Successful,"[29.23809523809522, 69.52380952380952]","[57.80952380952379, 69.33333333333333]",UCSD
San Diego State,0,Pass,Unsuccessful,"[50.95238095238094, 44.38095238095238]","[83.9047619047619, 65.14285714285714]",Quin
San Diego State,0,Pass,Unsuccessful,"[30.190476190476183, 67.23809523809524]","[85.23809523809521, 56.0]",UCSD
San Diego State,0,Pass,Successful,"[50.57142857142856, 40.952380952380956]","[60.66666666666665, 49.904761904761905]",Quin
San Diego State,0,Pass,Successful,"[57.99999999999999, 56.19047619047619]","[50.38095238095237, 27.61904761904762]",Jonah
San Diego State,0,Pass,Successful,"[64.28571428571428, 3.4285714285714306]","[86.38095238095238, 6.476190476190482]",UCSD
San Diego State,0,Pass,Successful,"[63.52380952380951, 2.095238095238102]","[80.28571428571428, 9.904761904761912]",UCSD
San Diego State,0,Pass,Successful,"[78.57142857142856, 10.666666666666671]","[92.85714285714286, 3.6190476190476204]",UCSD
San Diego State,0,Pass,Unsuccessful,"[33.8095238095238, 8.19047619047619]","[69.99999999999997, 8.19047619047619]",UCSD
San Diego State,0,Pass,Successful,"[31.33333333333332, 20.95238095238095]","[42.76190476190475, 3.6190476190476204]",Quin
San Diego State,0,Pass,Successful,"[33.61904761904761, 60.38095238095238]","[12.285714285714278, 69.71428571428572]",Jonah
San Diego State,0,Pass,Unsuccessful,"[28.09523809523808, 58.476190476190474]","[78.95238095238093, 69.9047619047619]",Jonah
San Diego State,0,Pass,Successful,"[43.7142857142857, 68.57142857142857]","[89.23809523809521, 66.47619047619048]",UCSD
San Diego State,0,Tackle,Unsuccessful,"[78.76190476190476, 31.04761904761905]","[-1, -1]",Quin
San Diego State,0,Tackle,Successful,"[56.66666666666665, 31.04761904761905]","[56.66666666666665, 31.04761904761905]",Quin
San Diego State,0,Pass,Successful,"[53.23809523809522, 18.66666666666667]","[75.14285714285714, 30.85714285714286]",UCSD
San Diego State,0,Pass,Successful,"[72.47619047619045, 30.47619047619048]","[85.23809523809521, 50.095238095238095]",UCSD
San Diego State,0,Pass,Successful,"[87.33333333333331, 51.42857142857143]","[98.57142857142856, 67.23809523809524]",UCSD
San Diego State,0,Pass,Unsuccessful,"[106.38095238095238, 67.80952380952381]","[108.47619047619045, 44.952380952380956]",UCSD
San Diego State,0,Pass,Successful,"[71.14285714285714, 78.66666666666666]","[73.99999999999997, 54.476190476190474]",Jonah
San Diego State,0,Pass,Successful,"[50.38095238095237, 18.285714285714292]","[73.42857142857142, 5.142857142857153]",UCSD
San Diego State,0,Pass,Successful,"[94.95238095238093, 12.0]","[107.33333333333331, 3.238095238095241]",UCSD
San Diego State,0,Pass,Successful,"[106.0, 4.761904761904759]","[112.66666666666666, 36.761904761904766]",UCSD
San Diego State,0,Pass,Unsuccessful,"[29.619047619047613, 23.04761904761905]","[18.571428571428562, 33.714285714285715]",Woody
San Diego State,0,Shot(foot),Unsuccessful,"[17.047619047619037, 36.0]","[1.0476190476190368, 33.523809523809526]",Opponent
San Diego State,0,Pass,Successful,"[22.571428571428562, 0.3809523809523796]","[67.52380952380952, 4.38095238095238]",UCSD
San Diego State,0,Pass,Successful,"[70.19047619047618, 26.66666666666667]","[92.85714285714286, 52.76190476190476]",UCSD
San Diego State,0,Pass,Successful,"[85.8095238095238, 48.952380952380956]","[104.47619047619045, 56.0]",Jonah
San Diego State,0,Pass,Unsuccessful,"[82.76190476190476, 17.14285714285714]","[116.66666666666666, 58.095238095238095]",Jonah
San Diego State,0,Pass,Successful,"[51.14285714285713, 73.52380952380952]","[80.09523809523807, 74.0952380952381]",UCSD
San Diego State,0,Pass,Successful,"[48.28571428571427, 64.0]","[95.52380952380952, 72.38095238095238]",UCSD
San Diego State,0,Tackle,Unsuccessful,"[51.52380952380951, 36.38095238095238]","[-1, -1]",Jonah
San Diego State,0,Pass,Successful,"[71.7142857142857, 64.38095238095238]","[8.666666666666657, 63.04761904761905]",Opponent
San Diego State,0,Pass,Successful,"[29.809523809523803, 59.04761904761905]","[87.14285714285714, 60.0]",UCSD
San Diego State,0,Pass,Successful,"[33.04761904761903, 47.23809523809524]","[28.66666666666665, 68.19047619047619]",Jonah
San Diego State,0,Pass,Successful,"[81.42857142857142, 76.19047619047619]","[107.14285714285714, 75.42857142857143]",UCSD
San Diego State,0,Pass,Unsuccessful,"[117.23809523809524, 71.61904761904762]","[115.14285714285714, 46.85714285714286]",UCSD
