Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,23,Cal State Fullerton Titans,4-1-3-2 (100.0%),0,0.01,1,0,0,82,61,74.39,57.23,24,3,9,12,18,9,7,2,45,18,40,1,0,0,5,1,20,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,2,13,3,23.08,1,0,1,1,100,13,6,46.15,14,7,50,3,0,0,8,6,8,0,0,30,17,56.67,10,9,90,33,29,87.88,11,3,27.27,10,3,30,9,6,66.67,1,1,100,8,8,100,2,14.16,2.93,13.41,22.78,21.04,4
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,23,UC Davis Aggies,4-2-3-1 (100.0%),0,0.79,3,1,33.33,45,32,71.11,42.77,13,3,4,6,9,5,4,0,45,26,57.78,2,0,0,5,1,20,0,0,0,1,0,0,3,0,0,1,0,0,4,0,0,0,1,4,0,3,0,13,7,53.85,0,0,0,0,0,13,10,76.92,14,6,42.86,1,1,100,9,9,0,0,0,17,11,64.71,7,7,100,14,11,78.57,7,4,57.14,3,1,33.33,10,7,70,0,0,0,8,7,87.5,3,10.4,1.36,15.56,29.1,20.54,21
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,18,Cal State Fullerton Titans,4-2-3-1 (100.0%),1,0.61,2,2,100,52,38,73.08,38.73,24,8,4,12,17,9,8,0,57,23,40.35,1,1,100,7,2,28.57,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,1,1,3,22,6,27.27,0,0,0,0,0,24,13,54.17,5,1,20,2,1,50,9,4,5,0,0,22,14,63.64,5,4,80,20,16,80,11,6,54.55,9,5,55.56,12,10,83.33,0,0,0,8,5,62.5,0,14.77,2.36,21.15,21.14,21.32,7.7
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,18,UC Santa Barbara Gauchos,4-1-4-1 (100.0%),0,0,0,0,0,96,76,79.17,61.27,23,3,10,10,16,9,5,2,57,34,59.65,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,24,11,45.83,1,1,2,2,100,22,16,72.73,5,4,80,0,0,0,8,2,2,1,0,35,26,74.29,14,12,85.71,40,31,77.5,8,4,50,14,8,57.14,15,8,53.33,0,0,0,6,6,100,1,17.24,4,8.33,0,20.95,5
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,20,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.02,2,0,0,71,51,71.83,54.8,22,1,12,9,24,8,15,1,50,21,42,2,0,0,4,1,25,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,3,1,0,2,14,4,28.57,1,2,2,2,100,8,4,50,12,5,41.67,1,1,100,5,1,3,0,0,26,18,69.23,6,6,100,25,17,68,12,5,41.67,8,6,75,15,7,46.67,0,0,0,6,6,100,2,16.24,2.45,16.9,35.11,17.95,8.25
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,20,Cal Poly Mustangs,4-4-2 (100.0%),2,1.01,3,2,66.67,51,36,70.59,45.2,29,1,17,11,23,6,15,2,50,24,48,0,0,0,7,1,14.29,0,0,0,0,0,0,1,0,0,1,1,100,0,0,0,0,4,3,1,0,6,8,4,50,2,0,0,0,0,14,10,71.43,12,6,50,1,0,0,11,1,6,1,0,19,9,47.37,6,6,100,15,13,86.67,13,6,46.15,10,4,40,14,9,64.29,0,0,0,9,8,88.89,2,14.14,2.13,25.49,12.51,22.87,4.08
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,19,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.31,4,3,75,59,44,74.58,35.69,25,3,10,12,21,5,11,5,54,28,51.85,3,2,66.67,7,2,28.57,3,2,66.67,0,0,0,0,0,0,0,0,0,3,1,33.33,1,3,6,1,1,4,16,10,62.5,0,0,0,0,0,21,11,52.38,9,3,33.33,1,0,0,10,4,5,0,0,25,17,68,7,6,85.71,18,14,77.78,8,5,62.5,10,8,80,15,14,93.33,2,1,50,5,5,100,2,19.42,2.81,13.56,22.75,19.45,4.6
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,19,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0.13,2,0,0,85,69,81.18,64.31,24,5,13,6,23,11,9,3,54,25,46.3,1,0,0,3,0,0,0,0,0,2,1,50,1,0,0,0,0,0,2,0,0,0,1,4,1,1,5,21,10,47.62,0,0,3,3,100,16,6,37.5,9,5,55.56,1,0,0,6,5,2,1,0,29,22,75.86,13,11,84.62,30,26,86.67,8,4,50,6,4,66.67,8,4,50,0,0,0,3,3,100,2,15.53,3.27,9.41,21.58,18.11,11.67
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,18,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.29,2,0,0,71,53,74.65,49.87,21,4,7,10,10,6,3,1,38,19,50,0,0,0,4,0,0,1,0,0,5,2,40,0,0,0,0,0,0,5,0,0,0,0,5,1,2,4,13,6,46.15,0,0,2,2,100,9,7,77.78,9,4,44.44,0,0,0,11,5,2,0,0,34,25,73.53,15,12,80,15,12,80,6,3,50,9,5,55.56,18,13,72.22,1,1,100,3,3,100,1,14.91,2.73,8.45,9.46,21.6,8.29
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,18,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.1,3,2,66.67,80,58,72.5,50.13,23,4,7,12,20,10,6,4,38,15,39.47,1,1,100,5,3,60,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,5,9,2,22.22,2,0,0,0,0,13,7,53.85,9,3,33.33,0,0,0,8,5,2,0,0,30,21,70,7,6,85.71,36,27,75,11,5,45.45,10,2,20,10,8,80,1,0,0,7,5,71.43,2,16.72,3.33,13.75,21.25,21.43,17
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,25,Cal State Fullerton Titans,3-5-2 (52.82%),1,0.31,3,1,33.33,106,73,68.87,51.84,32,7,8,17,25,15,8,2,60,33,55,1,0,0,8,2,25,2,0,0,1,0,0,0,0,0,0,0,0,3,1,33.33,1,2,8,1,3,4,14,5,35.71,0,0,1,1,100,29,20,68.97,11,6,54.55,4,2,50,8,1,5,1,0,39,21,53.85,10,6,60,42,36,85.71,16,5,31.25,16,7,43.75,19,7,36.84,1,0,0,6,6,100,2,18.48,3.31,15.09,18.99,21.52,4.8
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,25,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.09,2,1,50,84,66,78.57,48.16,33,4,6,23,35,14,11,10,60,26,43.33,2,1,50,12,2,16.67,0,0,0,0,0,0,2,0,0,0,0,0,1,1,100,1,3,3,0,1,3,29,9,31.03,0,1,1,1,100,14,9,64.29,11,5,45.45,0,0,0,17,3,1,0,0,34,23,67.65,14,14,100,23,20,86.96,11,3,27.27,16,8,50,15,11,73.33,1,0,0,11,11,100,1,15.76,2.21,13.1,23.72,18.31,11.43
2023-10-08,CSU Bakersfield Roadrunners - Cal State Fullerton Titans 1:2,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,3-5-2 (100.0%),1,0.27,3,2,66.67,88,65,73.86,46.72,26,4,10,12,17,9,6,2,41,17,41.46,2,1,50,6,1,16.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,13,3,23.08,2,0,1,1,100,16,9,56.25,7,2,28.57,0,0,0,7,3,4,1,0,30,21,70,17,15,88.24,25,19,76,12,6,50,15,9,60,21,13,61.9,0,0,0,4,3,75,1,18.39,3.38,13.64,19.67,21.23,7.5
2023-10-08,CSU Bakersfield Roadrunners - Cal State Fullerton Titans 1:2,United States. NCAA D1 Big West,22,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),0,0.11,3,1,33.33,80,62,77.5,53.28,26,2,10,14,17,7,8,2,41,23,56.1,2,0,0,6,2,33.33,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,4,1,2,2,16,7,43.75,2,1,2,2,100,13,10,76.92,7,5,71.43,0,0,0,4,3,2,0,0,23,11,47.83,20,18,90,30,26,86.67,12,3,25,7,3,42.86,13,5,38.46,0,0,0,4,4,100,1,14.66,2.86,15,21.89,22.07,18.67
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,16,Cal State Fullerton Titans,4-4-2 (100.0%),0,0.05,2,0,0,93,78,83.87,68.95,20,2,8,10,15,6,9,0,31,14,45.16,1,0,0,4,1,25,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,12,6,50,0,0,0,0,0,5,4,80,8,2,25,0,0,0,2,2,3,0,0,25,23,92,13,12,92.31,35,26,74.29,11,8,72.73,17,14,82.35,19,17,89.47,0,0,0,5,5,100,3,17.34,4.23,11.83,22.35,22.62,4.6
