Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-08,CSUN Matadors - Sacramento State Hornets 1:1,United States. NCAA D1 Big West,9,CSUN Matadors,4-4-2 (100.0%),0,0.23,1,1,100,51,41,80.39,57.33,12,0,6,6,13,5,7,1,25,13,52,1,1,100,3,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,3,0,3,0,14,6,42.86,0,0,0,0,0,7,5,71.43,2,1,50,1,1,100,6,0,1,0,0,11,8,72.73,8,8,100,25,19,76,8,6,75,5,2,40,7,4,57.14,0,0,0,0,0,0,0,14.45,3.4,15.69,20.05,22.94,34
2023-10-08,CSUN Matadors - Sacramento State Hornets 1:1,United States. NCAA D1 Big West,9,Sacramento State Hornets,4-3-1-2 (100.0%),0,0,0,0,0,45,36,80,42.67,14,4,5,5,11,6,4,1,25,12,48,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,28.57,0,0,1,1,100,14,8,57.14,2,1,50,0,0,0,4,1,3,1,0,16,11,68.75,4,4,100,22,18,81.82,4,3,75,8,5,62.5,6,3,50,1,0,0,2,1,50,1,17.13,3,8.89,0,21.69,7.4
2023-10-05,Cal Poly Mustangs - CSUN Matadors 2:0,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0.1,2,0,0,71,54,76.06,61.54,20,2,6,12,16,10,4,2,27,12,44.44,1,0,0,12,2,16.67,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,2,0,6,12,3,25,0,0,0,0,0,4,0,0,8,7,87.5,1,1,100,5,3,4,0,0,21,15,71.43,11,8,72.73,23,18,78.26,12,5,41.67,6,3,50,7,6,85.71,0,0,0,9,7,77.78,1,17.16,2.96,16.9,21.05,19.94,15
2023-10-05,Cal Poly Mustangs - CSUN Matadors 2:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0,0,0,0,48,34,70.83,38.46,19,5,3,11,12,5,5,2,27,14,51.85,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,100,0,0,0,0,0,12,9,75,8,1,12.5,0,0,0,7,5,2,0,0,19,9,47.37,3,3,100,18,15,83.33,11,1,9.09,11,2,18.18,6,4,66.67,0,0,0,3,2,66.67,2,18.57,2.29,22.92,0,26.72,11.5
2023-10-01,CSUN Matadors - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,16,CSUN Matadors,4-2-3-1 (100.0%),0,0.58,3,1,33.33,58,45,77.59,46.16,23,1,12,10,20,8,7,5,41,18,43.9,1,0,0,6,1,16.67,0,0,0,3,1,33.33,1,0,0,0,0,0,5,4,80,2,1,5,1,3,7,12,3,25,0,0,3,3,100,17,7,41.18,9,6,66.67,0,0,0,11,2,6,1,0,33,23,69.7,7,6,85.71,12,10,83.33,11,8,72.73,8,5,62.5,18,15,83.33,1,0,0,0,0,0,0,13.59,2.76,18.97,14.08,23.37,4.86
2023-10-01,CSUN Matadors - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,16,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.49,3,3,100,87,73,83.91,53.84,28,7,10,11,19,6,10,3,41,21,51.22,2,2,100,5,2,40,0,0,0,0,0,0,1,0,0,0,0,0,2,1,50,0,0,3,3,0,3,17,10,58.82,0,0,1,1,100,12,9,75,9,2,22.22,0,0,0,9,4,2,0,0,31,22,70.97,15,15,100,37,34,91.89,10,5,50,10,8,80,22,15,68.18,2,2,100,3,3,100,2,17.47,3.95,11.49,24.54,21.51,7.5
2023-09-28,CSUN Matadors - Cal State Fullerton Titans 4:5,United States. NCAA D1 Big West,20,CSUN Matadors,4-4-2 (100.0%),0,0,0,0,0,47,31,65.96,36.13,22,5,7,10,14,7,7,0,51,24,47.06,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,1,14,5,35.71,0,2,2,2,100,26,14,53.85,8,4,50,1,0,0,6,7,4,1,0,18,9,50,9,8,88.89,15,13,86.67,8,1,12.5,10,5,50,11,5,45.45,0,0,0,6,3,50,0,15.21,2.04,17.02,0,23.08,11.4
2023-09-28,CSUN Matadors - Cal State Fullerton Titans 4:5,United States. NCAA D1 Big West,20,Cal State Fullerton Titans,4-2-3-1 (100.0%),2,0.34,3,2,66.67,80,62,77.5,63.87,21,2,9,10,14,9,4,1,51,27,52.94,2,1,50,6,3,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,2,26,12,46.15,0,0,0,0,0,14,9,64.29,8,4,50,0,0,0,5,3,4,1,0,24,16,66.67,12,11,91.67,37,34,91.89,7,2,28.57,6,3,50,11,9,81.82,0,0,0,7,6,85.71,2,14.64,3.2,8.75,19.33,20.08,7.4
2023-09-25,Santa Clara Broncos - CSUN Matadors 1:0,United States. NCAA D1 Non-conference matches,15,CSUN Matadors,3-4-1-2 (100.0%),0,0,0,0,0,46,34,73.91,40.64,21,5,9,7,16,11,5,0,59,21,35.59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,4,22.22,0,0,0,0,0,18,10,55.56,11,3,27.27,0,0,0,7,2,1,0,0,21,12,57.14,11,10,90.91,9,8,88.89,11,5,45.45,7,1,14.29,10,6,60,0,0,0,7,6,85.71,3,14.23,1.84,23.91,0,21.97,12.5
2023-09-25,Santa Clara Broncos - CSUN Matadors 1:0,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-4-1-2 (100.0%),0,0.31,3,0,0,87,77,88.51,59.36,19,1,6,12,16,6,6,4,59,33,55.93,0,0,0,11,3,27.27,0,0,0,1,0,0,1,0,0,0,0,0,6,3,50,3,4,7,0,4,7,18,8,44.44,0,0,0,0,0,18,14,77.78,11,7,63.64,0,0,0,11,3,3,0,0,29,25,86.21,22,20,90.91,23,19,82.61,12,7,58.33,14,10,71.43,17,16,94.12,1,0,0,8,6,75,0,18.43,3.63,13.79,14.9,20.8,4.78
