Player,Match,Competition,Date,Position,Minutes played,Aerial duels,Aerial duels accuracy,Aerial duels percentage of team,Aerial duels won,Aerial duels won percentage of team,Assists,Back passes,Back passes accuracy,Back passes accurate,Back passes accurate percentage of team,Back passes percentage,Back passes percentage of team,Clearances,Conceded goals,Crosses,Crosses accuracy,Crosses accurate,Crosses accurate percentage of team,Crosses percentage of team,Defensive duels,Defensive duels accuracy,Defensive duels percentage of team,Defensive duels won,Defensive duels won percentage of team,Dribbles,Dribbles accuracy,Dribbles successful,Duels,Duels accuracy,Duels percentage of team,Duels won,Duels won percentage of team,Exits,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes accurate percentage of team,Forward passes percentage,Forward passes percentage of team,Fouls,Fouls suffered,Goal kicks,Goals,Interceptions,Interceptions percentage of team,Long goal kicks,Long pass accuracy,Long passes,Long passes accurate,Long passes accurate percentage of team,Long passes percentage,Long passes percentage of team,Loose ball duels,Loose ball duels accuracy,Loose ball duels won,Losses,Losses own half,Losses percentage of team,Offensive duels,Offensive duels accuracy,Offensive duels percentage of team,Offensive duels won,Offensive duels won percentage of team,Offsides,Offsides percentage of team,Pass accuracy,Passes,Passes accurate,Passes accurate percentage of team,Passes percentage of team,Passes to GK,Passes to GK accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third accurate percentage of team,Passes to final third percentage,Passes to final third percentage of team,Passes to penalty area,Passes to penalty area accuracy,Passes to penalty area accurate,Progressive runs,Received passes,Recoveries,Recoveries opp. half,Recoveries percentage of team,Red card,Red cards,Saves,Saves with reflexes,Second assists,Short goal kicks,Shot accuracy,Shot assists,Shots,Shots against,Shots on target,Shots on target percentage of team,Shots percentage of team,Sliding tackles,Sliding tackles accuracy,Sliding tackles successful,Through pass accuracy,Through passes,Through passes accurate,Total actions,Total actions successful,Touches in penalty area,Touches in penalty area percentage of team,Yellow card,Yellow cards,xA,xCG,xG,xG percentage of team
Allen,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,2023-09-15,MID,67,6,0.5,0.0821917808219178,3,0.0967741935483871,1,8,0.875,7,0.16666666666666666,0.34782608695652173,0.15384615384615385,1,0,1,1.0,1,0.25,0.125,7,0.5714285714285714,0.08433734939759036,4,0.07407407407407407,2,1.0,2,26,0.5384615384615384,0.08666666666666667,14,0.09722222222222222,0,4,1.0,4,0.03418803418803419,0.17391304347826086,0.023255813953488372,3,3,0,0,1,0.015625,0,,0,0,0.0,0.0,0.0,3,0.6666666666666666,2,9,5,0.05921052631578947,10,0.5,0.11363636363636363,5,0.13513513513513514,0,,0.9565217391304348,23,22,0.08088235294117647,0.06353591160220995,0,0,1,1.0,1,0.02631578947368421,0.043478260869565216,0.01818181818181818,1,1.0,1,0,16,6,4,0.05504587155963303,0,0,0,0,0,0,,1,0,0,0,0.0,0.0,0,,0,,0,0,63,36,0,0.0,0,0,0.13,0.0,0.0,0.0
Allen,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,2023-09-09,MID,58,0,,0.0,0,0.0,0,6,1.0,6,0.125,0.24,0.12244897959183673,0,0,1,0.0,0,0.0,0.14285714285714285,4,0.25,0.07692307692307693,1,0.030303030303030304,2,0.0,0,18,0.2222222222222222,0.125,4,0.058823529411764705,0,4,0.75,3,0.046875,0.16,0.036036036036036036,2,2,0,0,3,0.06666666666666667,0,0.0,1,0,0.0,0.04,0.021739130434782608,2,0.0,0,7,2,0.07368421052631578,12,0.25,0.2222222222222222,3,0.13043478260869565,0,0.0,0.88,25,22,0.09734513274336283,0.0847457627118644,0,0,2,0.5,1,0.06666666666666667,0.08,0.05555555555555555,0,,0,1,13,4,1,0.05970149253731343,0,0,0,0,0,0,,0,0,0,0,,0.0,2,0.0,0,,0,0,49,26,1,0.125,0,0,0.0,0.0,0.0,0.0
Allen,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,2023-09-01,MID,60,0,,0.0,0,0.0,0,4,0.75,3,0.06666666666666667,0.19047619047619047,0.08,0,0,1,1.0,1,0.25,0.07692307692307693,9,0.4444444444444444,0.10975609756097561,4,0.0784313725490196,5,0.4,2,26,0.2692307692307692,0.11711711711711711,7,0.0673076923076923,0,3,0.6666666666666666,2,0.020833333333333332,0.14285714285714285,0.024,2,2,0,0,3,0.07692307692307693,0,1.0,1,1,0.045454545454545456,0.047619047619047616,0.02564102564102564,1,0.0,0,5,1,0.04310344827586207,16,0.1875,0.20512820512820512,3,0.15,0,0.0,0.8095238095238095,21,17,0.06390977443609022,0.0634441087613293,0,0,3,0.6666666666666666,2,0.06060606060606061,0.14285714285714285,0.058823529411764705,3,0.3333333333333333,1,1,11,2,1,0.028985507246376812,0,0,0,0,0,0,,1,0,0,0,0.0,0.0,0,,0,,0,0,54,24,0,0.0,0,0,0.1,0.0,0.0,0.0
Allen,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,2023-08-27,MID,78,4,0.5,0.10810810810810811,2,0.1111111111111111,0,4,0.75,3,0.061224489795918366,0.15384615384615385,0.07142857142857142,2,0,1,0.0,0,0.0,0.1,12,0.4166666666666667,0.15,5,0.12195121951219512,4,0.5,2,28,0.39285714285714285,0.12669683257918551,11,0.10891089108910891,0,6,0.6666666666666666,4,0.05333333333333334,0.23076923076923078,0.05309734513274336,1,1,0,1,5,0.11363636363636363,0,1.0,3,3,0.125,0.11538461538461539,0.0625,4,0.25,1,12,1,0.10714285714285714,8,0.375,0.12121212121212122,3,0.12,0,0.0,0.8846153846153846,26,23,0.10222222222222223,0.08873720136518772,0,0,6,0.8333333333333334,5,0.15625,0.23076923076923078,0.125,1,0.0,0,0,18,7,6,0.08235294117647059,0,0,0,0,0,0,1.0,1,1,0,1,0.5,0.2,0,,0,,0,0,64,37,1,0.125,0,0,0.0,0.0,0.76,0.8636363636363636
Allen,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,2023-08-25,MID,66,2,0.0,0.044444444444444446,0,0.0,0,5,1.0,5,0.1282051282051282,0.17857142857142858,0.11627906976744186,0,0,0,,0,0.0,0.0,3,0.3333333333333333,0.0375,1,0.021739130434782608,0,,0,13,0.3076923076923077,0.06280193236714976,4,0.038461538461538464,0,6,1.0,6,0.08450704225352113,0.21428571428571427,0.058823529411764705,1,1,0,1,0,0.0,0,1.0,1,1,0.05555555555555555,0.03571428571428571,0.02631578947368421,3,0.6666666666666666,2,6,1,0.05172413793103448,5,0.2,0.08064516129032258,1,0.03571428571428571,0,,0.9642857142857143,28,27,0.12857142857142856,0.10256410256410256,1,1,4,1.0,4,0.15384615384615385,0.14285714285714285,0.0851063829787234,0,,0,0,20,1,0,0.012987012987012988,0,0,0,0,0,0,1.0,0,1,0,1,0.25,0.14285714285714285,1,0.0,0,,0,0,49,32,0,0.0,0,0,0.0,0.0,0.76,0.39583333333333337
Allen,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,2023-10-29,MID,78,0,,0.0,0,0.0,0,9,0.7777777777777778,7,0.12727272727272726,0.20930232558139536,0.140625,0,0,2,0.5,1,0.16666666666666666,0.1,8,0.75,0.11594202898550725,6,0.16216216216216217,7,0.8571428571428571,6,29,0.6551724137931034,0.13488372093023257,19,0.17117117117117117,0,13,0.6923076923076923,9,0.08653846153846154,0.3023255813953488,0.07344632768361582,2,2,0,0,4,0.07547169811320754,0,,0,0,0.0,0.0,0.0,4,0.75,3,16,2,0.10062893081761007,17,0.5882352941176471,0.22077922077922077,10,0.2631578947368421,0,0.0,0.8372093023255814,43,36,0.12162162162162163,0.10462287104622871,0,0,9,0.7777777777777778,7,0.28,0.20930232558139536,0.14754098360655737,3,0.6666666666666666,2,1,22,6,5,0.05084745762711865,0,0,0,0,0,0,,4,0,0,0,0.0,0.0,0,,0,,0,0,85,55,1,0.07692307692307693,0,0,0.45,0.0,0.0,0.0
Allen,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,2023-10-22,MID,61,1,0.0,0.017241379310344827,0,0.0,0,6,0.8333333333333334,5,0.10638297872340426,0.1875,0.11764705882352941,0,0,4,0.25,1,0.07692307692307693,0.14285714285714285,4,1.0,0.06153846153846154,4,0.08163265306122448,1,0.0,0,11,0.45454545454545453,0.044534412955465584,5,0.04032258064516129,0,7,0.7142857142857143,5,0.05263157894736842,0.21875,0.05,0,0,0,0,2,0.09523809523809523,0,0.5,2,1,0.030303030303030304,0.0625,0.037037037037037035,2,0.5,1,7,0,0.05785123966942149,4,0.0,0.045454545454545456,0,0.0,0,,0.8125,32,26,0.0962962962962963,0.0906515580736544,0,0,6,0.8333333333333334,5,0.10416666666666667,0.1875,0.08571428571428572,4,0.25,1,0,22,5,4,0.054945054945054944,0,0,0,0,0,0,0.5,1,2,0,1,0.25,0.18181818181818182,1,1.0,1,0.0,1,0,49,33,2,0.125,0,0,0.01,0.0,0.24,0.24742268041237114
Allen,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,2023-10-19,MID,61,1,0.0,0.020833333333333332,0,0.0,0,2,1.0,2,0.05263157894736842,0.09090909090909091,0.046511627906976744,1,0,2,0.5,1,0.16666666666666666,0.13333333333333333,7,0.7142857142857143,0.08860759493670886,5,0.10638297872340426,1,0.0,0,23,0.43478260869565216,0.09236947791164658,10,0.08771929824561403,0,4,0.5,2,0.021739130434782608,0.18181818181818182,0.02877697841726619,2,3,0,0,1,0.034482758620689655,0,0.0,1,0,0.0,0.045454545454545456,0.01818181818181818,7,0.2857142857142857,2,7,0,0.05555555555555555,8,0.375,0.1038961038961039,3,0.11538461538461539,0,,0.7727272727272727,22,17,0.06614785992217899,0.06606606606606606,0,0,1,1.0,1,0.02702702702702703,0.045454545454545456,0.01694915254237288,3,0.3333333333333333,1,0,12,5,4,0.05555555555555555,0,0,0,0,0,0,0.0,1,2,0,0,0.0,0.2857142857142857,0,,0,0.0,2,0,59,29,1,0.08333333333333333,0,0,0.51,0.0,0.04,0.02777777777777778
Allen,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,2023-10-15,MID,57,2,0.0,0.05128205128205128,0,0.0,0,2,1.0,2,0.0425531914893617,0.07407407407407407,0.04081632653061224,0,0,1,0.0,0,0.0,0.045454545454545456,5,0.8,0.08333333333333333,4,0.125,1,0.0,0,13,0.38461538461538464,0.06103286384976526,5,0.053763440860215055,0,6,0.5,3,0.03,0.2222222222222222,0.04411764705882353,0,0,0,0,3,0.05084745762711865,0,0.0,1,0,0.0,0.037037037037037035,0.02857142857142857,3,0.3333333333333333,1,7,1,0.06930693069306931,3,0.0,0.0379746835443038,0,0.0,0,0.0,0.8518518518518519,27,23,0.08487084870848709,0.08035714285714286,0,0,2,1.0,2,0.0425531914893617,0.07407407407407407,0.034482758620689655,3,0.0,0,0,24,5,3,0.054945054945054944,0,0,0,0,0,0,,2,0,0,0,0.0,0.0,0,,0,0.0,1,0,46,29,0,0.0,0,0,0.06,0.0,0.0,0.0
Allen,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,2023-10-12,MID,62,0,,0.0,0,0.0,0,3,0.6666666666666666,2,0.058823529411764705,0.1875,0.075,0,0,0,,0,0.0,0.0,3,0.6666666666666666,0.041666666666666664,2,0.05405405405405406,1,0.0,0,11,0.45454545454545453,0.049107142857142856,5,0.05319148936170213,0,7,0.8571428571428571,6,0.07228915662650602,0.4375,0.0625,2,1,0,2,1,0.02564102564102564,0,1.0,2,2,0.06451612903225806,0.125,0.0425531914893617,2,0.5,1,5,1,0.05555555555555555,6,0.3333333333333333,0.06521739130434782,2,0.06451612903225806,0,0.0,0.875,16,14,0.06829268292682927,0.06177606177606178,0,0,3,0.6666666666666666,2,0.058823529411764705,0.1875,0.057692307692307696,3,1.0,3,0,8,4,3,0.05333333333333334,0,0,0,0,0,0,1.0,1,2,0,2,0.25,0.14285714285714285,0,,0,,0,0,40,21,0,0.0,0,0,0.01,0.0,0.82,0.40796019900497515
