Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-4-2 (100.0%),0,0.33,2,0,0,72,52,72.22,51.53,26,6,11,9,17,6,8,3,40,16,40,1,0,0,5,2,40,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,2,0,4,0,3,1,11,4,36.36,1,0,0,0,0,8,5,62.5,15,6,40,1,1,100,8,4,1,0,0,27,19,70.37,11,7,63.64,26,22,84.62,14,8,57.14,10,6,60,23,13,56.52,0,0,0,7,7,100,5,16.8,2.88,19.44,14.19,21.29,7
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.14,3,0,0,42,25,59.52,48.47,18,4,5,9,20,8,10,2,40,23,57.5,2,0,0,6,2,33.33,0,0,0,2,1,50,1,0,0,0,0,0,2,0,0,0,1,4,0,1,1,8,3,37.5,0,0,0,0,0,11,7,63.64,15,8,53.33,0,0,0,7,2,2,0,0,20,9,45,8,6,75,9,7,77.78,12,5,41.67,8,3,37.5,11,7,63.64,0,0,0,4,4,100,1,10.42,1.68,28.57,20.06,27.58,10
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.04,1,1,100,70,59,84.29,47.9,14,1,10,3,11,6,5,0,36,22,61.11,1,1,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,0,0,1,15,9,60,0,0,0,0,0,12,8,66.67,4,3,75,0,0,0,6,2,4,0,0,29,21,72.41,10,9,90,25,24,96,11,7,63.64,4,4,100,9,8,88.89,0,0,0,2,2,100,2,19.12,3.5,15.71,27.16,18.25,12.75
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,0,61,51,83.61,52.1,15,1,5,9,13,3,8,2,36,13,36.11,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,100,1,1,2,0,0,1,12,4,33.33,0,0,1,1,100,15,6,40,4,1,25,2,2,100,4,0,3,0,0,23,15,65.22,7,7,100,21,20,95.24,8,3,37.5,9,5,55.56,8,7,87.5,0,0,0,6,4,66.67,0,15.32,2.65,13.11,0,20.09,10.17
2023-10-08,UC Santa Barbara Gauchos - UC Riverside Highlanders 2:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-1-3 (100.0%),0,0,0,0,0,74,63,85.14,59.23,22,1,8,13,17,6,8,3,46,22,47.83,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,75,2,0,3,0,3,1,18,8,44.44,0,0,0,0,0,17,8,47.06,6,4,66.67,0,0,0,8,2,4,0,0,26,19,73.08,14,14,100,20,19,95,8,4,50,4,2,50,10,10,100,1,0,0,5,5,100,1,14.73,3.89,10.81,0,19.4,5.4
2023-10-08,UC Santa Barbara Gauchos - UC Riverside Highlanders 2:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0,0,0,0,63,44,69.84,40.77,16,5,6,5,12,5,6,1,46,22,47.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,9,52.94,1,0,0,0,0,18,10,55.56,6,1,16.67,2,1,50,5,2,3,0,0,27,18,66.67,15,12,80,11,9,81.82,4,2,50,7,2,28.57,11,5,45.45,2,0,0,6,6,100,0,18.22,3,6.35,0,18.21,13.75
2023-10-05,UC Davis Aggies - UC Santa Barbara Gauchos 1:2,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.01,1,0,0,94,82,87.23,56.63,17,4,8,5,10,5,5,0,37,18,48.65,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,2,16,5,31.25,0,0,1,1,100,13,8,61.54,4,4,100,0,0,0,7,1,1,0,0,29,24,82.76,13,12,92.31,41,38,92.68,6,3,50,7,4,57.14,18,12,66.67,0,0,0,1,1,100,4,17.3,5.53,6.38,33.06,20.2,37
2023-10-05,UC Davis Aggies - UC Santa Barbara Gauchos 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-4-1 (100.0%),0,0.06,1,1,100,67,54,80.6,43.37,12,0,5,7,13,3,6,4,37,18,48.65,1,1,100,9,1,11.11,0,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,0,5,1,3,1,13,5,38.46,0,0,0,0,0,16,11,68.75,4,0,0,0,0,0,7,1,2,0,0,25,15,60,11,11,100,21,18,85.71,7,4,57.14,10,7,70,11,8,72.73,0,0,0,2,2,100,1,16.1,4.19,10.45,25.83,19.73,11.43
2023-10-01,UC Santa Barbara Gauchos - UC Irvine Anteaters 0:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-3-3 (100.0%),0,0.26,2,1,50,86,71,82.56,66.73,18,2,3,13,16,2,9,5,44,23,52.27,1,0,0,8,2,25,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,0,4,0,3,1,14,6,42.86,0,0,0,0,0,14,10,71.43,8,5,62.5,1,1,100,4,1,3,0,0,30,20,66.67,21,21,100,27,23,85.19,11,8,72.73,14,8,57.14,18,12,66.67,0,0,0,5,5,100,0,14.51,5.38,12.79,21.38,21.76,3.7
2023-10-01,UC Santa Barbara Gauchos - UC Irvine Anteaters 0:0,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0,1,0,0,46,37,80.43,33.27,21,7,10,4,17,12,4,1,44,19,43.18,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,28.57,0,0,1,1,100,14,8,57.14,8,3,37.5,2,1,50,6,2,2,0,0,17,12,70.59,6,6,100,17,14,82.35,6,6,100,4,3,75,10,3,30,0,0,0,4,4,100,3,15.57,2.42,13.04,25.91,17.68,14.5
