Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
UNLV,0,2nd Ball,Successful,"[23.52380952380951, 57.142857142857146]","[23.52380952380951, 57.142857142857146]",Opponent
,,,,,,
UNLV,0,Pass,Unsuccessful,"[85.99999999999997, 16.95238095238095]","[53.6190476190476, 0.0]",Nolan
,,,,,,
UNLV,0,1st Ball,Successful,"[82.19047619047618, 7.80952380952381]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[77.42857142857142, 17.714285714285722]","[77.42857142857142, 17.714285714285722]",Jonah
,,,,,,
UNLV,0,Pass,Unsuccessful,"[75.14285714285714, 17.714285714285722]","[51.7142857142857, 38.85714285714286]",Jonah
,,,,,,
UNLV,0,1st Ball,Successful,"[101.61904761904762, 35.61904761904762]","[-1, -1]",Evan
,,,,,,
UNLV,0,1st Ball,Successful,"[107.14285714285714, 52.57142857142857]","[107.14285714285714, 52.57142857142857]",Matt
,,,,,,
UNLV,0,1st Ball,Successful,"[87.33333333333331, 48.38095238095238]","[87.33333333333331, 48.57142857142857]",Adam
,,,,,,
UNLV,0,2nd Ball,Successful,"[80.85714285714283, 46.476190476190474]","[93.23809523809524, 30.85714285714286]",Jonah
,,,,,,
UNLV,0,Pass,Successful,"[81.42857142857142, 46.476190476190474]","[91.9047619047619, 29.33333333333333]",Jonah
,,,,,,
UNLV,0,Pass,Unsuccessful,"[89.42857142857142, 24.76190476190476]","[65.04761904761904, 56.19047619047619]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[65.8095238095238, 56.57142857142857]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[87.7142857142857, 64.76190476190476]","[87.7142857142857, 64.76190476190476]",Carter
,,,,,,
UNLV,0,Pass,Successful,"[85.8095238095238, 64.76190476190476]","[69.61904761904759, 55.04761904761905]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[66.0, 60.19047619047619]","[53.42857142857141, 73.71428571428572]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[44.28571428571427, 75.23809523809524]","[26.571428571428562, 76.0]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[30.571428571428562, 58.666666666666664]","[14.761904761904752, 66.47619047619048]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[13.428571428571416, 67.80952380952381]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[25.428571428571416, 65.52380952380952]","[25.047619047619037, 64.76190476190476]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[40.09523809523808, 56.95238095238095]","[27.7142857142857, 74.0952380952381]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[30.571428571428562, 73.52380952380952]","[19.52380952380951, 76.0]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[21.999999999999986, 74.28571428571428]","[12.666666666666657, 66.85714285714286]",UCSD
,,,,,,
UNLV,0,Tackle,Successful,"[72.09523809523807, 9.333333333333343]","[-1, -1]",Jonah
,,,,,,
UNLV,0,1st Ball,Successful,"[66.19047619047618, 6.285714285714292]","[64.66666666666666, 5.714285714285722]",UCSD
,,,,,,
UNLV,0,2nd Ball,Successful,"[51.90476190476189, 7.047619047619051]","[52.66666666666665, 7.047619047619051]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[30.380952380952372, 5.904761904761912]","[29.999999999999993, 5.904761904761912]",Opponent
,,,,,,
UNLV,0,1st Ball,Successful,"[14.952380952380942, 13.904761904761912]","[14.952380952380942, 13.904761904761912]",UCSD
,,,,,,
UNLV,0,2nd Ball,Successful,"[24.666666666666657, 13.714285714285722]","[24.476190476190467, 13.714285714285722]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[18.761904761904752, 17.33333333333333]","[18.761904761904752, 17.33333333333333]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[40.66666666666665, 11.23809523809524]","[41.61904761904761, 11.23809523809524]",UCSD
UNLV,0,Pass,Successful,"[60.66666666666665, 45.523809523809526]","[49.42857142857141, 64.19047619047619]",UCSD
UNLV,0,Pass,Unsuccessful,"[47.90476190476189, 72.95238095238095]","[20.666666666666657, 69.71428571428572]",UCSD
