Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
UNLV,0,1st Ball,Unsuccessful,"[33.99999999999999, 66.85714285714286]","[-1, -1]",Matt
,,,,,,
UNLV,0,2nd Ball,Successful,"[25.809523809523796, 69.9047619047619]","[25.809523809523796, 69.9047619047619]",Evan
,,,,,,
UNLV,0,Pass,Unsuccessful,"[27.14285714285713, 70.85714285714286]","[55.14285714285713, 56.0]",Evan
,,,,,,
UNLV,0,1st Ball,Successful,"[65.04761904761904, 48.952380952380956]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[42.57142857142856, 34.095238095238095]","[44.85714285714284, 34.285714285714285]",Opponent
,,,,,,
UNLV,0,Tackle,Successful,"[36.47619047619046, 36.952380952380956]","[37.23809523809522, 38.285714285714285]",Jonah
,,,,,,
UNLV,0,Pass,Successful,"[38.57142857142856, 42.285714285714285]","[27.14285714285713, 60.57142857142857]",Jonah
,,,,,,
UNLV,0,1st Ball,Successful,"[58.19047619047618, 70.47619047619048]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[43.7142857142857, 72.95238095238095]","[43.7142857142857, 72.95238095238095]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[19.52380952380951, 74.28571428571428]","[56.66666666666665, 73.52380952380952]",Matt
,,,,,,
UNLV,0,Pass,Unsuccessful,"[38.38095238095237, 9.523809523809533]","[57.6190476190476, 15.80952380952381]",Carter
,,,,,,
UNLV,0,1st Ball,Successful,"[63.7142857142857, 20.19047619047619]","[-1, -1]",Opponent
,,,,,,
UNLV,1,Pass,Successful,"[1.2380952380952266, 51.80952380952381]","[49.8095238095238, 78.85714285714286]",Nolan
,,,,,,
UNLV,1,1st Ball,Successful,"[47.14285714285713, 78.28571428571428]","[-1, -1]",UCSD
,,,,,,
UNLV,1,2nd Ball,Successful,"[46.19047619047618, 70.47619047619048]","[45.99999999999999, 68.76190476190476]",UCSD
,,,,,,
UNLV,1,Pass,Unsuccessful,"[43.7142857142857, 64.19047619047619]","[69.61904761904759, 64.19047619047619]",UCSD
,,,,,,
UNLV,1,Tackle,Successful,"[48.09523809523808, 57.523809523809526]","[-1, -1]",Quin
,,,,,,
UNLV,1,Pass,Successful,"[27.52380952380951, 22.47619047619048]","[63.52380952380951, 1.9047619047619122]",Adam
,,,,,,
UNLV,1,Pass,Unsuccessful,"[47.14285714285713, 13.142857142857139]","[67.7142857142857, 7.047619047619051]",Jonah
,,,,,,
UNLV,1,Pass,Unsuccessful,"[36.66666666666665, 14.666666666666671]","[92.47619047619048, 1.142857142857153]",Adam
,,,,,,
UNLV,1,1st Ball,Successful,"[22.761904761904752, 9.523809523809533]","[-1, -1]",Opponent
,,,,,,
UNLV,1,2nd Ball,Successful,"[23.7142857142857, 22.47619047619048]","[23.7142857142857, 22.47619047619048]",Opponent
,,,,,,
UNLV,1,Tackle,Successful,"[29.23809523809522, 18.285714285714292]","[29.23809523809522, 18.285714285714292]",Jonah
,,,,,,
UNLV,1,Pass,Successful,"[44.85714285714284, 18.095238095238102]","[60.85714285714284, 11.047619047619051]",Jonah
,,,,,,
UNLV,1,Pass,Unsuccessful,"[73.61904761904759, 5.904761904761912]","[87.9047619047619, 19.04761904761905]",UCSD
,,,,,,
UNLV,1,1st Ball,Successful,"[73.23809523809521, 16.76190476190476]","[-1, -1]",Opponent
,,,,,,
UNLV,1,2nd Ball,Successful,"[67.7142857142857, 9.333333333333343]","[69.42857142857142, 8.952380952380949]",Carter
,,,,,,
UNLV,1,Pass,Unsuccessful,"[69.04761904761904, 15.42857142857143]","[88.09523809523807, 11.23809523809524]",Jonah
,,,,,,
UNLV,1,1st Ball,Successful,"[50.38095238095237, 11.80952380952381]","[-1, -1]",Opponent
,,,,,,
UNLV,1,2nd Ball,Successful,"[37.61904761904761, 15.23809523809524]","[37.61904761904761, 15.047619047619051]",UCSD
,,,,,,
UNLV,1,Pass,Unsuccessful,"[25.428571428571416, 43.61904761904762]","[87.52380952380952, 4.38095238095238]",Nolan
,,,,,,
UNLV,1,1st Ball,Successful,"[88.66666666666666, 3.4285714285714306]","[-1, -1]",Opponent
,,,,,,
UNLV,1,2nd Ball,Successful,"[72.85714285714283, 9.142857142857139]","[72.85714285714283, 8.38095238095238]",Opponent
,,,,,,
UNLV,1,Pass,Successful,"[73.8095238095238, 75.23809523809524]","[90.95238095238093, 66.85714285714286]",UCSD
,,,,,,
UNLV,1,Pass,Successful,"[83.33333333333331, 66.28571428571428]","[98.0, 74.28571428571428]",Quin
,,,,,,
UNLV,1,Pass,Successful,"[96.47619047619045, 76.57142857142857]","[106.95238095238093, 57.714285714285715]",UCSD
,,,,,,
UNLV,1,Pass,Successful,"[106.95238095238093, 57.904761904761905]","[114.19047619047618, 72.95238095238095]",UCSD
,,,,,,
UNLV,1,Pass,Successful,"[117.04761904761904, 71.61904761904762]","[110.0, 48.57142857142857]",UCSD
,,,,,,
UNLV,1,Shot(foot),Unsuccessful,"[108.28571428571428, 49.714285714285715]","[119.7142857142857, 45.904761904761905]",UCSD
,,,,,,
UNLV,1,1st Ball,Successful,"[50.38095238095237, 53.904761904761905]","[-1, -1]",Opponent
,,,,,,
UNLV,1,1st Ball,Unsuccessful,"[50.76190476190475, 53.523809523809526]","[50.76190476190475, 53.523809523809526]",Jonah
,,,,,,
UNLV,1,2nd Ball,Successful,"[56.09523809523808, 58.095238095238095]","[56.09523809523808, 58.095238095238095]",Opponent
,,,,,,
UNLV,1,1st Ball,Unsuccessful,"[33.23809523809522, 62.666666666666664]","[33.23809523809522, 62.666666666666664]",Evan
,,,,,,
UNLV,1,1st Ball,Successful,"[31.14285714285713, 63.61904761904762]","[31.14285714285713, 63.61904761904762]",Opponent
,,,,,,
UNLV,1,2nd Ball,Successful,"[22.952380952380942, 69.14285714285714]","[22.952380952380942, 69.33333333333333]",Opponent
,,,,,,
UNLV,1,Pass,Successful,"[34.38095238095237, 54.666666666666664]","[61.42857142857141, 54.095238095238095]",Jonah
,,,,,,
UNLV,1,Tackle,Successful,"[31.7142857142857, 51.61904761904762]","[-1, -1]",Jonah
,,,,,,
UNLV,1,Pass,Successful,"[59.33333333333332, 50.285714285714285]","[70.95238095238093, 24.57142857142857]",UCSD
,,,,,,
UNLV,1,Pass,Successful,"[81.8095238095238, 26.66666666666667]","[97.04761904761904, 67.42857142857143]",UCSD
,,,,,,
UNLV,1,Pass,Successful,"[80.66666666666666, 67.80952380952381]","[90.57142857142856, 55.42857142857143]",UCSD
