Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
SDSU,9,Pass,Successful,"[57.42857142857141, 31.61904761904762]","[68.28571428571428, 5.714285714285722]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[75.14285714285714, 12.19047619047619]","[70.76190476190476, 29.33333333333333]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[77.04761904761904, 23.61904761904762]","[91.7142857142857, 23.80952380952381]",Opponent,17
,,,,,,,
SDSU,9,Shot(foot),Unsuccessful,"[104.47619047619045, 26.85714285714286]","[116.28571428571428, 37.333333333333336]",Opponent,17
,,,,,,,
SDSU,10,Tackle,Successful,"[51.33333333333332, 16.76190476190476]","[-1, -1]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[52.47619047619046, 14.476190476190482]","[42.95238095238094, 10.095238095238102]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[45.8095238095238, 8.57142857142857]","[42.38095238095237, 18.47619047619048]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[52.09523809523808, 21.523809523809533]","[45.23809523809522, 11.23809523809524]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[46.38095238095237, 12.76190476190476]","[65.23809523809521, 3.4285714285714306]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[65.04761904761904, 3.80952380952381]","[75.14285714285714, 3.4285714285714306]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[76.47619047619045, 2.095238095238102]","[69.61904761904759, 9.142857142857139]",Opponent,10
,,,,,,,
SDSU,10,Pass,Successful,"[83.14285714285714, 15.42857142857143]","[85.99999999999997, 35.04761904761905]",Opponent,10
,,,,,,,
SDSU,10,Shot(foot),Unsuccessful,"[90.38095238095238, 46.85714285714286]","[118.95238095238093, 33.714285714285715]",Opponent,10
,,,,,,,
SDSU,11,Tackle,Successful,"[24.09523809523808, 25.714285714285722]","[-1, -1]",Opponent,13
,,,,,,,
SDSU,11,Pass,Successful,"[66.19047619047618, 17.14285714285714]","[96.66666666666666, 23.42857142857143]",Opponent,13
,,,,,,,
SDSU,11,Shot(foot),Unsuccessful,"[101.42857142857142, 24.19047619047619]","[117.04761904761904, 36.761904761904766]",Opponent,13
,,,,,,,
SDSU,12,Pass,Unsuccessful,"[89.04761904761904, 26.095238095238102]","[66.0, 41.333333333333336]",UCSD,14
SDSU,12,Pass,Successful,"[65.61904761904759, 41.904761904761905]","[73.23809523809521, 20.76190476190476]",Opponent,14
,,,,,,,
SDSU,12,Pass,Successful,"[73.23809523809521, 19.61904761904762]","[96.85714285714286, 22.85714285714286]",Opponent,14
,,,,,,,
SDSU,12,Shot(foot),Unsuccessful,"[104.28571428571428, 22.285714285714292]","[108.28571428571428, 26.66666666666667]",Opponent,14
,,,,,,,
Washington State,13,Throw-in,Successful,"[15.523809523809511, 0.0]","[21.999999999999986, 16.38095238095238]",Opponent,14
,,,,,,,
Washington State,13,Pass,Successful,"[25.428571428571416, 36.0]","[16.857142857142847, 36.57142857142857]",Opponent,14
,,,,,,,
Washington State,13,Pass,Successful,"[15.714285714285701, 38.095238095238095]","[20.666666666666657, 26.85714285714286]",Opponent,14
,,,,,,,
Washington State,13,Shot(foot),Unsuccessful,"[20.476190476190467, 26.47619047619048]","[0.857142857142847, 39.80952380952381]",Opponent,14
,,,,,,,
Washington State,14,Throw-in,Successful,"[41.99999999999999, 0.7619047619047592]","[24.857142857142847, 5.142857142857153]",Opponent,14
,,,,,,,
Washington State,14,Pass,Successful,"[19.33333333333332, 25.714285714285722]","[15.714285714285701, 51.80952380952381]",Opponent,14
,,,,,,,
Washington State,14,Pass,Successful,"[15.142857142857132, 52.76190476190476]","[25.428571428571416, 58.857142857142854]",Opponent,14
,,,,,,,
Washington State,14,Pass,Successful,"[22.952380952380942, 57.333333333333336]","[11.333333333333321, 65.14285714285714]",Opponent,14
,,,,,,,
Washington State,14,Pass,Successful,"[9.047619047619037, 66.28571428571428]","[21.619047619047606, 54.857142857142854]",Opponent,14
,,,,,,,
Washington State,14,Shot(foot),Unsuccessful,"[17.238095238095227, 51.61904761904762]","[0.4761904761904674, 38.476190476190474]",Opponent,14
,,,,,,,
Washington State,15,Pass,Unsuccessful,"[15.523809523809511, 32.0]","[39.7142857142857, 40.57142857142857]",UCSD,17
,,,,,,,
Washington State,15,Pass,Successful,"[44.28571428571427, 49.142857142857146]","[56.85714285714284, 43.61904761904762]",Opponent,17
,,,,,,,
Washington State,15,Pass,Successful,"[55.14285714285713, 44.57142857142857]","[51.90476190476189, 26.66666666666667]",Opponent,17
,,,,,,,
Washington State,15,Pass,Successful,"[44.66666666666665, 24.38095238095238]","[23.14285714285713, 29.904761904761912]",Opponent,17
,,,,,,,
Washington State,15,Shot(foot),Unsuccessful,"[20.28571428571427, 33.333333333333336]","[0.857142857142847, 44.952380952380956]",Opponent,17
,,,,,,,
Washington State,16,Tackle,Successful,"[75.9047619047619, 47.04761904761905]","[-1, -1]",Opponent,7
,,,,,,,
Washington State,16,Pass,Successful,"[72.47619047619045, 37.523809523809526]","[79.9047619047619, 22.285714285714292]",Opponent,7
,,,,,,,
Washington State,16,Pass,Successful,"[79.33333333333331, 19.42857142857143]","[62.57142857142856, 5.714285714285722]",Opponent,7
,,,,,,,
Washington State,16,Pass,Successful,"[37.8095238095238, 14.476190476190482]","[24.09523809523808, 24.76190476190476]",Opponent,7
,,,,,,,
Washington State,16,Pass,Successful,"[24.666666666666657, 31.23809523809524]","[13.047619047619037, 33.333333333333336]",Opponent,7
,,,,,,,
Washington State,16,Shot(foot),Successful,"[9.619047619047606, 35.04761904761905]","[1.0476190476190368, 40.19047619047619]",Opponent,7
,,,,,,,
Washington State,17,Tackle,Successful,"[32.85714285714284, 53.714285714285715]","[-1, -1]",Opponent,13
,,,,,,,
Washington State,17,Pass,Successful,"[32.28571428571427, 42.85714285714286]","[16.476190476190467, 26.095238095238102]",Opponent,13
,,,,,,,
Washington State,17,Shot(foot),Unsuccessful,"[11.714285714285701, 23.80952380952381]","[1.0476190476190368, 33.523809523809526]",Opponent,13
,,,,,,,
Washington State,18,Tackle,Successful,"[84.47619047619045, 30.285714285714292]","[-1, -1]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[81.42857142857142, 23.80952380952381]","[94.57142857142856, 16.57142857142857]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[92.09523809523807, 13.333333333333343]","[52.85714285714284, 24.57142857142857]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[50.19047619047618, 22.47619047619048]","[50.38095238095237, 7.238095238095241]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[48.09523809523808, 4.38095238095238]","[60.66666666666665, 17.904761904761912]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[57.99999999999999, 21.33333333333333]","[31.7142857142857, 20.95238095238095]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[31.52380952380951, 18.85714285714286]","[23.7142857142857, 6.095238095238102]",Opponent,13
,,,,,,,
Washington State,18,Pass,Successful,"[14.190476190476183, 13.523809523809533]","[11.904761904761891, 28.76190476190476]",Opponent,13
,,,,,,,
Washington State,18,Shot(foot),Unsuccessful,"[10.380952380952372, 28.19047619047619]","[5.619047619047606, 32.761904761904766]",Opponent,13
,,,,,,,
Washington State,19,Set Piece,Successful,"[66.95238095238093, 46.285714285714285]","[60.85714285714284, 20.76190476190476]",Opponent,13
,,,,,,,
Washington State,19,Pass,Successful,"[64.47619047619045, 23.23809523809524]","[86.76190476190476, 3.6190476190476204]",Opponent,13
,,,,,,,
Washington State,19,Shot(foot),Unsuccessful,"[99.9047619047619, 26.47619047619048]","[119.7142857142857, 33.142857142857146]",Opponent,13
,,,,,,,
Washington State,20,Tackle,Successful,"[60.09523809523808, 52.0]","[-1, -1]",Opponent,6
,,,,,,,
Washington State,20,Shot(foot),Unsuccessful,"[99.52380952380952, 48.57142857142857]","[119.33333333333331, 47.04761904761905]",Opponent,6
,,,,,,,
Washington State,21,Throw-in,Successful,"[74.57142857142856, 0.952380952380949]","[85.61904761904759, 12.76190476190476]",Opponent,6
,,,,,,,
Washington State,21,Pass,Successful,"[83.14285714285714, 10.476190476190482]","[77.04761904761904, 5.714285714285722]",Opponent,6
,,,,,,,
Washington State,21,Pass,Successful,"[76.47619047619045, 5.333333333333343]","[92.28571428571428, 5.714285714285722]",Opponent,6
,,,,,,,
Washington State,21,Pass,Successful,"[89.8095238095238, 2.857142857142861]","[88.85714285714283, 9.333333333333343]",Opponent,6
,,,,,,,
Washington State,21,Pass,Successful,"[102.38095238095238, 7.047619047619051]","[112.28571428571428, 42.095238095238095]",Opponent,6
,,,,,,,
Washington State,21,Shot(head),Unsuccessful,"[112.66666666666666, 41.142857142857146]","[118.76190476190476, 40.38095238095238]",Opponent,6
,,,,,,,
Washington State,22,Set Piece,Successful,"[119.52380952380952, 79.23809523809524]","[113.23809523809524, 38.85714285714286]",Opponent,6
,,,,,,,
Washington State,22,Shot(head),Unsuccessful,"[113.23809523809524, 38.095238095238095]","[118.76190476190476, 40.57142857142857]",Opponent,6
,,,,,,,
Washington State,23,Set Piece,Successful,"[106.76190476190476, 6.666666666666671]","[115.7142857142857, 47.04761904761905]",Opponent,6
,,,,,,,
Washington State,23,Shot(head),Unsuccessful,"[115.14285714285714, 47.61904761904762]","[119.52380952380952, 46.85714285714286]",Opponent,6
,,,,,,,
Washington State,24,Set Piece,Successful,"[119.9047619047619, 79.23809523809524]","[108.28571428571428, 24.38095238095238]",Opponent,6
,,,,,,,
Washington State,24,Pass,Successful,"[103.9047619047619, 20.38095238095238]","[95.14285714285714, 24.0]",Opponent,6
,,,,,,,
Washington State,24,Pass,Successful,"[111.7142857142857, 11.23809523809524]","[117.61904761904762, 44.952380952380956]",Opponent,6
,,,,,,,
Washington State,24,Shot(head),Unsuccessful,"[116.47619047619045, 45.523809523809526]","[119.33333333333331, 42.85714285714286]",Opponent,6
,,,,,,,
Washington State,25,Tackle,Successful,"[67.52380952380952, 30.66666666666667]","[-1, -1]",Opponent,7
,,,,,,,
Washington State,25,Pass,Successful,"[68.28571428571428, 29.904761904761912]","[87.52380952380952, 33.714285714285715]",Opponent,7
,,,,,,,
Washington State,25,Pass,Successful,"[89.8095238095238, 37.714285714285715]","[97.61904761904762, 49.142857142857146]",Opponent,7
,,,,,,,
Washington State,25,Pass,Successful,"[106.0, 44.38095238095238]","[106.57142857142856, 32.761904761904766]",Opponent,7
,,,,,,,
Washington State,25,Shot(foot),Unsuccessful,"[105.61904761904762, 30.66666666666667]","[118.38095238095238, 35.61904761904762]",Opponent,7
,,,,,,,
Washington State,26,Set Piece,Unsuccessful,"[119.9047619047619, 0.5714285714285694]","[114.0, 41.333333333333336]",Opponent,7
,,,,,,,
Washington State,26,Tackle,Successful,"[114.0, 41.714285714285715]","[109.23809523809524, 33.142857142857146]",UCSD,7
,,,,,,,
Washington State,26,Shot(foot),Unsuccessful,"[109.8095238095238, 33.333333333333336]","[119.33333333333331, 33.142857142857146]",Opponent,7
,,,,,,,
Washington State,27,Pass,Unsuccessful,"[77.23809523809521, 6.476190476190482]","[57.23809523809522, 5.142857142857153]",UCSD,8
,,,,,,,
Washington State,27,Pass,Successful,"[53.04761904761903, 11.61904761904762]","[42.95238095238094, 37.142857142857146]",Opponent,8
,,,,,,,
Washington State,27,Shot(foot),Unsuccessful,"[90.95238095238093, 53.523809523809526]","[118.19047619047618, 41.714285714285715]",Opponent,8
,,,,,,,
Washington State,28,Throw-in,Successful,"[76.85714285714283, 0.7619047619047592]","[91.33333333333331, 3.047619047619051]",Opponent,8
,,,,,,,
Washington State,28,Pass,Successful,"[91.9047619047619, 4.571428571428569]","[80.09523809523807, 3.6190476190476204]",Opponent,8
,,,,,,,
Washington State,28,Pass,Successful,"[84.09523809523807, 4.19047619047619]","[107.52380952380952, 8.57142857142857]",Opponent,8
,,,,,,,
Washington State,28,Pass,Successful,"[106.0, 13.142857142857139]","[110.57142857142856, 44.57142857142857]",Opponent,8
,,,,,,,
Washington State,28,Shot(head),Unsuccessful,"[110.19047619047618, 46.095238095238095]","[117.23809523809524, 40.952380952380956]",Opponent,8
,,,,,,,
Washington State,29,Tackle,Successful,"[48.47619047619046, 32.761904761904766]","[48.47619047619046, 32.761904761904766]",Opponent,10
,,,,,,,
Washington State,29,Shot(foot),Unsuccessful,"[99.9047619047619, 38.66666666666667]","[119.7142857142857, 47.80952380952381]",Opponent,10
,,,,,,,
Washington State,30,Set Piece,Unsuccessful,"[91.7142857142857, 11.047619047619051]","[114.57142857142856, 43.04761904761905]",Opponent,10
,,,,,,,
Washington State,30,Tackle,Successful,"[114.38095238095238, 43.23809523809524]","[103.14285714285714, 46.476190476190474]",UCSD,10
,,,,,,,
Washington State,30,Shot(foot),Unsuccessful,"[103.14285714285714, 46.095238095238095]","[109.23809523809524, 43.23809523809524]",Opponent,10
,,,,,,,
Idaho,31,Throw-in,Successful,"[112.66666666666666, 63.04761904761905]","[101.23809523809524, 69.33333333333333]",Opponent,10
,,,,,,,
Idaho,31,Shot(foot),Unsuccessful,"[98.76190476190476, 60.0]","[116.85714285714286, 40.57142857142857]",Opponent,10
,,,,,,,
Idaho,31,Throw-in,Successful,"[84.28571428571428, 0.3809523809523796]","[99.9047619047619, 17.33333333333333]",Opponent,10
,,,,,,,
Idaho,31,Shot(foot),Unsuccessful,"[99.52380952380952, 23.80952380952381]","[119.33333333333331, 39.61904761904762]",Opponent,10
,,,,,,,
Idaho,32,Pass,Unsuccessful,"[108.85714285714286, 33.142857142857146]","[95.33333333333331, 45.142857142857146]",UCSD,1
,,,,,,,
Idaho,32,Shot(foot),Unsuccessful,"[100.66666666666666, 53.904761904761905]","[118.76190476190476, 41.714285714285715]",Opponent,1
,,,,,,,
Idaho,33,Pass,Unsuccessful,"[69.42857142857142, 24.76190476190476]","[73.8095238095238, 9.904761904761912]",UCSD,10
,,,,,,,
Idaho,33,Shot(foot),Successful,"[95.52380952380952, 28.76190476190476]","[119.33333333333331, 39.80952380952381]",Opponent,10
,,,,,,,
Idaho,34,Tackle,Successful,"[19.14285714285713, 40.952380952380956]","[26.952380952380942, 4.38095238095238]",UCSD,8
,,,,,,,
Idaho,34,Pass,Successful,"[17.619047619047606, 7.80952380952381]","[29.809523809523803, 3.80952380952381]",Opponent,8
,,,,,,,
Idaho,34,Pass,Successful,"[33.61904761904761, 2.857142857142861]","[21.619047619047606, 18.47619047619048]",Opponent,8
,,,,,,,
Idaho,34,Shot(foot),Unsuccessful,"[24.666666666666657, 27.80952380952381]","[2.761904761904752, 40.38095238095238]",Opponent,8
,,,,,,,
Idaho,35,Set Piece,Unsuccessful,"[0.857142857142847, 0.1904761904761898]","[5.619047619047606, 40.57142857142857]",Opponent,8
,,,,,,,
Idaho,35,Tackle,Successful,"[4.666666666666657, 39.04761904761905]","[10.571428571428562, 40.38095238095238]",UCSD,8
,,,,,,,
Idaho,35,Shot(foot),Successful,"[11.714285714285701, 40.19047619047619]","[0.6666666666666572, 40.0]",Opponent,8
,,,,,,,
CBU,36,Set Piece,Successful,"[85.99999999999997, 67.42857142857143]","[110.76190476190476, 35.23809523809524]",Opponent,8
,,,,,,,
CBU,36,Shot(head),Unsuccessful,"[110.38095238095238, 34.66666666666667]","[118.95238095238093, 37.904761904761905]",Opponent,8
CBU,37,Pass,Unsuccessful,"[37.42857142857141, 18.66666666666667]","[46.76190476190475, 18.095238095238102]",UCSD,8
,,,,,,,
CBU,37,Pass,Successful,"[90.38095238095238, 17.904761904761912]","[98.19047619047618, 25.714285714285722]",Opponent,8
,,,,,,,
CBU,37,Shot(foot),Unsuccessful,"[99.52380952380952, 30.66666666666667]","[119.9047619047619, 46.095238095238095]",Opponent,8
,,,,,,,
CBU,38,Tackle,Successful,"[40.28571428571427, 13.904761904761912]","[-1, -1]",Opponent,28
,,,,,,,
CBU,38,Pass,Successful,"[41.42857142857141, 14.666666666666671]","[54.19047619047618, 22.47619047619048]",Opponent,28
,,,,,,,
CBU,38,Pass,Successful,"[53.6190476190476, 23.61904761904762]","[65.04761904761904, 20.76190476190476]",Opponent,28
,,,,,,,
CBU,38,Pass,Successful,"[68.85714285714283, 19.04761904761905]","[57.42857142857141, 12.0]",Opponent,28
,,,,,,,
CBU,38,Pass,Successful,"[54.38095238095237, 12.952380952380949]","[69.8095238095238, 26.66666666666667]",Opponent,28
,,,,,,,
CBU,38,Shot(foot),Unsuccessful,"[93.23809523809524, 44.76190476190476]","[101.04761904761904, 44.0]",Opponent,28
,,,,,,,
CBU,39,Throw-in,Successful,"[94.95238095238093, 0.0]","[80.66666666666666, 4.38095238095238]",Opponent,28
,,,,,,,
CBU,39,Pass,Successful,"[86.19047619047618, 7.428571428571431]","[110.57142857142856, 49.523809523809526]",Opponent,28
,,,,,,,
CBU,39,Pass,Successful,"[110.95238095238093, 49.904761904761905]","[109.61904761904762, 36.0]",Opponent,28
,,,,,,,
CBU,39,Shot(foot),Unsuccessful,"[110.76190476190476, 36.38095238095238]","[119.52380952380952, 40.952380952380956]",Opponent,28
,,,,,,,
CBU,40,Tackle,Successful,"[84.09523809523807, 26.66666666666667]","[-1, -1]",Opponent,17
,,,,,,,
CBU,40,Pass,Successful,"[81.23809523809521, 27.04761904761905]","[91.7142857142857, 22.285714285714292]",Opponent,17
,,,,,,,
CBU,40,Shot(foot),Successful,"[96.85714285714286, 23.61904761904762]","[118.95238095238093, 43.04761904761905]",Opponent,17
,,,,,,,
CBU,41,Pass,Successful,"[6.190476190476183, 38.66666666666667]","[16.476190476190467, 14.476190476190482]",Opponent,17
,,,,,,,
CBU,42,Pass,Successful,"[17.238095238095227, 12.19047619047619]","[34.76190476190475, 4.38095238095238]",Opponent,17
,,,,,,,
CBU,42,Pass,Successful,"[32.28571428571427, 2.4761904761904816]","[49.04761904761903, 3.4285714285714306]",Opponent,17
,,,,,,,
CBU,42,Pass,Successful,"[65.42857142857142, 2.857142857142861]","[75.14285714285714, 13.714285714285722]",Opponent,17
,,,,,,,
CBU,42,Pass,Successful,"[67.52380952380952, 19.42857142857143]","[95.14285714285714, 52.57142857142857]",Opponent,17
,,,,,,,
CBU,42,Shot(foot),Unsuccessful,"[106.0, 47.80952380952381]","[119.14285714285714, 31.80952380952381]",Opponent,17
,,,,,,,
CBU,43,Set Piece,Successful,"[119.7142857142857, 1.5238095238095326]","[105.23809523809524, 43.80952380952381]",Opponent,17
,,,,,,,
CBU,43,Pass,Successful,"[105.42857142857142, 43.42857142857143]","[113.04761904761904, 34.66666666666667]",Opponent,17
,,,,,,,
CBU,43,Shot(head),Unsuccessful,"[113.23809523809524, 35.42857142857143]","[119.52380952380952, 50.285714285714285]",Opponent,17
,,,,,,,
CBU,44,Throw-in,Successful,"[109.61904761904762, 0.5714285714285694]","[116.09523809523807, 8.76190476190476]",Opponent,17
,,,,,,,
CBU,44,Pass,Successful,"[118.38095238095238, 8.38095238095238]","[104.28571428571428, 18.66666666666667]",Opponent,17
,,,,,,,
CBU,44,Shot(foot),Unsuccessful,"[103.14285714285714, 20.95238095238095]","[118.19047619047618, 41.523809523809526]",Opponent,17
,,,,,,,
Nevada,45,Set Piece,Unsuccessful,"[32.85714285714284, 26.66666666666667]","[1.809523809523796, 37.142857142857146]",Opponent,17
,,,,,,,
Nevada,45,Shot(foot),Unsuccessful,"[32.85714285714284, 26.66666666666667]","[0.6666666666666572, 37.333333333333336]",Opponent,17
,,,,,,,
Nevada,46,Pass,Unsuccessful,"[85.42857142857142, 11.047619047619051]","[51.90476190476189, 15.80952380952381]",UCSD,15
,,,,,,,
Nevada,46,Pass,Successful,"[59.7142857142857, 17.14285714285714]","[87.7142857142857, 14.095238095238102]",Opponent,15
,,,,,,,
Nevada,46,Pass,Successful,"[86.57142857142856, 11.80952380952381]","[106.95238095238093, 7.80952380952381]",Opponent,15
,,,,,,,
Nevada,46,Pass,Successful,"[114.57142857142856, 15.80952380952381]","[109.42857142857142, 28.19047619047619]",Opponent,15
,,,,,,,
Nevada,46,Shot(foot),Unsuccessful,"[110.19047619047618, 28.57142857142857]","[119.52380952380952, 32.38095238095238]",Opponent,15
,,,,,,,
Nevada,47,Tackle,Successful,"[93.04761904761904, 62.285714285714285]","[-1, -1]",Opponent,17
,,,,,,,
Nevada,47,Pass,Successful,"[95.7142857142857, 57.333333333333336]","[104.28571428571428, 55.42857142857143]",Opponent,17
,,,,,,,
Nevada,47,Shot(foot),Unsuccessful,"[102.76190476190476, 52.38095238095238]","[119.33333333333331, 45.523809523809526]",Opponent,17
,,,,,,,
Nevada,48,Pass,Unsuccessful,"[111.7142857142857, 60.95238095238095]","[76.66666666666666, 54.857142857142854]",UCSD,17
,,,,,,,
Nevada,48,Pass,Unsuccessful,"[78.38095238095238, 60.0]","[104.47619047619045, 40.952380952380956]",Opponent,17
,,,,,,,
Nevada,48,Tackle,Successful,"[104.85714285714286, 40.761904761904766]","[105.23809523809524, 48.952380952380956]",UCSD,17
,,,,,,,
Nevada,48,Shot(foot),Unsuccessful,"[110.19047619047618, 52.76190476190476]","[114.19047619047618, 47.23809523809524]",Opponent,17
Nevada,49,Pass,Unsuccessful,"[114.0, 60.38095238095238]","[79.52380952380952, 61.142857142857146]",UCSD,8
,,,,,,,
Nevada,49,Pass,Successful,"[81.99999999999997, 61.142857142857146]","[107.52380952380952, 34.095238095238095]",Opponent,8
,,,,,,,
